ID,Author,Title,Year
DELISA,Manuel De Landa,Intensive Science and Virtual Philosophy,2002
SPATEO-5,Tom Sparrow,The End of Phenomenology: Metaphysics and the New Realism,2014
BRYTST,Levi R. Bryant and Nick Srnicek and Graham Harman,The Speculative Turn: Continental Materialism and Realism,2011
ZAHTEO-2,Dan Zahavi,The End of What? Phenomenology Vs. Speculative Realism,2016
GRAPON,Iain Hamilton Grant,Philosophies of Nature After Schelling,2006
BRASR-4,Ray Brassier and Iain Hamilton Grant and Graham Harman and Quentin Meillassoux,Speculative Realism,2007
GRASRP,Peter Gratton,Speculative Realism: Problems and Prospects,2014
RODPLP,David Roden,Posthuman Life: Philosophy at the Edge of the Human,2014
SIMSAB-7,Massimiliano Simons,Surrationalism After Bachelard: Michel Serres and le Nouveau Nouvel Esprit Scientifique,2019
TOSTTO,Alberto Toscano,The Theatre of Production: Philosophy and Individuation Between Kant and Deleuze,2006
BRANUN,Ray Brassier,Nihil Unbound: Enlightenment and Extinction,2007
BRACAO,Ray Brassier,Concepts and Objects,2011
BAITPO-14,Paul Bains,The Primacy of Semiosis: An Ontology of Relations,2006
BRYTAS-3,Levi R. Bryant and Nick Srnicek and Graham Harman,Towards a Speculative Philosophy,2011
WILSRA-15,Harald A. Wiltsche,"Science, Realism and Correlationism. A Phenomenological Critique of Meillassoux' Argument From Ancestrality",2017
HARTCS,Graham Harman,The Current State of Speculative Realism,2013
BRAABH,Lee Braver,A Brief History of Continental Realism,2012
GALTPO-18,Alexander Galloway,The Poverty of Philosophy: Realism and Post-Fordism,2013
BRAAHT-3,Ray Brassier,Axiomatic Heresy: The Non-Philosophy of Fran\c{c}ois Laruelle,2003
SPAPBR,Tom Sparrow,Plastic Bodies: Rebuilding Sensation After Phenomenology,2014
GONAEI-3,Manuel \'{A}ngel Gonz\'{a}lez Berruga,Aciertos e Insuficiencias En la Ontolog\'{i}a de Markus Gabriel y Graham Harman,2024
BRAONS,Lee Braver,On Not Settling the Issue of Realism,2013
HENSAA-12,Yogi Hendlin,Sunlight as a Photosyntheic Information Technology,2020
BRABME,Ray Brassier,Badiou's Materialist Epistemology of Mathematics,2005
BRAIAA-2,Ray Brassier and Marcin Rychter,I Am a Nihilist Because I Still Believe in Truth,2011
SHAWCK,Steven Shaviro,"Without Criteria: Kant, Whitehead, Deleuze, and Aesthetics",2009
BRALAT-3,Ray Brassier,Laruelle and the Reality of Abstraction,2012
LIVRAT,Paul Livingston,Realism and the Infinite,2013
JONGMT,Cogburn Jon,Garcian Meditations: The Dialectics of Persistence in Form and Object,2017
GARSNA-2,Arran Gare,Speculative Naturalism: A Manifesto,2014
SONWEW,Erwin Sonderegger,"Potentiality as the Basis of Reality, a Speculative Approach",manuscript
BRAAT-2,Ray Brassier,Alien Theory : The Decline of Materialism in the Name of Matter,2001
BRAWA-2,Ray Brassier,Wandering Abstraction,2014
ASKIAA,"Ridvan Askin and Andreas H\""{a}gler and Philipp Schweighauser",Introduction: Aesthetics After the Speculative Turn,2014
JOHPOF-2,Adrian Johnston,Points of Forced Freedom: Eleven (More) Theses on Materialism,2013
BRAPAA,Ray Brassier,Presentation as Anti-Phenomenon in Alain Badiou's Being and Event,2006
GIRBNA,Fabio Gironi,Between Naturalism and Rationalism: A New Realist Landscape,2012
COXI-3,Christoph Cox and Jenny Jaskey and Suhail Malik,Introduction,2015
KOLTEO-12,Katerina Kolozova,The Ebb of the Old Liberal Order and the Horizon of New Possibilities for Freedom,2023
RODPLT,David Roden,Posthuman Life: The Galapagos Objection,manuscript
BRATEO-12,Ray Brassier,The Expression of Meaning in Deleuze's Ontological Proposition,2008
GABTMO,Markus Gabriel,"The Meaning of ""Existence"" and the Contingency of Sense",2013
BRATWI-3,Ray Brassier,That Which is Not: Philosophy as Entwinement of Truth and Negativity,2013
MATPSY,Marco Mattei,Psicologia Speculativa,2021
ERKATV,Ekin Erkan,Against the Virtual: Kleinherenbrink?s Externality Thesis and Deleuze?s Machine Ontology,2020
SCHSFO-2,Alexander Schnell,Speculative Foundations of Phenomenology,2012
SHATUO-6,Steven Shaviro,The Universe of Things: On Speculative Realism,2014
EPPQMA-5,Michael Epperson,Quantum Mechanics and Relational Realism: Logical Causality and Wave Function Collapse,2009
RODD-2,David Roden,"Reduction, Elimination and Radical Uninterpretability",manuscript
RODDAE-2,David Roden,Deconstruction and Excision in Philosophical Posthumanism,2010
GROPPF-3,Amarantha Groen and Evelien Geerts,Philosophical Post-Anthropology for the Chthulucene: Levinasian and Feminist New Materialist Perspectives in More-Than-Human Crisis Times,2020
BRABTN-3,Ray Brassier,"Behold the Non-Rabbit: Kant, Quine, Laruelle",2001
