ID,Author,Title,Year
DELEIP,Gilles Deleuze,Expressionism in Philosophy: Spinoza,1990
FRSTY,"Eckart F\""{o}rster",The Twenty-Five Years of Philosophy: A Systematic Reconstruction,2012
VEIDAS,Walter Veit,Dennett and Spinoza,2020
SCHTMO-110,Tad M. Schmaltz,"The Metaphysics of the Material World: Su\'{a}rez, Descartes, Spinoza",2019
GATCIS-2,Moira Gatens and Genevieve Lloyd,"Collective Imaginings: Spinoza, Past and Present",1999
SHASAT-3,Hasana Sharp,Spinoza and the Politics of Renaturalization,2011
HARWAB-3,Stephen Harrop,Wisdom and Beatitude in Spinoza and Qoheleth,2024
PEDSCP,Knox Peden,Spinoza Contra Phenomenology: French Rationalism From Cavaill\`{e}s to Deleuze,2014
CHIKPA,Andrew Chignell,"Kant, Real Possibility, and the Threat of Spinoza",2012
FIEPHA-2,Sandra Leonie Field,Potentia: Hobbes and Spinoza on Power and Popular Politics,2020
MELAOW,Yitzhak Y. Melamed,"Acosmism or Weak Individuals?: Hegel, Spinoza, and the Reality of the Finite",2009
MACHOS,Pierre Macherey,Hegel or Spinoza,1979
SCHORN-4,Eric Schliesser,"On Reading Newton as an Epicurean: Kant, Spinozism and the Changes to the Principia",2013
MELODE,Yitzhak Y. Melamed,"?Omnis Determinatio Est Negatio? ? Determination, Negation and Self-Negation in Spinoza, Kant, and Hegel",2012
SCHNAS-3,Eric Schliesser,"Newton and Spinoza: On Motion and Matter (and God, of Course)",2012
NAESAE,Arne Naess,Spinoza and Ecology,1977
DURTSO,Will Durant,The Story of Philosophy,1926
WOLNSA-2,David Wollenberg,"Nietzsche, Spinoza, and the Moral Affects",2013
LORKAS,Beth Lord,Kant and Spinozism: Transcendental Idealism and Immanence From Jacobi to Deleuze,2010
MONBMP,Warren Montag,"Bodies, Masses, Power: Spinoza and His Contemporaries",1999
LOSEAA-2,Michael Losonsky,Enlightenment and Action From Descartes to Kant: Passionate Thought,2001
MELDSV-2,Yitzhak Melamed,??Deus Sive Vernunft: Schelling?s Transformation of Spinoza?s God?,2020
FRSSAG-2,Eckart Fo?rster and Yitzhak Y. Melamed,Spinoza and German Idealism,2012
NEWHIR,Samuel Newlands,Hegel?s Idealist Reading of Spinoza,2011
DOUSAD,Alexander X. Douglas,Spinoza and Dutch Cartesianism: Philosophy and Theology,2015
NEWTHO,Samuel Newlands,The Harmony of Spinoza and Leibniz,2010
GARDAS-2,Daniel Garber,Descartes and Spinoza on Persistance and Conatus,1994
DUNCAA-6,Stewart Duncan,Cudworth as a Critic of Spinoza,manuscript
WATDSA-2,Kimberly Brewer and Eric Watkins,"Difficulty Still Awaits: Kant, Spinoza, and the Threat of Theological Determinism",2012
SANTOO-3,Andrea Sangiacomo,The Ontology of Determination: From Descartes to Spinoza,2015
HONSAB-3,Soraj Hongladarom,Spinoza and Buddhism on Death and Immortality,2023
WOODSL,Roger Woolhouse,"Descartes, Spinoza, Leibniz: The Concept of Substance in Seventeenth-Century Metaphysics",1993
GATCFS,Moira Gatens,Compelling Fictions: Spinoza and George Eliot on Imagination and Belief,2012
PERSPI,Derk Pereboom,Stoic Psychotherapy in Descartes and Spinoza,1994
PUGMAI-2,Nastassja Pugliese,Monism and Individuation in Anne Conway as a Critique of Spinoza,2019
YENCAS,Timothy Yenter,Clarke Against Spinoza on the Manifest Diversity of the World,2014
