ID,Author,Title,Year
FRETPO-9,R. Edward Freeman,The Politics of Stakeholder Theory,1994
JENVMS,Michael C. Jensen,"Value Maximization, Stakeholder Theory, and the Corporate Objective Function",2002
WICWST,Andrew C. Wicks,What Stakeholder Theory is Not,2003
PHISTA,Robert A. Phillips,Stakeholder Theory and a Principle of Fairness,1997
HARSTV,Jeffrey S. Harrison and Andrew C. Wicks,"Stakeholder Theory, Value, and Firm Performance",2013
AGLDTS-2,Bradley R. Agle and Thomas Donaldson and R. Edward Freeman,Dialogue: Toward Superior Stakeholder Theory,2008
FRESTA,R. Edward Freeman and Robert A. Phillips,Stakeholder Theory: A Libertarian Defense,2002
ARGTST,Antonio Argando\~{n}a,The Stakeholder Theory and the Common Good,1998
MARAFA,Alexei M. Marcoux,A Fiduciary Argument Against Stakeholder Theory,2003
JONSTT,T. Jones and A. Wicks and R. Edward Freeman,Stakeholder Theory: The State of the Art,2002
GIBTMB,Kevin Gibson,The Moral Basis of Stakeholder Theory,2000
PHATIO-2,Hiep{-}Hung Pham and Sue Ling Lai and Quan{-}Hoang Vuong,"The Impacts of Value, Disconfirmation and Satisfaction on Loyalty: Evidence From International Higher Education Setting",manuscript
FRESC-4,R. Edward Freeman and Kirsten Martin and Bidhan Parmar,Stakeholder Capitalism,2007
NEVSMT-2,Benjamin A. Neville and Bulent Menguc,Stakeholder Multiplicity: Toward an Understanding of the Interactions Between Stakeholders,2006
KALDST,John Kaler,Differentiating Stakeholder Theories,2003
STRTEA-2,Alan Strudler,The Ethical and Environmental Limits of Stakeholder Theory,2002
MORTCB-3,Jeffrey Moriarty,The Connection Between Stakeholder Theory and Stakeholder Democracy: An Excavation and Defense,2014
HASWST,John Hasnas,Whither Stakeholder Theory? A Guide for the Perplexed Revisited,2013
MARTCR-3,Dominic Martin,The Contained-Rivalry Requirement and a 'Triple Feature' Program for Business Ethics,2013
ORTPAS,Eric W. Orts and Alan Strudler,Putting a Stake in Stakeholder Theory,2009
POPAAA-3,Eugen Octav Popa and Vincent Blok and Renate Wesselink,An Agonistic Approach to Technological Conflict,2020
REYSTA-3,Scott J. Reynolds and Frank C. Schultz and David R. Hekman,Stakeholder Theory and Managerial Decision-Making: Constraints and Implications of Balancing Stakeholder Interests,2006
BRETST-2,Steven N. Brenner,The Stakeholder Theory of the Firm,1992
