ID,Author,Title,Year
FINTPO-18,Gail Fine,The Possibility of Inquiry: Meno?s Paradox From Socrates to Sextus,2014
DEHRIA,Vanessa de Harven,Rational Impressions and the Stoic Philosophy of Mind,2017
LONHPS,A. A. Long,"Hellenistic Philosophy: Stoics, Epicureans, Sceptics",1986
STREOH-3,Gisela Striker,Essays on Hellenistic Epistemology and Ethics,1974
PRIMC-3,A. W. Price,Mental Conflict,1994
LONHP,A. A. Long,Hellenistic Philosophy,1974
BALS,Dirk Baltzly,Stoicism,2008
RISSP-2,John M. Rist,Stoic Philosophy,1969
SELTAO-2,John Sellars,The Art of Living: The Stoics on the Nature and Function of Philosophy,2003
SELS-2,John Sellars,Stoicism,2006
SANTS,F. H. Sandbach,The Stoics,1994
ROBTPO-36,Donald Robertson,The Philosophy of Cognitive-Behavioural Therapy (Cbt): Stoic Philosophy as Rational and Cognitive Psychotherapy,2010
LONSS,A. A. Long,Stoic Studies,1996
RAMHTS,Ilaria Ramelli,"Hierocles the Stoic: Elements of Ethics, Fragments, and Excerpts",2009
SANAAT-3,F. H. Sandbach,Aristotle and the Stoics,1971
FORKMC,David Forman,Kant?s Moderate Cynicism and the Harmony Between Virtue and Worldly Happiness,2016
MCGBNL,R. Mcgregor and E. Sullivan{-}Bissett,Better No Longer to Be,2012
COUAOA-2,Sean Coughlin,Athenaeus of Attalia on the Psychological Causes of Bodily Health,2018
SEDTPO-8,David Sedley,The Philosophy of Antiochus,2012
Schils2005-REYTRS-2,Gretchen J. Reydams{-}Schils,"The Roman Stoics: Self, Responsibility, and Affection",2005
INWTSR,Brad Inwood and Lloyd P. Gerson,The Stoics Reader: Selected Writings and Testimonia,2008
BAIMM-5,Dominic Bailey,Megaric Metaphysics,2012
SHASEA,R. W. Sharples,"Stoics, Epicureans, and Sceptics: An Introduction to Hellenistic Philosophy",1996
DEHNPA,Vanessa de Harven,"Necessity, Possibility and Determinism in Stoic Thought",2016
BANPAT,Konrad Banicki,Philosophy as Therapy: Towards a Conceptual Model,2014
INWTCC-6,Brad Inwood,The Cambridge Companion to the Stoics,2003
CORFIA-3,Klaus Corcilius,Faculties in Ancient Philosophy,2015
ALLAPA-2,James Allen,Academic Probabilism and Stoic Epistemology,1994
ZELTSE,Eduard Zeller,"The Stoics, Epicureans, and Sceptics",1962
Stones2001-BOYPPA,George Boys{-}Stones,Post-Hellenistic Philosophy: A Study of its Development From the Stoics to Origen,2001
BARPT,Jonathan Barnes and Miriam T. Griffin,Philosophia Togata,1997
LONPIS,A. A. Long,Problems in Stoicism,1971
OSTATO,Agustin Ostachuk,A Theory of Evolution as a Process of Unfolding,2020
IER_SD,Katerina Ierodiakonou,The Stoic Division of Philosophy,1993
DEHSSI,Vanessa de Harven,Something Stoic in the Sophist,forthcoming
BRASDC,Susanna Braund,Seneca: De Clementia,2009
SHAPPA-3,R. W. Sharples,Post-Hellenistic Philosophy: A Study of its Development From the Stoics to Origen,2002
FOROSA,William W. Fortenbaugh,On Stoic and Peripatetic Ethics: The Work of Arius Didymus,1983
BRUPIH-3,Jacques Brunschwig,Papers in Hellenistic Philosophy,1994
Castrillejo2019-TORAAM-2,David Torrijos{-}Castrillejo,An Alternative Model for Understanding Anaxagoras? Mixture,2019
TRUSSH,Boomer Glenn Trujillo Jr,Stoicism Sucks: How Stoicism Undervalues Good Things and Exploits Vulnerable People,2024
GILGAT-2,Christopher Gill,Galen and the Stoics: Mortal Enemies or Blood Brothers?,2007
ATHHOF,Catherine Atherton,Hand Over Fist: The Failure of Stoic Rhetoric,1988
HJETIO-2,Alan H\'{a}jek,Two Interpretations of Two Stoic Conditionals,2009
CHRAEO,Johnny Christensen,An Essay on the Unity of Stoic Philosophy,1962
MANDLO,Jaap Mansfeld,Diogenes Laertius on Stoic Philosophy,1986
PROTSN,Evangelos D. Protopapadakis,The Stoic Notion of Cosmic Sympathy in Contemporary Environmental Ethics,2012
Perez2018-PINLRA,Christian F. Pineda{-}P\'{e}rez,Las Respuestas Acad\'{e}micas a la Objeci\'{o}n de Apraxia,2018
IERTIS-2,Katerina Ierodiakonou,Topics in Stoic Philosophy,1998
BEVSAS,Edwyn Robert Bevan,Stoics and Sceptics,1979
MORTRP,Mark P. O. Morford,The Roman Philosophers: From the Time of Cato the Censor to the Death of Marcus Aurelius,2002
PIAIDO-2,Matthew Pianalto,In Defense of Patience,2014
ASMTPT,Elizabeth Asmis,The Poetic Theory of the Stoic 'Aristo',1990
REETOO-8,Doug Reed,The Objects of Stoic Eupatheiai,2017
MERMAK-3,Melissa Merritt,Mendelssohn and Kant on Human Progress: A Neo-Stoic Debate,2024
UMBSTS,Steven Umbrello,Star Trek?s Stoics: The Vulcans,2015
GARTPO-43,Corinne Gartner,The Possibility of Psychic Conflict in Seneca's de Ira,2015
DAMBCT,Gregor Damschen and Andreas Heil,Brill's Companion to Seneca: Philosopher and Dramatist,2013
DEHTMO,Vanessa de Harven,The Metaphysics of Stoic Corporealism,2022
NAVSSA,Jes\'{u}s Navarro,"Scepticism, Stoicism and Subjectivity: Reappraising Montaigne's Influence on Descartes",2010
WILTET-4,Jula Wildberger,The Epicurus Trope and the Construction of a ?Letter Writer? in Senecas Epistulae Morales,2014
TOTBAT,Wolfhart Totschnig,Bodies and Their Effects: The Stoics on Causation and Incorporeals,2013
DELMAM-2,Estelle Allen De Lacy,Meaning and Methodology in Hellenistic Philosophy,1938
STETIO-4,William Stephens and Randolph Feezell,The Ideal of the Stoic Sportsman,2004
ALGTMO-3,Keimpe Algra,The Mechanism of Social Appropriation and its Role in Hellenistic Ethics,2003
