ID,Author,Title,Year
SCHOWG,Jonathan Schaffer,On What Grounds What,2009
TAHOD,Tuomas E. Tahko and E. J. Lowe,Ontological Dependence,2020
LOWTFO-10,Edward Jonathan Lowe,The Four-Category Ontology: A Metaphysical Foundation for Natural Science,2005
JLOPOM,E. J. Lowe,"Possibility of Metaphysics: Substance, Identity, and Time",1998
WIGSAS-2,David Wiggins,Sameness and Substance,1980
LOWTPO-12,Edward Jonathan Lowe,"The Possibility of Metaphysics: Substance, Identity, and Time",1998
MILOCA-4,Ruth Garrett Millikan,On Clear and Confused Ideas: An Essay About Substance Concepts,2000
WIGSAS-4,David Wiggins,Sameness and Substance Renewed,2001
SCHSTO-7,Jonathan Schaffer,Spacetime the One Substance,2009
KOSFMS,Kathrin Koslicki,"Form, Matter, Substance",2018
BUITWJ,David Builes,The World Just is the Way It Is,2021
SMIPAM-3,Barry Smith,Parts and Moments. Studies in Logic and Formal Ontology,1982
FINXD,Kit Fine,Xiv*--Ontological Dependence,1995
KOSTCO-6,Kathrin Koslicki,The Coarse-Grainedness of Grounding,2015
KITTAT-2,Kit Fine,Things and Their Parts,1999
SIMPIP,Peter Simons,Particulars in Particular Clothing: Three Trope Theories of Substance,1994
FINTNO,Kit Fine,The Non-Identity of a Material Thing and its Matter,2003
KASTUI,Bernardo Kastrup,The Universe in Consciousness,2018
GARLBS,Daniel Garber,"Leibniz: Body, Substance, Monad",2009
KOSODA-3,Kathrin Koslicki,Ontological Dependence: An Opinionated Survey,2013
MELSMS-2,Yitzhak Y. Melamed,Spinoza's Metaphysics: Substance and Thought,2013
HOFSIN-2,Joshua Hoffman and Gary Rosenkrantz,Substance: Its Nature and Existence,1996
FISAAA-2,A. R. J. Fisher,Abstracta and Abstraction in Trope Theory,2020
MARSS,C. B. Martin,Substance Substantiated,1980
KOOSVF,Robert Koons,Staunch Vs. Faint-Hearted Hylomorphism: Toward an Aristotelian Account of Composition,2014
SMISD,Barry Smith and Berit Brogaard,Sixteen Days,2003
TAHCAM-3,Tuomas E. Tahko,Contemporary Aristotelian Metaphysics,2011
PHIAOO,Phil Corkum,Aristotle on Ontological Dependence,2008
GARTOT-3,Robert K. Garcia,Types of Tropes : Modifier and Module,2024
KEITT,"Markku Kein\""{a}nen",Tropes ? the Basic Constituents of Powerful Particulars,2011
WEDATO,Michael Vernon Wedin,Aristotle's Theory of Substance: The Categories and Metaphysics Zeta,2000
REAHR,Michael C. Rea,Hylomorphism Reconditioned,2011
HOFSAO-5,Joshua Hoffman and Gary S. Rosenkrantz,Substance Among Other Categories,1994
CASSAF,Ernst Cassirer,Substance and Function,1923
MCDDOB,Kris McDaniel,Degrees of Being,2013
MCDART,Kris Mcdaniel,A Return to the Analogy of Being,2010
SCHACK-2,Benjamin Sebastian Schnieder,"A Certain Kind of Trinity: Dependence, Substance, Explanation",2006
LEWSAP,Frank A. Lewis,Substance and Predication in Aristotle,1991
KASOTP-3,Bernardo Kastrup,On the Plausibility of Idealism: Refuting Criticisms,2017
WIGSAS-6,E. J. Lowe,Sameness and Substance Renewed,2003
KASTIO-6,Bernardo Kastrup,The Idea of the World: A Multi-Disciplinary Argument for the Mental Nature of Reality,2019
KEITBT-2,Markku Keina?nen and Jani Hakkarainen,Trope Bundle Theories of Substance,2024
GILAOS,Mary Louise Gill,Aristotle on Substance: The Paradox of Unity,1989
ANGPES,Lucas Angioni,Prioridade e Subst\^{a}ncia Na Metaf\'{i}sica de Arist\'{o}teles,2010
AUSCHO,Christopher J. Austin,Contemporary Hylomorphisms: On the Matter of Form,2020
STEEAM-8,Andrew Stephenson,Existence and Modality in Kant: Lessons From Barcan,2023
MELAOW,Yitzhak Y. Melamed,"Acosmism or Weak Individuals?: Hegel, Spinoza, and the Reality of the Finite",2009
MILISC,Ruth G. Millikan,Introducing Substance Concepts,2000
CORODA,Phil Corkum,Ontological Dependence and Grounding in Aristotle,2016
TONHA,Patrick Toner,Hylemorphic Animalism,2011
GREACO-29,John Grey,Anne Conway's Ontology of Creation: A Pluralist Interpretation,2024
KASAOS,Bernardo Kastrup,An Ontological Solution to the Mind-Body Problem,2017
LOWANS,E. J. Lowe,A Neo-Aristotelian Substance Ontology: Neither Relational nor Constituent,2011
FURSFA-4,Montgomery Furth,"Substance, Form, and Psyche: An Aristotelean Metaphysics",1988
BAROSA,Barry Smith,"On Substances, Accidents and Universals: In Defence of a Constituent Ontology",1997
STRLMA-2,Lloyd Strickland,Leibniz's Monadology: A New Translation and Guide,2014
LEWHAG,Frank A. Lewis,How Aristotle Gets by in Metaphysics Zeta,2013
FINCAA,Kit Fine,Compounds and Aggregates,1994
TONES,Patrick Toner,Emergent Substance,2008
WILLBP,Nathan Wildman,Load Bare-Ing Particulars,2015
AUSSPA-3,Christopher J. Austin and Anna Marmodoro,Structural Powers and the Homeodynamic Unity of Organisms,2017
KASPPT,Gilles Kassel,"Physical Processes, Their Life and Their History",2020
LEIPON-2,Gottfried Wilhelm Leibniz,Principles of Nature and Grace Based on Reason,
PICBPA,Timothy Pickavance,Bare Particulars and Exemplifcation,2014
KIMLSC-2,Jaegwon Kim,Lonely Souls: Causality and Substance Dualism,2001
SchmittForthcoming-BARTCN-3,Nathaniel Baron{-}Schmitt,Thing Causation,forthcoming
TELSRA,Paul Teller,"Substance, Relations, and Arguments About the Nature of Space-Time",1991
FREATO,Gad Freudenthal,"Aristotle's Theory of Material Substance: Heat and Pneuma, Form and Soul",1995
KATAOA,Errol G. Katayama,Aristotle on Artifacts: A Metaphysical Puzzle,1999
COVSAI,J. A. Cover,Substance and Individuation in Leibniz,1999
WILEAD-6,Jessica Wilson M.,Essence and Dependence,2020
SIMFTS,Peter M. Simons,Farewell to Substance: A Differentiated Leave-Taking,1998
COHAFT,Caleb Cohoe,Accounting for the Whole: Why Pantheism is on a Metaphysical Par with Complex Theism,2020
LEWSVI,Luc\'{i}a Lewowicz and Olimpia Lombardi,Stuff Versus Individuals,2012
MELSMO,Yitzhak Y. Melamed,Spinoza?s Metaphysics of Substance: The Substance-Mode Relation as a Relation of Inherence and Predication,2008
MACVOT-4,Cynthia MacDonald,Varieties of Things: Foundations of Contemporary Metaphysics,2005
AUSOAA,Christopher J. Austin,"Organisms, Activity, and Being: On the Substance of Process Ontology",2020
TONOAA,Patrick Toner,On Aristotelianism and Structures as Parts,2012
TONOHA,Patrick Toner,On Hylemorphism and Personal Identity,2009
AITNUN,Allison Aitken,"No Unity, No Problem: Madhyamaka Metaphysical Indefinitism",2021
KOSSIA,Kathrin Koslicki,"Substance, Independence and Unity",2013
PASFSA,Robert Pasnau,"Form, Substance, and Mechanism",2004
SMIOCM,Barry Smith,On Classifying Material Entities in Basic Formal Ontology,2010
HEITPO-23,John Heil,"The Possibility of Metaphysics: Substance, Identity, and Time",2001
PAOSC,Michele Paolini Paoletti,Substance Causation,2023
PELSMM,Alik Pelman,Possible World Semantics Meets Metaphysics,2024
SEISNP,Johanna Seibt,"Non-Transitive Parthood, Leveled Mereology, and the Representation of Emergent Parts of Processes",2014
LOWSD,E. J. Lowe,Substance Dualism : A Non-Cartesian Approach,2010
SELISA,Wilfrid Sellars,I. Substance and Form in Aristotle,1957
SCHSAI-10,Anat Schechtman,Substance and Independence in Descartes,2016
ELBOTS,Andrew Elby and David Hammer,On the Substance of a Sophisticated Epistemology,2001
BENSRA,Jonathan Bennett,"Substance, Reality, and Primary Qualities",1965
WIGAPC-2,David Wiggins,"Activity, Process, Continuant, Substance, Organism",2016
RODDSD,Gonzalo Rodr\'{i}guez Pereyra,Descartes's Substance Dualism and His Independence Conception of Substance,2008
AUGEAT-3,Luis M. Augusto,Entities and Their Genera: Slicing Up the World the Medieval Way--And Does It Matter to Formal Ontology?,2022
CHIBTO-2,Roderick M. Chisholm,Brentano?s Conception of Substance and Accident,1978
SMIATO-9,Thomas E. Bittner and Barry Smith,A Taxonomy of Granular Partitions,2001
ROMSMI,Gustavo E. Romero,Systemic Materialism,2022
GIBS-3,Daniel Giberman,Supertropestantivalism,2021
SALSTO-4,Antonio Salgado Borge,Spinoza's Theory of Attributes,2024
CORSAI-4,Phil Corkum,Substance and Independence in Aristotle,2013
WEDATO-4,Mary Louise Gill,Aristotle?s Theory of Substance: The Categories and Metaphysics Zeta,2003
MORTPO-118,Alex Moran,The Paradox of Decrease and Dependent Parts,2018
LABSAS,Michael C. LaBossiere,Substances and Substrata,1994
KOSTCP-2,Kathrin Koslicki,The Causal Priority of Form in Aristotle,2014
REESKA,C. D. C. Reeve,Substantial Knowledge: Aristotle's Metaphysics,2000
COHAON-2,Sheldon M. Cohen,Aristotle on Nature and Incomplete Substance,1996
WOODSL,Roger Woolhouse,"Descartes, Spinoza, Leibniz: The Concept of Substance in Seventeenth-Century Metaphysics",1993
KEIKIA,"Markku Kein\""{a}nen and Jani Hakkarainen",Kind Instantiation and Kind Change - a Problem for Four-Category Ontology,2017
HAKTFA-2,Jani Hakkarainen,The Fundamentality and Non-Fundamentality of Ontological Categories,2022
SEITMO,Johanna Seibt,The Myth of Substance and the Fallacy of Misplaced Concreteness,2000
WITSAO-2,Charlotte Witt,Substance Among Other Categories,1996
TONSTA,Patrick Toner,St. Thomas Aquinas on Death and the Separated Soul,2010
ETADNJ,Tuomas Tahko,Disentangling Nature's Joints,2017
SPESAS-9,Lynne Spellman,Substance and Separation in Aristotle,1995
LESAOF-2,James H. Lesher,"Aristotle on Form, Substance, and Universals: A Dilemma",1971
TONIAO,Patrick Toner,Independence Accounts of Substance and Substantial Parts,2011
PROWOT,Ian Proops,Wittgenstein on the Substance of the World,2004
BECTEP-6,Francis J. Beckwith,The Explanatory Power of the Substance View of Persons,2004
ZIMSIN,Dean W. Zimmerman and Joshua Hoffman and Gary S. Rosenkrantz,Substance: Its Nature and Existence,1999
SHOSAS-8,Sydney Shoemaker,Self and Substance,1997
DIBTSO,Stefano Di Bella,The Science of the Individual: Leibniz's Ontology of Individual Substance,2005
NGUAHU,Doyen Nguyen,A Holistic Understanding of Death: Ontological and Medical Considerations,2018
SHOSAS-3,Sydney Shoemaker,Self and Substance,1997
MCHTEU,Leemon B. McHenry,The Event Universe: The Revisionary Metaphysics of Alfred North Whitehead,2015
NOLTDT,Lawrence Nolan and John Whipple,The Dustbin Theory of Mind: A Cartesian Legacy?,2006
NEESAT,Paul Needham,Substance and Time,2010
BUCMRF,Christopher Buckels,"Making Room for Particulars: Plato?s Receptacle as Space, Not Substratum",2016
DANOSO-2,Russell M. Dancy,On Some of Aristotle's Second Thoughts About Substances: Matter,1978
LOWSCA-2,E. J. Lowe,Substantial Change and Spatiotemporal Coincidence,2003
KOSTCO-10,Kathrin Koslicki,The Coarse-Grainedness of Grounding,2008
ALBIFO,Rogers Albritton,Ii. Forms of Particular Substances in Aristotle's Metaphysics,1957
SLODAI,Edward Slowik,Descartes and Individual Corporeal Substance,2001
AYETIO,M. Ayers,The Ideas of Power and Substance in Locke's Philosophy,1975
JARTCO,Charles E. Jarrett,The Concepts of Substance and Mode in Spinoza,1977
ROOMOI,James Dominic Rooney,Material Objects in Confucian and Aristotelian Metaphysics: The Inevitability of Hylomorphism,2022
BISSOT-2,Kay Malte Bischof,Spinoza on the Parts of God,forthcoming
AYESPT-2,Michael Ayers,Substance: Prolegomena to a Realist Theory of Identity,1991
BOLSAT,Robert Bolton,Science and the Science of Substance in Aristotle's Metaphysics Z,2017
BROS-25,Justin Broackes,Substance,2006
GIBPDS,Daniel Giberman and David Mark Kovacs,Property Dualists Shouldn't Be Nominalists About Properties,forthcoming
BALHTO,Joseph A. Baltimore,Heil?s Two-Category Ontology and Causation,2015
CORAOA-4,Phil Corkum,Aristotle on Artifactual Substances,2023
MANLPD-2,Suzanne Mansion,La Premi\`{e}re Doctrine de la Substance : La Substance Selon Aristote,1946
WATNCA-3,Sarah Waterlow,"Nature, Change, and Agency in Aristotle's Physics.Passage and Possibility: A Study of Aristotle's Modal Concepts",1984
