ID,Author,Title,Year
KRIITA-3,Saul A. Kripke,Is There a Problem About Substitutional Quantification?,1976
EVATAM,Gareth Evans and John McDowell,Truth and Meaning: Essays in Semantics,1976
MOLNQ,Friederike Moltmann,Nominalizing Quantifiers,2003
MOLTSO-12,Friederike Moltmann,Chapter 3: The Semantics of Special Quantifiers in Predicate Position,2012
DUNTSI,J. Michael Dunn and Nuel D. Belnap,The Substitution Interpretation of the Quantifiers,1968
Yami2020-BENTQA-3,Hanoch Ben{-}Yami,The Quantified Argument Calculus and Natural Logic,2020
CONFSS,Marcelo E. Coniglio and Aldo Figallo{-}Orellano and Ana Claudia Golzio,First-Order Swap Structures Semantics for Some Logics of Formal Inconsistency,2020
YINTQA,Hongkai Yin and Hanoch Ben{-}Yami,The Quantified Argument Calculus with Two- and Three-Valued Truth-Valuational Semantics,2022
MOLSQH,Friederike Moltmann,Special Quantifiers: Higher-Order Quantification and Nominalization,manuscript
PARAPF,Charles Parsons,A Plea for Substitutional Quantification,1971
GOTOES,Dale Gottlieb,Ontological Economy: Substitutional Quantification and Mathematics,1980
HYLRST,Peter Hylton,Russell's Substitutional Theory,1980
KNGSQA,"Guido K\""{u}ng and John Thomas Canty",Substitutional Quantification and Le'sniewskian Quantifiers,1970
INWWID,Peter van Inwagen,Why I Don't Understand Substitutional Quantification,1981
MARNAT-5,Ruth Barcan Marcus,Nominalism and the Substitutional Quantifier,1978
MAROES-2,Stanley Martens,Ontological Economy: Substitutional Quantification and Mathematics,1983
GOTSQA,Dale Gottlieb and Timothy McCarthy,Substitutional Quantification and Set Theory,1979
GEOOBC,Geoff Georgi,On Being Called Something,2017
WESTWQ,T. S. Weston,Theories Whose Quantification Cannot Be Substitutional,1974
HARSQA-2,Gilbert Harman,Substitutional Quantification and Quotation,1971
GEOAPS,Geoff Georgi,A Propositional Semantics for Substitutional Quantification,2015
WALCTA-2,John Wallace,Convention T and Substitutional Quantification,1971
COPANO-3,B. J. Copeland,A Note on the Barcan Formula and Substitutional Quantification,1982
MOLSQS,Friederike Moltmann,"Special Quantification: Substitutional, Higher-Order, and Nominalization Approaches",forthcoming
YamiManuscript-BENTAP-8,Hanoch Ben{-}Yami,Truth and Proof Without Models: A Development and Justification of the Truth-Valuational Approach (2nd edition),manuscript
BONSOS,Daniel Bonevac,Systems of Substitutional Semantics,1984
COPSQA,B. J. Copeland,Substitutional Quantification and Existence,1985
LEWSQA,H. A. Lewis,Substitutional Quantification and Nonstandard Quantifiers,1985
JOSTAS,Joseph L. Camp,Truth and Substitution Quantifiers,1975
HUGWSQ,Philip Hugly and Charles Sayward,Why Substitutional Quantification Does Not Express Existence,1987
HOLTIO-38,Andrew Holster,The Incompleteness of Extensional Object Languages of Physics and Time Reversal. Part 2,manuscript
HUGQOT,Philip Hugly and Charles Sayward,Quantifying Over the Reals,1994
PHIIAS,Philip Hugly and Charles Sayward,Indenumerability and Substitutional Quantification,1982
ORERAN,Alex Orenstein,Referential and Nonreferential Substitutional Quantifiers,1984
PARMAA,Charles Parsons,Much Ado About Substitutional Quantification,1976
CRAPVI,William Craig,"Peter van Inwagen, Substitutional Quantification, and Ontological Commitment",2014
HUGTIA-2,Philip Hugly and Charles Sayward,There is a Problem with Substitutional Quantification,2002
COHRGA,L. Jonathan Cohen,Roger Gallie and Substitutional Quantification,1974
TERQAB-2,Burnham Terrell,Quantification and Brentano's Logic,1978
HANMTA,Michael Hand,"Meaning, Truth-Conditions, and Substitutional Quantification",1992
FERASF-5,Fernando Ferreira,A Substitutional Framework for Arithmetical Validity,1998
TILOES,Mary Tiles,Ontological Economy: Substitutional Quantification and Mathematics,1982
DAVANO-3,Martin Davies,A Note on Substitutional Quantification,1980
REBAGA,Manuel Rebuschi,About Games and Substitution,2003
TOMQOO,James E. Tomberlin,Quantification: Objectual or Substitutional?,1997
BYRRRH,M. Byrd,Review. Russell's Hidden Substitutional Theory. G Landini,2000
SANOTS,Marco Santambrogio,"On the Sameness of Thoughts. Substitutional Quantifiers, Tense, and Belief",2006
GALANP-3,R. D. Gallie,A. N. Prior and Substitutional Quantification,1974
BALKPA,Thomas Baldwin,"Kripke, Pseudo-Kripke, and Wallace",1978
LUDSSA-2,Peter Ludlow,Substitutional Semantics and Natural Language Quantification,unknown
CARTIA-6,James D. Carney and Zak Van Straaten,Translational Indeterminacy and Substitutional Quantifiers,1974
SCOTSQ-2,James B. Scoggin,The Substitutional Quantifier,1978
GALSAS,R. D. Gallie,Substitutionalism and Substitutional Quantification,1975
DAKIDO,M. Dako,In Defense of Substitutional Quantification,1986
PARSQA,Charles Parsons,Substitutional Quantification and Mathematics,1982
FIEDGO,Hartry Field,"Dale Gottlieb, Ontological Economy: Substitutional Quantification and Mathematics",1984
GOTOES-5,Michael Jubien,Ontological Economy: Substitutional Quantification and Mathematics by Dale Gottlieb,1982
DAVAST,Marian David,A Substitutional Theory of Truth?,2006
WESRDG,T. S. Weston,"Review: Dale Gottlieb, Ontological Economy: Substitutional Quantification and Mathematics",1982
