ID,Author,Title,Year
VELARO,J. David Velleman,A Right of Self-Termination?,1999
LUPTPO-6,Steven Luper,The Philosophy of Death,2009
FELCWT-2,Fred Feldman,Confrontations with the Reaper: A Philosophical Study of the Nature and Value of Death,1992
MUOOTO,Daniel Mu\~{n}oz,Obligations to Oneself,2022
BACSRK,Theodore Bach,Same-Tracking Real Kinds in the Social Sciences,2022
HILMAA-2,Scott Hill,Murdering an Accident Victim: A New Objection to the Bare-Difference Argument,2018
CHOKPA-2,Michael Cholbi,Kantian Paternalism and Suicide Intervention,2013
VELBP-2,J. David Velleman,Beyond Price,2008
CHOSTP-3,Michael Cholbi,Suicide: The Philosophical Dimensions,2011
MARSOT-30,Colin Marshall,Schopenhauer on the Futility of Suicide,forthcoming
CHOKOE,Michael Cholbi,Kant on Euthanasia and the Duty to Die: Clearing the Air,2015
BROWON-2,Samuel M. Brown and C. Gregory Elliott and Robert Paine,Withdrawal of Nonfutile Life Support After Attempted Suicide,2013
CHOTRO-16,Michael Cholbi,The Rationality of Suicide and the Meaningfulness of Life,2022
ATRGOS,Scott Atran,Genesis of Suicide Terrorism,2003
VARMEE-2,Jukka Varelius,"Medical Expertise, Existential Suffering and Ending Life",2014
METLWL-3,Thaddeus Metz,Life Worth Living (Rev. Edn),2021
CHOAKD,Michael Cholbi,A Kantian Defense of Prudential Suicide,2010
KAUSAP-3,Antti Kauppinen,Suicide as Protest,forthcoming
CHOS,Michael Cholbi,Suicide,2012
MAYTCO-2,David J. Mayo,The Concept of Rational Suicide,1986
ATAKOC,Attila Ataner,Kant on Capital Punishment and Suicide,2006
BEAS-4,Tom L. Beauchamp,Suicide,1980
CHOSIA,Michael J. Cholbi,Suicide Intervention and Non?Ideal Kantian Theory,2002
HILWII,Daniel J. Hill,What is It to Commit Suicide?,2011
SPEEIA,Lucienne Spencer and Matthew Broome,Epistemic Injustice and Suicide Claims (1st edition),2024
GRERTN-3,John Grey,Reply to Nadler: Spinoza and the Metaphysics of Suicide,2017
CHOKAT,Michael Cholbi,Kant and the Irrationality of Suicide,2000
CHOTTT-2,Michael Cholbi,"The Terminal, the Futile, and the Psychiatrically Disordered",2013
NOWDUI,Piotr Grzegorz Nowak and Tomasz \.{Z}uradzki,Deep Uncertainties in the Criteria for Physician Aid-in-Dying for Psychiatric Patients,2019
VARNDI,Jukka Varelius and Michael Cholbi,New Directions in the Ethics of Assisted Suicide and Euthanasia,2015
PATASA-4,Craig Paterson,Assisted Suicide and Euthanasia: A Natural Law Ethics Approach,2008
REEARP,Philip A. Reed,Against Recategorizing Physician-Assisted Suicide,2020
LUSASA,Getty L. Lustila,Adam Smith and the Stoic Principle of Suicide,2020
JANHDO,Finn Janning,Happy Death of Gilles Deleuze,2013
TRUAFK,Dana Trusso,Amor Fati,2023
FAICST,Gavin J. Fairbairn and Gavin Fairbairn,Contemplating Suicide: The Language and Ethics of Self-Harm,1995
HUMEOS,David Hume,Essays on Suicide and the Immortality of the Soul,
BEAHOT,Tom L. Beauchamp,Hume on the Nonhuman Animal,1999
CHOTDT,Michael Cholbi,The Duty to Die and the Burdensomeness of Living,2010
CHOSSA-2,Michael Cholbi,"Schopenhauer, Suicide, and Contemporary Pessimism",2021
CHOETP-2,Michael Cholbi and Travis Timmerman,Exploring the Philosophy of Death and Dying: Classic and Contemporary Perspectives,2020
BHARAR-3,Ayesha Rachel Bhavsar,Respect and Rationality: The Challenge of Attempted Suicide,2013
FAICST-2,Gavin Fairbairn and David J. Mayo,Contemplating Suicide: The Language and Ethics of Self Harm,1995
BECBVO,Carl B. Becker,Buddhist Views of Suicide and Euthanasia,1990
COWSIN,Christopher Cowley,Suicide is Neither Rational nor Irrational,2006
FITRTS-3,Scott J. Fitzpatrick,Re-Moralizing the Suicide Debate,2014
JACSOT,Dale Jacquette,Schopenhauer on the Ethics of Suicide,2000
BLAATS,George F. Blackall and Rebecca L. Volpe and Michael J. Green,After the Suicide Attempt: Offering Patients Another Chance,2013
BHARAR,Ayesha Rachel Bhavsar,Respect and Rationality: The Challenge of Attempted Suicide,2013
DAUTLO,David Daube,The Linguistics of Suicide,1972
FISAAP-3,Celia B. Fisher,Adolescent and Parent Perspectives on Ethical Issues in Youth Drug Use and Suicide Survey Research,2003
IRMPEI,Nurbay Irmak,Professional Ethics in Extreme Circumstances: Responsibilities of Attending Physicians and Healthcare Providers in Hunger Strikes,2015
TORMIS,Eugene V. Torisky,Minimally Intentional Suicide and ?the Falling Man?,2015
WILTDO-7,Emily R. Wilson,The Death of Socrates,2007
HOLS-4,R. F. Holland,Suicide,1968
CLAARA-2,D. M. Clarke,"Autonomy, Rationality and the Wish to Die",1999
GUNAKV,Martin Gunderson,A Kantian View of Suicide and End-of-Life Treatment,2004
ATRTML,Scott Atran,The Moral Logic and Growth of Suicide Terrorism,2006
MCCDED-2,Anthony McCarthy and Helen Watt,Double Effect Donation or Bodily Respect? A 'Third Way' Response to Camosy and Vukov,forthcoming
QIRAIS,Hector N. Qirko,Altruism in Suicide Terror Organizations,2009
EBEAOE,Jason T. Eberl,"Aquinas on Euthanasia, Suffering, and Palliative Care",2003
CHAWAS-4,Marc Champagne,What About Suicide Bombers? A Terse Response to a Terse Objection,2011
BENLDA-8,David Benatar,"Life, Death, and Meaning: Key Philosophical Readings on the Big Questions",2004
GVOIDO,G. Vong,In Defence of Kant's Moral Prohibition on Suicide Solely to Avoid Suffering,2008
DICTTF,Julian Savulescu and Donna Dickenson,"The Time Frame of Preferences, Dispositions, and the Validity of Advance Directives for the Mentally Ill",1998
STENOS-3,Paolo Stellino,Nietzsche on Suicide,2013
NOBEOM,Nathan Nobis,"Euthanasia, or Mercy Killing",2019
GRASIS,Valerie Gray Hardcastle and Rosalyn Walker Stewart,Supporting Irrational Suicide,2002
MICSBP,Vicki A. Michel,Suicide by Persons with Disabilities Disguised as the Refusal of Life-Sustaining Treatment,1995
CHONLR,Michael Cholbi,No Last Resort: Pitting the Right to Die Against the Right to Medical Self-Determination,2015
CREPDF,Montserrat Crespin Perales,"Punts de Fuga, Punts Impropis",2023
LEVCOS,Ken Levy and Alex Cohen,"Commentary on Szmukler: Mental Illness, Dangerousness, and Involuntary Civil Commitment",2016
VARSAT-3,Jukka Varelius,Suffering at the End of Life,2018
PIGDED,Massimo Pigliucci,Dying (Every Day) with Dignity: Lessons From Stoicism,2015
HALASL,Steven William Halady,"Attempted Suicide, Lgbt Identity, and Heightened Scrutiny",2013
BUYSOC,F. Buyse,"Spinoza on Conatus, Inertia and the Impossibility of Self-Destruction",manuscript
TONART,Ryan S. Tonkens,A Reply to Cholbi's 'Suicide Intervention and Non-Ideal Kantian Theory',2007
LATKCA,Stephen R. Latham,Kant Condemned All Suicide,2007
JONTPM-3,Steve Jones,"Twisted Pictures: Morality, Nihilism and Symbolic Suicide in the Saw Series",2013
BASWUD,Ren\'e Baston,What Underlies Death/Suicide Implicit Association Test Measures and How It Contributes to Suicidal Action,forthcoming
JANTSA-2,\A{A}sa Jansson,"Teaching ?Small and Helpless? Women How to Live: Dialectical Behaviour Therapy in Sweden, Ca 1995?2005",2018
PATAHO,Craig Paterson,"A History of Ideas Concerning Suicide, Assisted Suicide and Euthanasia",manuscript
FREHOS,R. G. Frey,Hume on Suicide,1999
TOBSAM,Adolf Tobe\~{n}a,Suicide Attack Martyrdoms,2011
PATAHO-2,Craig Paterson,"A History of Ideas Concerning the Morality of Suicide, Assisted Suicide and Voluntary Euthanasia",2009
BATMS,M. Pabst Battin,Manipulated Suicide,1980
YOUMSA,Jerome Young,"Morals, Suicide, and Psychiatry: A View From Japan",2002
Gillet1987-STETRO-24,Suzanne Stern{-}Gillet,The Rhetoric of Suicide,1987
TERSAS,Terence M. O'Keeffe,Sucide and Self-Starvation,1984
WINLOS,George Windstrup,Locke on Suicide,1980
STEPPO-3,Paolo Stellino,Philosophical Perspectives on Suicide,2020
NYIPAS,J. C. Nyiri,Philosophy and Suicide-Statistics in Austria-Hungary: Variation on a Theme of Masaryk,1988
VARMIN-2,Jukka Varelius,"Mental Illness, Natural Death, and Non-Voluntary Passive Euthanasia",2016
MCCDED,Anthony McCarthy and Helen Watt,"Double Effect Donation or Bodily Respect? A ""Third Way"" Response to Camosy and Vukov",forthcoming
CHOMES,Michael Cholbi,Medically Enabled Suicides,2015
VARMIN,Jukka Varelius,"Mental Illness, Natural Death, and Non-Voluntary Passive Euthanasia",2015
BUYSOC-2,Filip A. A. Buyse,"Spinoza on Conatus, Inertia, and the Impossibility of Self-Destruction",2016
VARLMA-4,Jukka Varelius,Life?s Meaning and Late Life Rational Suicide,2016
SHAMPB-2,Joshua Shaw,Must Pessimists Be Suicidal?,2024
EDWKOS,Paul Edwards,Kant on Suicide,2007
TRASP,Howard Trachtman,Spinoza's Passions,2007
VARI-4,Jukka Varelius and Michael Cholbi,Introduction,2015
COOCCA-2,D. R. Cooley,Crimina Carnis and Morally Obligatory Suicide: Erratum,2006
STEKAN,Paolo Stellino,Kant and Nietzsche on Suicide,2015
LEVGVO,Ken Levy,Gonzales V. Oregon and Physician-Assisted Suicide: Ethical and Policy Issues,2007
