ID,Author,Title,Year
DREIWR,Hubert L. Dreyfus,Intelligence Without Representation ? Merleau-Ponty?s Critique of Mental Representation,2002
DREIWR-2,Hubert L. Dreyfus,Intelligence Without Representation ? Merleau-Ponty's Critique of Mental Representation the Relevance of Phenomenology to Scientific Explanation,2002
SPETAO-17,Charles Spearman,The Abilities of Man: Their Nature and Measurement,1927
DRESCE,Hubert L. Dreyfus,Skillful Coping: Essays on the Phenomenology of Everyday Perception and Action,2014
WEAISA-2,Brian Weatherson,Intellectual Skill and the Rylean Regress,2017
PAVISE,Carlotta Pavese,Intelligence Socialism,forthcoming
BLOIHA-3,N. J. Block and Gerald Dworkin,"Iq, Heritability and Inequality, Part 1",1974
SMAMI-2,Paul R. Smart,Mandevillian Intelligence,2018
CURSS-4,Devin Sanchez Curry,Street Smarts,2021
SIMHTC-2,Matthew Sims,"How to Count Biological Minds: Symbiosis, the Free Energy Principle, and Reciprocal Multiscale Integration",2020
GLOAIA,Hans{-}Johann Https://Orcidorg909X Glock,"Agency, Intelligence and Reasons in Animals",2019
COEIBL,Dimitri Coelho Mollo,Intelligent Behaviour,2022
MACCSO-2,Euan M. Macphail,Comparative Studies of Animal Intelligence: Is Spearman's G Really Hull's D?,1985
SERWKO,Serpico Davide,What Kind of Kind is Intelligence?,2017
KRATIR-2,John W. Krakauer,The Intelligent Reflex,2019
CUROIA-2,Devin Sanchez Curry,On Iq and Other Sciencey Descriptions of Minds,forthcoming
SCHDIT-5,"Peter H. Sch\""{o}nemann",Do Iq Tests Really Measure Intelligence?,1983
MCGXC,Victoria McGeer,Xv--Intelligent Capacities,2018
CURGAB,Devin Sanchez Curry,\_{G}_ as Bridge Model,2021
SMAMIF,Paul Smart,Mandevillian Intelligence: From Individual Vice to Collective Virtue,2018
ZIPIII,Silvano Zipoli Caiani,Intelligence Involves Intensionality: An Explanatory Issue for Radical Enactivism (Again),2022
MALMIF,Catherine Malabou,Morphing Intelligence: From Iq Measurement to Artificial Brains,2019
RONS-2,Avital Ronell,Stupidity,2001
ALFSTA-2,Mark Alfano,Stereotype Threat and Intellectual Virtue,2014
STETTT,Susan G. Sterrett,Turing's Two Tests for Intelligence,1999
EGETOI,Jonathan Egeland,Theories of Independent Intelligences as a Lakatosian Research Program,2022
Orallo2000-HERBTT,Jose Hernandez{-}Orallo,Beyond the Turing Test,2000
BLOIHA-4,N. J. Block and Gerald Dworkin,"Iq, Heritability and Inequality, Part 2",1974
GOLANT,Sacha Golob,A New Theory of Stupidity,2019
STETMI-5,Susan G. Sterrett,Too Many Instincts: Contrasting Philosophical Views on Intelligence in Humans and Non-Humans,2014
SIMSCO,Matthew Sims,"Strong Continuity of Life and Mind: The Free Energy Framework, Predictive Processing and Ecological Psychology",2021
ENGTEO-16,Pascal Engel,The Epistemology of Stupidity,2016
ALFIFV-3,Mark Alfano and Joshua August Skorburg,Implications for Virtue Epistemology From Psychological Science: Intelligence as an Interactionist Virtue,2018
CHOOTM,Fran\c{c}ois Chollet,On the Measure of Intelligence,manuscript
TENTVO,Ren\'e ten Bos,The Vitality of Stupidity,2007
PAVITR,Carlotta Pavese,Introduction to Routledge Handbook of Philosophy of Skill and Expertise,2020
ALFIFV,Mark Alfano and Gus Skorburg,Implications for Virtue Epistemology From Psychological Science: Intelligence as an Interactionist Virtue,2018
STEMOM-7,Robert J. Sternberg,Metaphors of Mind: Conceptions of the Nature of Intelligence,1990
DESWMC,Vinciane Despret,Who Made Clever Hans Stupid?,2015
BARIAS-8,Pierluigi Barrotta and Roberto Gronda,Intelligence and Scientific Expertise,2022
KIPIID,Jens Kipper,"Intuition, Intelligence, Data Compression",2019
INTUTE,Leda Cosmides,Unraveling the Enigma of Human Intelligence: Evolutionary Psychology and the Multimodular Mind,2001
TJSIAA,Trond A. Tj\o{}stheim and Andreas Stephens,Intelligence as Accurate Prediction,2022
ROIEAI,Aida Roige,Eugenics and Iq Testing,2014
DEKRSL-4,Thomas De Koninck,Reflexions Sur L'Intelligence,1988
WAGCSA,Morton Wagman,Cognitive Science and Concepts of Mind: Toward a General Theory of Human and Artificial Intelligence,1991
DANIIA,Norman Daniels,"Iq, Intelligence, and Educability",1974
LLOIAI-7,G. E. R. Lloyd,Intelligence and Intelligibility: Cross-Cultural Studies of Human Cognitive Experience,2020
THUTNO,Louis Leon Thurstone,The Nature of Intelligence,1924
FLYTAT,James R. Flynn,Towards a Theory of Intelligence Beyond G,2006
MERUIA,Roger Merry and Ken Richardson and Roy Nash,Understanding Intelligenceintelligence and Realism: A Materialist Critique of Iq,1992
BARLIA-2,Robin Barrow,"Language, Intelligence, and Thought",1993
SMICIK,Steven G. Smith,Can I Know Your Iq?,1997
EYLIAD-2,A. G. Eyles,Intelligence and Differential Modes of Thinking,1973
POSTS,Tano Posteraro,Transcendental Stupidity,2016
MACSPA-3,Alasdair Macintyre and P. H. Nowell{-}Smith,Symposium: Purpose and Intelligent Action,1960
VANTEO-5,Matthijs van Boxsel,The Encyclopaedia of Stupidity,2003
WMAAPR,W. Mays,A Philosopher's Reaction to Intelligence Tests,1954
STOOTM,G. D. Stoddard,On the Meaning of Intelligence,1941
FINPIF,James W. Findlay,Play Intelligence: From Iq to Piq,2014
VETIOI,Atam Vetta,Iq or Intelligence?,1982
GOLHOI,Sam Goldstein and Jack A. Naglieri and Dana Princiotta,"Handbook of Intelligence: Evolutionary Theory, Historical Perspective, and Current Concepts",2015
SERLTN,Davide Serpico,L'intelligenza Tra Natura e Cultura,2022
WYAIIM,H. G. Wyatt,Intelligence in Man and Ape,1926
ALTTCO,Ira Altman,The Concept of Intelligence: A Philosophical Analysis,1997
FISICI-2,Constance T. Fischer,Intelligence Contra Iq,1975
ROBIAI,A. A. Roback,Intelligence and Intellect,1922
STARAI-3,Keith E. Stanovich,Rational and Irrational Thought: The Thinking That Iq Tests Miss,2009
ZHATDO-11,Yinsheng Zhang,The Development of Ideas on Computable Intelligence,2017
WALPSI-3,Jordan Joseph Wales,Participatory Spiritual Intelligence: A Theological Perspective,2024
SHEIIP-2,Alfred Shephard,"Intelligence, Iq, Public Opinion and Scientific Psychology",1981
PETBC-3,Stephen David Petersen,Belief-Desire Coherence,2003
MILWWC,Lynda Miller,What We Call Smart: A New Narrative for Intelligence and Learning,1993
MOSSOK-2,G. Moskalyk,Society of Knowledges as Space of Development of Intellect of Personality,2015
RESHAK,Inc National Professional Resources,How Are Kids Smart? Multiple Intelligences in the Classroom,1995
DORPOS-3,Marius Dorobantu and Fraser Watts,Perspectives on Spiritual Intelligence,2024
ERKMIF,Ekin Erkan,Morphing Intelligence: From Iq Measurement to Artificial Brains,2020
HAYCMM,N. Katherine Hayles,"Catherine Malabou. Morphing Intelligence: From Iq Measurement to Artificial Brains. Trans. Carolyn Shread. New York: Columbia University Press, 2019. 198 Pp",2020
ALLJJM,G. Allen,"J. J. Murphy, Habit and Intelligence",1879
DOLKRT,R. G. A. Dolby,"Ken Richardson, the Making of Intelligence. Maps of the Mind. New York: Columbia University Press, 2000. Pp. Viii+210. Isbn 0-231-12004-4. \$24.95",2002
