ID,Author,Title,Year
DEWAAE-9,John Dewey,Art as Experience,1934
COLTPO-12,R. G. Collingwood,The Principles of Art,1938
MIKCAI-2,Elz\.e Sigut\.e Mikalonyt\.e and Markus Kneer,Can Artificial Intelligence Make Art?,2022
LOPBA,Dominic Lopes,Beyond Art,2014
XHIFOI,Michel{-}Antoine Xhignesse,Failures of Intention and Failed-Art,2020
WHIMMO-4,Daniel Whiting,Margaret Macdonald on the Definition of Art,2022
ADATDO-2,Thomas Adajian,The Definition of Art,2018
XHIWMA,Michel{-}Antoine Xhignesse,What Makes a Kind an Art-Kind?,2020
COCTAV,Tom Cochrane,The Aesthetic Value of the World,2021
ABEAWI,Catharine Abell,Art: What It is and Why It Matters,2011
SHETPO-3,James Shelley,The Problem of Non-Perceptual Art,2003
GAUTCA,Berys Gaut,The Cluster Account of Art Defended,2005
UIDACP-2,Christy Mag Uidhir and P. D. Magnus,Art Concept Pluralism,2011
DAVDAA-4,Stephen Davies,Defining Art and Artworlds,2015
LEVAC-2,Jerrold Levinson,Aesthetic Contextualism,2007
BALSAA-2,Andrea Baldini,Street Art: A Reply to Riggle,2016
Cardwell2021-GRATAE-9,Patrick Grafton{-}Cardwell,The Aesthetic Engagement Theory of Art,2021
LOPNNA-2,Dominic McIver Lopes,Nobody Needs a Theory of Art,2008
IRVAAA,Sherri Irvin,Appropriation and Authorship in Contemporary Art,2005
MAGDAP,P. D. Magnus and Christy Mag Uidhir,Does Art Pluralism Lead to Eliminativism?,2024
BARPEA-14,Christopher Bartel and Jack M. C. Kwong,"Pluralism, Eliminativism, and the Definition of Art",2021
SIMASE-2,Vid Simoniti,Assessing Socially Engaged Art,2018
MAYTEO-3,Patrick Maynard,The Engine of Visualization: Thinking Through Photography,1997
WITCCA-2,Ryan Wittingslow,Critical Contextual Aestheticism,forthcoming
DILHAA-2,Matt Dill,"Heidegger, Art, and the Overcoming of Metaphysics",2017
DOSHNT,Miguel F. Dos Santos,How (Not) to Be a Buck-Passer About Art,forthcoming
CHRFAF,Christy Mag Uidhir,Failed-Art and Failed Art-Theory,2010
BARCAT-34,Christopher Bartel,"Computer Art, Technology, and the Medium",2022
OPPODA,Graham Oppy,On Defining Art Historically,1991
WYNDAP,Andrew Wynn Owen,Does a Plausible Construal of Aesthetic Value Give Us Reason to Emphasize Some Aesthetic Practices Over Others?,2023
DEATNO,Jeffrey T. Dean,The Nature of Concepts and the Definition of Art,2003
FOKTCA,Simon Fokt,The Cluster Account of Art: A Historical Dilemma,2014
LOPAWA,Dominic McIver Lopes,Art Without ?Art?,2007
CLODOA,David Clowney,Definitions of Art and Fine Art's Historical Origins,2011
FOKTCD,Simon Fokt,The Cultural Definition of Art,2017
DAVTCT-9,S. Davies and J. Robinson,The Cluster Theory of Art,2004
WILFEA-6,Nick Wiltsher,"Feeling, Emotion and Imagination: In Defence of Collingwood's Expression Theory of Art",2018
MESTCA,Aaron Meskin,The Cluster Account of Art Reconsidered,2007
LONTDT-2,Francis Longworth and Andrea Scarantino,The Disjunctive Theory of Art: The Cluster Account Reformulated: Articles,2010
IRVIAO,Sherri Irvin and Julian Dodd,In Advance of the Broken Theory: Philosophy and Contemporary Art,2017
