ID,Author,Title,Year
CAPTII,Herman Cappelen and Josh Dever,The Inessential Indexical: On the Philosophical Insignificance of Perspective and the First Person,2013
MAGTMO-10,Ofra Magidor,The Myth of the de Se,2015
KOVDS,David Mark Kovacs,Diachronic Self-Making,2020
MOLRTA,Friederike Moltmann,Relative Truth and the First Person,2010
PROITE,Simon Prosser and Fran\c{c}ois Recanati,Immunity to Error Through Misidentification,2012
Carpintero2016-STEAOD-4,Manuel Garci?a{-}Carpintero and Stephan Torre,About Oneself: De Se Thought and Communication,2016
STOCAC-7,Una Stojni\'c,Context and Coherence: The Logic and Grammar of Prominence,2021
CORWII-3,Eros Corazza and William Fish and Jonathan Gorvett,Who is I?,2002
PROXAI,Simon Prosser,Xii--Why Are Indexicals Essential?,2015
PRIEL,A. N. Prior,Egocentric Logic,1968
RECITE-2,Fran\c{c}ois Recanati,Immunity to Error Through Misidentification: What It is and Where It Comes From,2012
LONITA-4,Guy Longworth,Iv--Sharing Thoughts About Oneself,2013
COHIAT,Jonathan Cohen and Eliot Michaelson,Indexicality and the Answering Machine Paradox,2013
CIENRF,Tadeusz Ciecierski and Jakub Rudnicki,A Not-so-Simple Rule for ?I?,2023
MOLGOA,Friederike Moltmann,"Generic One, Arbitrary Pro, and the First Person",2006
Romluc2006-ROMI-2,K. Romdenh{-}Romluc,I,2006
LONYAM,Guy Longworth,You and Me,2014
MOLGDS,Friederike Moltmann,Generalizing Detached Self-Reference and the Semantics of Generic One,2010
RADTLO-3,Alexandru Radulescu,The Logic of Indexicals,2015
MITSCI-4,Jonathan Mitchell,"Self-Locating Content in Visual Experience and the ""Here-Replacement"" Account",2021
DODIAU,Dylan Dodd and Paula Sweeney,Indexicals and Utterance Production,2010
SKIFUT,Lukas Skiba,Frege's Unthinkable Thoughts,2017
CAPAWT,Herman Cappelen and Joshua Dever,Acting Without Me: Corporate Agency and the First Person Perspective,2021
MCGITE,Aidan McGlynn,Immunity to Error Through Misidentification and the Epistemology of de Se Thought,2016
ECHGAR,Santiago Echeverri,Guarantee and Reflexivity,2020
