ID,Author,Title,Year
MCCSPP,John McCarthy and Patrick Hayes,Some Philosophical Problems From the Standpoint of Artificial Intelligence,1969
CLACPA-8,Sam Clarke,Cognitive Penetration and Informational Encapsulation: Have We Been Failing the Module?,2021
DENCWT,Daniel Dennett,Cognitive Wheels: The Frame Problem of Ai,1984
PYLTRD,Zenon W. Pylyshyn,The Robot's Dilemma: The Frame Problem in Artificial Intelligence,1987
MCCECC,Ronald Albert McClamrock,Existential Cognition: Computational Minds in the World,1995
FODMFF,Jerry A. Fodor,"Modules, Frames, Fridgeons, Sleeping Dogs, and the Music of the Spheres",1987
SEEAET,Axel Seemann,"An Externalist Theory of Social Understanding: Interaction, Psychological Models, and the Frame Problem",2021
RIECAR,Erik Rietveld,Context-Switching and Responsiveness to Real Relevance,2012
SHATFP,Murray Shanahan,The Frame Problem,2008
ANDPPA-9,Brett P. Andersen and Mark Miller and John Vervaeke,Predictive Processing and Relevance Realization: Exploring Convergent Solutions to the Frame Problem,forthcoming
WHECIC,Michael Wheeler,"Cognition in Context: Phenomenology, Situated Robotics and the Frame Problem",2008
ANDDTR,Holger Andreas,Dynamic Tractable Reasoning: A Modular Approach to Belief Revision,2020
FORTRD,Kenneth M. Ford and Zenon W. Pylyshyn,The Robot's Dilemma Revisited: The Frame Problem in Artificial Intelligence,1996
FRIRCI,Marcello Frixione and Antonio Lieto,"Representing Concepts in Formal Ontologies: Compositionality Vs. Typicality Effects""",2012
SHAAGW,Murray Shanahan and Bernard Baars,Applying Global Workspace Theory to the Frame Problem,2005
HAUAOO,John Haugeland,An Overview of the Frame Problem,1987
REYFTP-2,Jack Reynolds,Framing the Predictive Mind: Why We Should Think Again About Dreyfus,2024
FODMFF-3,Jerry A. Fodor,"Modules, Frames, Fridgeons, Sleeping Dogs, and the Music of the Spheres",1987
HAYWTF,Patrick Hayes,What the Frame Problem is and Isn't,1987
SPEFFP,Dan Sperber and Deirdre Wilson,Fodor's Frame Problem and Relevance Theory (Reply to Chiappe \& Kukla),1996
CROTTT,Larry Crockett,The Turing Test and the Frame Problem: Ai's Mistaken Understanding of Intelligence,1994
BACACA-2,Theodore Bach,Analogical Cognition: Applications in Epistemology and the Philosophy of Mind and Language,2012
IZACPM,C. E. Izard and F. A. Masterson,Colby's Paranoia Model: An Old Theory in a New Frame?,1981
