ID,Author,Title,Year
VUOTMA,Quan{-}Hoang Vuong and Minh{-}Hoang Nguyen and Viet{-}Phuong La,The Mindsponge and Bmf Analytics for Innovative Thinking in Social Sciences and Humanities,2022
SMATCE-2,Paul Smart and Richard Heersmink and Robert Clowes,The Cognitive Ecology of the Internet,2017
FLOTFR-4,Luciano Floridi,The Fourth Revolution,2012
FLOOTI-2,Luciano Floridi,On the Intrinsic Value of Information Objects and the Infosphere,2002
FLOALI,Luciano Floridi,A Look Into the Future Impact of Ict on Our Lives,2007
TRUPM,P. D. Magnus,On Trusting Wikipedia,2009
LAVIDA,Andrea Lavazza and Mirko Farina,"Infosphere, Datafication, and Decision-Making Processes in the Ai Era",2023
HOFTEU,Manh{-}Tung Ho and Hong{-}Kong To Nguyen,From the Eco-Calypse to the Infocalypse: The Importance of Building a New Culture for Protecting the Infosphere,2024
TAGFLT,Silvano Tagliagambe and Luca Taddio,"From Landscape to Mindscape, From Mindscape to Walkscape and From Milieu to Infosphere",2021
KELICI-2,Matthew Kelly and Jared Bielby,Information Cultures in the Digital Age,2016
FINE-9,Niels Finnemann,E-Text,2018
VAKTIM,Orlin Vakarelov,The Information Medium,2012
MLLWYM,"Vincent C. M\""{u}ller",Would You Mind Being Watched by Machines? Privacy Concerns in Data Mining,2009
FINHAT-7,Niels Finnemann,Hypertext and the Representational Capacities of the Binary Alphabet,1999
HERAIC,Ken Herold,An Information Continuum Conjecture,2003
WHISHS,Graham White,"Semantics, Hermenutics, Statistics: Some Reflections on the Semantic Web",forthcoming
Roesch2015-LUCSC-2,Markus Luczak{-}Roesch and Ramine Tinati and Kieron O'Hara and Nigel Shadbolt,Socio-Technical Computation,2015
WHIITE,Jeffrey White,Infosphere to Ethosphere Moral Mediators in the Nonviolent Transformation of Self and World,201?
STOEFT,Ethan Stoneman,Escape From the Digital Infosphere! Mutation and Disentanglement in Franco Berardi?s Critical Media Theory,2023
ARITEO-10,Emanuele Arielli,The Ecology of (Dis-)Engagement in Digital Environments,2024
LENMCC,"J\""{o}rn Lengsfeld",Method Change Caused by Digitalization,2019
ILLTPO,Phyllis Illari,The Philosophy of Information - a Simple Introduction,2012
LENMDD,"J\""{o}rn Lengsfeld",Methodenwandel Durch Digitalisierung,2019
LENCDM,"J\""{o}rn Lengsfeld",Changement de M\'{e}thode Caus\'e Par la Num\'{e}risation,2019
FLOPIT-2,Luciano Floridi,Peering Into the Future of the Infosphere,2006
IKEBAT,Ken'ichi Ikeda and Sean Richey and Holly Teresi,Browsing Alone: The Differential Impact of Internet Platforms on Political Participation,2013
LENDEF-3,"J\""{o}rn Lengsfeld",Digital Era Framework,2019
DUBESK,Jacques Dubucs,"Epistemologia Sieci. Konwergencja, Wsp\'{o}l{}praca, Afiliacja",2022
FLOIEE-2,Luciano Floridi,Infosfera. Etica e Filosofia Nell'et\`a Dell'informazione Infosphere,2009
LENDEF-4,"J\""{o}rn Lengsfeld","Digital Era Framework. Ein Bezugsrahmen F\""{u}r Das Digitale Informationszeitalter.",2019
GUNTDI,Yukio{-}Pegio Gunji and Takayuki Niizato and Hisashi Murakami and Iori Tani,Typ-Ken (an Amalgam of Type and Token) Drives Infosphere,2010
DUBPDW,Jacques Dubucs,\'{E}pist\'{e}mologie du Web,2022
TEALDC,A. I. S. D. L. Team,L??ng Download C\h{u}a \emph{Bayesvl} Qua 2 N\u{a}m,2023
Roesch2015-LUCWRC,Markus Luczak{-}Roesch and Ramine Tinati and Nigel Shadbolt,When Resources Collide: Towards a Theory of Coincidence in Information Spaces,2015
LICLOI-2,I. Licata,Logical Openness in Cognitive Models,2008
GORCS-2,Tim Gorichanaz,Conceptualizing Self-Documentation,forthcoming
YARHAS,Ilexa Yardley,How a Simple Circle Controls the Whole Universe,2017
YARTIE,Ilexa Yardley,The Information Economy,2022
