ID,Author,Title,Year
LINTO-2,\O{}ystein Linnebo,Thin Objects: An Abstractionist Account,2018
LINTPH-2,\O{}ystein Linnebo,The Potential Hierarchy of Sets,2013
INCCOS,Luca Incurvati,Conceptions of Set and the Foundations of Mathematics,2020
BOOTIC,George Boolos,The Iterative Conception of Set,1971
LINPAS,\O{}ystein Linnebo,Pluralities and Sets,2010
BERALF-3,Sharon Berry,A Logical Foundation for Potentialist Set Theory,2022
BUTACT-2,Tim Button and Robert Trueman,Against Cumulative Type Theory,2022
BUIIDO-2,David Builes and Jessica M. Wilson,In Defense of Countabilism,2022
UZQVOI,Gabriel Uzquiano,Varieties of Indefinite Extensibility,2015
ROBUVS,Sam Roberts,Ultimate V,manuscript
STUTIC,J. P. Studd,The Iterative Conception of Set: A (Bi-)Modal Axiomatisation,2013
BUTLTP-3,Tim Button,"Level Theory, Part 1: Axiomatizing the Bare Idea of a Cumulative Hierarchy of Sets",2021
BOOIA,George Boolos,Iteration Again,1989
CROWAT-3,Laura Crosilla and \O{}ystein Linnebo,Weyl and Two Kinds of Potential Domains,forthcoming
MENWSZ,Christopher Menzel,"Wide Sets, Zfcu, and the Iterative Conception",2014
STUAR-4,J. P. Studd,Abstraction Reconceived,2016
ANTMCI,Carolin Antos and Sy{-}David Friedman and Radek Honzik and Claudio Ternullo,Multiverse Conceptions in Set Theory,2015
LINDOI-3,\O{}ystein Linnebo,Dummett on Indefinite Extensibility,2018
WHITIS-4,Bruno Whittle,The Iterative Solution to Paradoxes for Propositions,2022
INCMPI,Luca Incurvati,Maximality Principles in Set Theory,2017
INCHTB,Luca Incurvati,How to Be a Minimalist About Sets,2012
MENTAF-3,Christopher Menzel,The Argument From Collections,2018
ROBPFS,Sam Roberts,Possibilities for Sets,manuscript
RUSID-3,Jeffrey Sanford Russell,Indefinite Divisibility,2016
INCTGC,Luca Incurvati,The Graph Conception of Set,2014
BOOMWB,George Boolos,Must We Believe in Set Theory?,1998
KLETPI-3,Ansten Klev,The Purely Iterative Conception of Set,2024
BUTLTP,Tim Button,"Level Theory, Part 3: A Boolean Algebra of Sets Arranged in Well-Ordered Levels",2022
FERATI-2,Edward Ferrier,Against the Iterative Conception of Set,2019
TAIZCO,W. W. Tait,Zermelo's Conception of Set Theory and Reflection Principles,1998
ROBRAP-9,Sam Roberts,Reflection and Potentialism,2016
MENOTI,Christopher Menzel,On the Iterative Explanation of the Paradoxes,1986
BUTWTQ,Tim Button,"Wand/Set Theories: A Realization of Conway's Mathematicians' Liberation Movement, with an Application to Church's Set Theory with a Universal Set",forthcoming
LINBOP,\O{}ystein Linnebo,Burgess on Plural Logic and Set Theory,2007
FORTIC,Thomas Forster,The Iterative Conception of Set,2008
ZERBGU,Ernst Zermelo,"\""{U}ber Grenzzahlen Und Mengenbereiche: Neue Untersuchungen \""{U}ber Die Grundlagen der Mengenlehre",1930
TAICCF,William Tait,Constructing Cardinals From Below,manuscript
BUTTIC,Tim Button,The Iterative Conception of Function and the Iterative Conception of Set,2023
BUTLTP-2,Tim Button,"Level Theory, Part 2: Axiomatizing the Bare Idea of a Potential Hierarchy",2021
SOYWIT-2,Zeynep Soysal,Why is the Universe of Sets Not a Set?,2017
URBNN-3,Rafal Urbaniak,Neologicist Nominalism,2010
MENMST,Christopher Menzel,Modal Set Theory,2018
POTIST,M. D. Potter,Iterative Set Theory,1994
GLATIC,Thomas Glasman,The Iterative Conception of Set Does Not Justify Zfc,2024
TERTSF,Claudio Ternullo and Sy{-}David Friedman,The Search for New Axioms in the Hyperuniverse Programme,2016
SHAPCV,Mark F. Sharlow,Proper Classes Via the Iterative Conception of Set,1987
TERIDC,Claudio Ternullo,Ipotesi Del Continuo,2017
CROKGP-2,Gabriella Crocco and Eva{-}Maria Engelen,"Kurt G\""{o}del Philosopher-Scientist",2016
JNICDB,Paulo J\'{u}nio de Oliveira,Considera\c{c}~{o}es de Brouwer Sobre Espa\c{c}o e Infinitude: O Idealismo de Brouwer Diante Do Problema Apresentado Por Dummett Quanto \`A Possibilidade Te\'{o}rica de Uma Infinitude Espacial,2019
UZQCTA,Gabriel Uzquiano,Categoricity Theorems and Conceptions of Set,2002
MARBTI,Mark F. Sharlow,Broadening the Iterative Conception of Set,2001
BARICO-5,Neil Barton,Iterative Conceptions of Set,manuscript
BREUIS,Manuel Bremer,Universality in Set Theories: A Study in Formal Ontology,2010
URBNN,Rafal Urbaniak,Nominalist Neologicism,manuscript
KUCNKO,John{-}Michael Kuczynski,Nine Kinds of Number,2016
GLOIST,Hj Glock,"Iterative Set Theory, Michael D. Potter",1993
JEFLLA,Richard Jeffrey,"Logic, Logic, and Logic",1998
FERQAP,Edward Ferrier,Quantification and Paradox,2018
SUTATF-3,Davide Sutto,A Taxonomy for Set-Theoretic Potentialism,2024
THEWAL,Val\'{e}rie Lynn Therrien,Wittgenstein and Labyrinth of ?Actual Infinity?: The Critique of Transfinite Set Theory,2012
ENGEBK,Merlin Carl and Eva{-}Maria Engelen,"Einige Bemerkungen Kurt G\""{o}dels Zur Mengenlehre",2019
BUTHPO,Tim Button,"Review Of: \emph{Hilary Putnam on Logic and Mathematics}, by Geoffrey Hellman and Roy T. Cook (Eds.)",2019
LAVQNF,Gregory Lavers,"Quine, New Foundations, and the Philosophy of Set Theory by Sean Morris",2021
