ID,Author,Title,Year
BROIWR,Rodney A. Brooks,Intelligence Without Representation,1991
MLLFPI,"Vincent C. M\""{u}ller and Nick Bostrom",Future Progress in Artificial Intelligence: A Survey of Expert Opinion,2016
LANMAM-6,Jobst Landgrebe and Barry Smith,Making Ai Meaningful Again,2021
CHAHPR-2,David J. Chalmers and Robert M. French and Douglas R. Hofstadter,"High-Level Perception, Representation, and Analogy:A Critique of Artificial Intelligence Methodology",1992
CAPMAI,Herman Cappelen and Josh Dever,Making Ai Intelligible: Philosophical Foundations,2021
FETLAM,James H. Fetzer,"Language and Mentality: Computational, Representational, and Dispositional Conceptions",1989
LEGUIA,Shane Legg and Marcus Hutter,Universal Intelligence: A Definition of Machine Intelligence,2007
HALTMT-2,Harry Haroutioun Haladjian and Carlos Montemayor,Artificial Consciousness and the Consciousness-Attention Dissociation,2016
COPAIA-4,Jack Copeland,Artificial Intelligence: A Philosophical Introduction,1993
COEIBL,Dimitri Coelho Mollo,Intelligent Behaviour,2022
MLLNDI,"Vincent C. M\""{u}ller",New Developments in the Philosophy of Ai,2016
WALWTE,Douglas N. Walton,"Witness Testimony Evidence: Argumentation, Artificial Intelligence, and Law",2008
MINARF,Garrett Mindt and Carlos Montemayor,"A Roadmap for Artificial General Intelligence: Intelligence, Knowledge, and Consciousness",2020
POLFLC,Andrej Poleev,Finita la Commedia.,2020
SOLLPF,Lawrence B. Solum,Legal Personhood for Artificial Intelligences,1992
FLOAIN,Luciano Floridi,Artificial Intelligence's New Frontier: Artificial Companions and the Fourth Revolution,2008
LEIMES,Leigh Tesfatsion,Modeling Economic Systems as Locally-Constructive Sequential Games,2017
DELPEW-2,Craig DeLancey,Passionate Engines: What Emotions Reveal About the Mind and Artificial Intelligence,2001
BOGCSM,"Florian J. Boge and Paul Gr\""{u}nke","Computer Simulations, Machine Learning and the Laplacean Demon: Opacity in the Case of High Energy Physics",forthcoming
ALEAAT-10,Samuel Alexander,Agi and the Knight-Darwin Law: Why Idealized Agi Reproduction Requires Collaboration,2020
ALEMTI-2,Samuel Alexander,Measuring the Intelligence of an Idealized Mechanical Knowing Agent,2020
ALEIVU,Samuel Alexander,Intelligence Via Ultrafilters: Structural Properties of Some Intelligence Comparators of Deterministic Legg-Hutter Agents,2019
SCHWIA-37,Stefan Schulz and Janna Hastings,What is a Machine? Exploring the Meaning of ?Artificial? in ?Artificial Intelligence?,2024
ALERSU,Samuel Allen Alexander and Marcus Hutter,Reward-Punishment Symmetric Universal Intelligence,2021
BISWCC,John Mark Bishop,Why Computers Can't Feel Pain,2009
SCHCND,Matthias Scheutz,Computationalism: New Directions,2002
MLLACS,"Vincent C. M\""{u}ller","Autonomous Cognitive Systems in Real-World Environments: Less Control, More Flexibility and Better Interaction",2012
SOLLAN,Pierangelo Soldavini and Barry Smith,"L?Intelligenza Artificiale Non Dominer\`a Il Mondo (Interview, with English Translation)",2024
PLETUS-2,Alessio Plebe and Giorgio Grasso,The Unbearable Shallow Understanding of Deep Learning,2019
FEREOA-3,Andrea Ferrario and Alessandro Facchini and Alberto Termine,Experts or Authorities? The Strange Case of the Presumed Epistemic Superiority of Artificial Intelligence Systems,manuscript
CHEIFP,Anthony Chemero,Information for Perception and Information Processing,2003
ERLAAI,"Alexandre Erler and Vincent C. M\""{u}ller",Ai as Ia: The Use and Abuse of Artificial Intelligence (Ai) for Human Enhancement Through Intellectual Augmentation (Ia),2023
WARAIT-6,Kevin Warwick,Artificial Intelligence: The Basics,2011
MCCWIA,John McCarthy,What is Artificial Intelligence?,2004
DREAHO-2,Hubert L. Dreyfus,A History of First Step Fallacies,2012
RAPPFA,William J. Rapaport,"Predication, Fiction, and Artificial Intelligence",1991
MLLERO,"Vincent C. M\""{u}ller",Editorial: Risks of General Artificial Intelligence,2014
NILLAA,Neil Nilsson,Logic and Artificial Intelligence,1991
MALIDO-2,Fintan Mallory,In Defence of a Reciprocal Turing Test,2020
MLLIS,"Vincent C. M\""{u}ller","In 30 Schritten Zum Mond? Zuk\""{u}nftiger Fortschritt in der Ki",2018
STEAIA-9,Karl D. Stephan and Gyula Klima,Artificial Intelligence and its Natural Limits,2021
BURPAT-4,Leslie Burkholder,Philosophy and the Computer,1992
RINPPI,Martin Ringle,Philosophical Perspectives in Artificial Intelligence,1979
BORAM-3,Paul Borrill and Leigh Tesfatsion,Agent-Based Modeling: The Right Mathematics for the Social Sciences?,2011
SLOTIO,Aaron Sloman,The Irrelevance of Turing Machines to Ai,2002
HUTODO,Marcus Hutter,One Decade of Universal Artificial Intelligence,2012
BOSWMO,Nick Bostrom,When Machines Outsmart Humans,manuscript
HARWAA-2,Rom Harre,Wittgenstein and Artificial Intelligence,1988
PUTCPA,Hilary Putnam,Computational Psychology and Interpretation Theory,1987
STETOT-3,S. G. Sterrett,Turing on the Integration of Human and Machine Intelligence,2014
CORTDO-8,Roberto Cordeschi,"The Discovery of the Artificial: Behavior, Mind and Machines Before and Beyond Cybernetics",2002
GOMCFA,"Antoni Gomila and Vincent C. M\""{u}ller",Challenges for Artificial Cognitive Systems,2012
KINCMA-2,Amy Kind,Computing Machinery and Sexual Difference: The Sexed Presuppositions Underlying the Turing Test,2022
BAAHDS,Bernard J. Baars and Uma Ramamurthy and Stan Franklin,"How Deliberate, Spontaneous, and Unwanted Memories Emerge in a Computational Model of Consciousness",2007
MLLIPA,"Vincent C. M\""{u}ller",Introduction: Philosophy and Theory of Artificial Intelligence,2012
CHOOTM,Fran\c{c}ois Chollet,On the Measure of Intelligence,manuscript
CRIAWT,Nello Cristianini,Are We There Yet?,2010
POLCTG-2,Thomas W. Polger and Kenneth J. Sufka,"Closing the Gap on Pain: Mechanism, Theory, and Fit",2005
GRATFF-2,Mark Graves,Theological Foundations for Moral Artificial Intelligence,2022
IOAAMC,Muntean Ioan and Don Howard,Artificial Moral Cognition: Moral Functionalism and Autonomous Moral Agency,2017
