ID,Author,Title,Year
JAMPOP,William James,The Principles of Psychology,1890
CAMRAC,John Campbell,Reference and Consciousness,2002
KAHAAE,Daniel Kahneman,Attention and Effort,1973
PRITCB-2,Jesse Prinz,The Conscious Brain: How Attention Engenders Experience,2012
WATSMT-2,Sebastian Watzl,Structuring Mind. The Nature of Attention and How It Shapes Consciousness,2017
TREAFI,Anne Treisman,A Feature Integration Theory of Attention,1980
GURFOC,Aron Gurwitsch,The Field of Consciousness,1964
DESNMO,R. Desimone and J. Duncan,Neural Mechanisms of Selective Visual Attention,1995
NANAAP,Bence Nanay,Attention and Perceptual Content,2010
WUEAD-3,Wayne Wu,Experts and Deviants: The Story of Agentive Control,2016
FAZAIA,Peter Fazekas and Bence Nanay,"Attention is Amplification, Not Selection",2021
GANANS,Jonardon Ganeri,"Attention, Not Self",2017
WUAASW,Wayne Wu,Attention as Selection for Action Defended,forthcoming
MOLAIC-2,Christopher Mole,Attention is Cognitive Unison: An Essay in Philosophical Psychology,2011
WUAAS,Wayne Wu,Attention as Selection for Action,2011
DEUAST,J. A. Deutsch and D. Deutsch,Attention: Some Theoretical Considerations,1963
SMIAIR,Declan Smithies,Attention is Rational-Access Consciousness,2011
WAYCMP,Wayne Wu,Confronting Many-Many Problems: Attention and Agentive Control,2011
STECPA-12,Steven Gross,Cognitive Penetration and Attention,2017
MITEAA-3,Jonathan Mitchell,Emotion and Attention,2022
MOLAPA,Christopher Mole and Declan Smithies and Wayne Wu,Attention: Philosophical and Psychological Essays,2011
WUWIC,Wayne Wu,What is Conscious Attention?,2010
DOUTSO-10,Christos Douskos,The Spontaneousness of Skill and the Impulsivity of Habit,2019
WATAAS,Sebastian Watzl,Attention as Structuring of the Stream of Consciousness,2011
WUA,Wayne Wu,Attention,2014
RENSSA,Ronald A. Rensink,"Seeing, Sensing, and Scrutinizing",2000
JENTSO-6,Carolyn Dicey Jennings,The Subject of Attention,2012
MOLA,Christopher Mole,Attention,2010
WATTNO-4,Sebastian Watzl,The Nature of Attention,2011
