ID,Author,Title,Year
BATTRB-3,Elisha Mae Batiola and Nicole Boleche and Savanah Waverly Falcis and Jhoselle Tus,The Relationship Between Anxiety and Self-Esteem Among Senior High School Students,2022
KIDECA,Ian James Kidd,Epistemic Corruption and Education,2019
LOPACP,Micaiah Andrea Gumasing Lopez and Christian Dave Francisco and Cristalyn Capinig and Jhoremy Alayan and Shearlene Manalo and Jhoselle Tus,Amidst Covid-19 Pandemic: The Self-Efficacy and Academic Motivation of the College Students From the Private Higher Education Institutions in the Philippines.,2021
PADTRB,Ritz Padilla and Kristina Tolosa and Patricia Placiente and Krystle Marie Compuesto and Jhoselle Tus,The Relationship Between Happiness and Depression Among Senior High School Students Amidst the Covid-19 Pandemic,2022
BASATO-4,Jastine Joy Basilio and Twinkle Pangilinan and Jeremiah Joy Kalong and Jhoselle Tus,Amidst the Online Learning Modality: The Social Support and its Relationship to the Anxiety of Senior High School Students,2022
MARGAS-5,Alessia Marabini and Luca Moretti,Goldman and Siegel on the Epistemic Aims of Education,2020
MCGWDC,Robert E. McGrath and Hyemin Han and Mitch Brown and Peter Meindl,What Does Character Education Mean to Character Education Experts? A Prototype Analysis of Expert Opinions,2022
LOGPAA-2,MaTeresa Madel Logenio and Jerry Lou Godin and Ancristilyn Paguio and Rexie Anne Germar and Joy Cecille Dablo and Miguel Antonio Francisco and Jhoselle Tus,Procrastination and Academic Burnout Among Grade 12 Students in a Public School a Correlational Study,2023
FRATOW-2,Christian Dave Francisco and Micaiah Andrea Gumasing Lopez and Elyssa Sison and Galilee Jordan Ancheta and Charles Brixter Sotto Evangelista and Liezl Fulgencio and Jayra Blanco and Jhoselle Tus,The Ones We Once Loved: A Qualitative Study on the Experiences of Abandoned Senior Citizens in Home for the Aged,2023
TIPTQO-3,Francine Kate R. Tipon and Kaissery Baldado and Alyssa Mae and Jhaimee Lyzette Montaos and Jhoselle Tus,"The Quality of Life, Lived Experiences, and Challenges Faced by Senior Citizen Street Vendors.",2023
KIDEFI,Ian Kidd,Educating for Intellectual Humility,2015
YCOEIA,Jasmin Nerissa S. Yco and April Jasmin M. Gonzaga and Jessa Cervantes and Gian Benedict J. Goc{-}Ong and Haamiah Eunice R. Padios and Jhoselle Tus,Emotional Intelligence and Mental Health of Senior High School Students: A Correlational Study,2023
TUSGNP,Jhoselle Tus and Ken Andrei Torrero and Aron Bil and Timy Joy Juliano and Angeline Mechille Eugenio Osinaga and Josie Lynn Garcia Parinas and Ramon Principe and Franz Cedrick Yapo,"Gulong Ng Palad: The Quality of Life, Experiences and Challenges Faced by Female Tricycle Driver.",2023
CAPTQO-4,Cristalyn Capinig and Justin Joshua Godoy and Patrisha O. Guinoo and Noemi C. Dela Cruz and Jhoselle Tus,The Quality of Life and Experiences of Tertiary Education Subsidy (Tes) Grantees,2023
TUSTLE,Jericho Balading and Julia Ann Marie Malicdem and Nicole Alyanna Rayla and Galilee Jordan Ancheta and Angelika Culala Alejandro and Jayra Blanco and Nina Bettina Buenaflor and Charles Brixter Sotto Evangelista and Liezl Fulgencio and Jhoselle Tus,The Lived Experiences and Challenges Faced by Sped Teachers Amidst the New Normal of Education,2023
ANCFLT,Galilee Jordan Ancheta and Shan Micheal Capagalan and Raina May G. Ortega and Jayra Blanco and Charles Brixter Sotto Evangelista and Jericho Balading and Liezl Fulgencio and Andrea Mae Santiago and Christian Dave Francisco and Micaiah Andrea Gumasing Lopez and Jhoselle Tus,"Farmer?s Life: The Psychological Well-Being, Lived Experiences, and Challenges.",2023
DACJMA,Arianna Dacanay and Giannah D. V. Gonzales and Carl Xaviery A. Baldonado and Nicolai Renz S. P. Guballa and Hanz S. Marquez and Hazel Anne M. Domingo and Kyle Gian S. Diaz and Denise Iresh S. Catolico and Edward Gabriel Gotis and Jhoselle tus,Job Motivation and its Impact on Job Satisfaction Among Accountants,2023
LACTRB-4,Angel Joy Lacson and Chryss Anne Dimacali and Daniela Mora and Michelle Magos and Jacquelyn Salmorin and Jhoselle Tus,The Relationship Between Academic Burnout and Academic Procrastination Among Grade 12 Senior High School Students in a Private School,2023
HANCLO-3,Hyemin Han,Connecting Levels of Analysis in Educational Neuroscience: A Review of Multi-Level Structure of Educational Neuroscience with Concrete Examples,2019
SOLTEO-22,Ella Mae Solmiano and Jannah Reangela Buenaobra and Marco Paolo Santiago and Aira Del Rosario and Ygianna Rivera and Shane Khevin Selisana and Amor Artiola and Wenifreda Templonuevo and Jhoselle Tus,The Effect of Social Media Addiction and Social Anxiety on the Happiness of Tertiary Students Amidst the Covid-19 Pandemic.,2023
BAIPAI-4,Joey Baing and John Cedrick Cedro and Russel Karl Afable and Caleb Mari Cruz and Elaine Bejar and Jhoselle Tus,Procrastination and its Relationship to the Academic Burnout of Freshmen College Students,2023
ANOPGA-5,Jonny Anomaly,Public Goods and Education,2018
ENAEMI,Fernando Enad and Asuncion Pabalan,"Employment Management in the Public Schools: A Proposed Recruitment, Selection, and Placement System (1st edition)",2023
