ID,Author,Title,Year
SHOTSA-4,Simon Shogry,The Stoic Appeal to Expertise: Platonic Echoes in the Reply to Indistinguishability,2021
DEHRIA,Vanessa de Harven,Rational Impressions and the Stoic Philosophy of Mind,2017
HELCAT-8,Reier Helle,Colocation and the Stoic Definition of Blending,2022
SHOSCA,Simon Shogry,Stoic Cosmopolitanism and Environmental Ethics,2020
HENTPO-55,Ian Hensley,The Physics of Pneuma in Early Stoicism,2020
BALAAD-8,Dirk Baltzly,Ataktos: A Dialogue on Stoic Ethics,manuscript
DEHNPA,Vanessa de Harven,"Necessity, Possibility and Determinism in Stoic Thought",2016
CELTSA-2,Aiste Celkyte,The Stoics and Economic Rationality,2024
ADECAI,Francesco Ademollo,Cosmic and Individual Soul in Early Stoicism,2020
AISTSD,Aiste Celkyte,The Stoic Definition of Beauty as Summetria,2017
BROSIT-18,Eric Brown,Socrates in the Stoa,2006
CELTSA,Aiste Celkyte,The Soul and Personal Identity in Early Stoicism: Two Theories?,2020
RTTAUW,"Stefan R\""{o}ttig",Affekt Und Wille. Senecas Ethik Und Ihre Handlungspsychologische Fundierung,2022
SHOPDA-3,Simon Shogry,Psychological Disease and Action-Guiding Impressions in Early Stoicism,2021
BRODED-3,Eric Brown,Die Erfindung Kosmopolitaner Politik Durch Die Stoiker,2010
BROFIT-4,Eric Brown,"False Idles: The Politics of the ""Quiet Life""",2009
DEHTS,Vanessa de Harven,Rational Impressions and the Stoics Philosophy of Mind,2018
ESNAAT,Charles E. Snyder,Arcesilaus and the Ontology of Stoic Cognition,2020
PADTAA-3,Sharon Padilla,The Awake and Sober Way of Life: A Key Motif in the Stoic Conversion,2022
MIKSTJ,Vladimir Mikes,Stoick\'a Teorie Jedn\'{a}n\'i: Pojem P\v{r}itak\'{a}n\'i,2008
CELTST,Aiste Celkyte,The Stoic Theory of Beauty,2020
SHOSED,Simon Shogry,Stoic Eros,2024
MIKLPS-2,Vladim\'{i}r Mike\vs,"Le Paradoxe Sto\""{i}cien: Libert\'e de l'Action D\'{e}termin\'{e}e",2016
BETANO-2,Richard Bett,"A Note on the Text of Stobaeus, Ii.77,11",1998
WILSUD-3,Jula Wildberger,Seneca Und Die Stoa: Der Platz des Menschen in der Welt,2006
AJVDSA,Irfan Ajvazi,Diogenes's Sayings and Anecdotes: With Other Popular Moralists: An Introduction to Cynicism and Cynic Philosophy,manuscript
MIKTBT,Vladim\'{i}r Mikes,"Tad Brennan, the Stoic Life : Emotions, Duties, and Fate",2008
MIKMAH,Vladimir Mikes,Marcus Aurelius a Ran\'a Stoa,2023
