ID,Author,Title,Year
TANCOM,Mudasir Ahmad Tantray and Tariq Rafeeq and Ifrah Mohiuddin Rather,Concept of Manifestation Process in Kashmir Shaivism,2018
SHACAN-6,I. Shani,Cosmopsychism and Non-\'{S}ankaran Traditions of Hindu Non-Dualism: In Search of a Fertile Connection,2022
SIRYAM-2,Desh Raj Sirswal,Yoga and Mental Health: Applying Yoga Philosophy for Well-Being,2019
SIRJP,Desh Raj Sirswal,Jyotiba Phule : A Modern Indian Philosopher,2013
PURTSO-12,Bhakti Madhava Puri and Bhakti Niskama Shanta and Bhakti Vijnana Muni,The Science of Spiritual Biology: Replies to Critics ? Part 2,2013
PURSBR,Bhakti Madhava Puri and Bhakti Niskama Shanta and Bhakti Vijnana Muni,Spiritual Biology: Reply to Critics - Part One,2012
DELIMD-11,Krishna Del Toso,"Il Movimento Del Concetto: Azione Marziale, Competizione e Sacrificio Nell'india Antica",2020
SIRPOL,Desh Raj Sirswal,Philosophy of Life of Sri Guru Gobind Singh Ji,2018
SIRSBS,Desh Raj Sirswal,Samkalin Bhartiya Samaj Mein Darshan Shastra Ki Upadeyta (Hindi),2011
CHAROH-4,Subhasis Chattopadhyay,Review of Hindu Samskaras: Socio-Religious Study of the Hindu Sacraments,2014
TOSBRS,Krishna Del Toso,"{[}Book Review] Sylvain L\'{e}vi, la Dottrina Del Sacrificio Nei Br\={a}hma\d{n}a. Con Tre Saggi di Roberto Calasso, Charles Malamoud e Louis Renou, Traduzione di Silvia D?Intino. Adelphi, Milano 2009, 224 Pp.",2009
SLATHI,David Slakter,"Though He is One, He Bears All Those Diverse Names: A Comparative Analysis of Jayanta Bha\d{t}d{t}a?s Argument for Toleration",2015
JAKITT-2,Marzenna Jakubczak,Introduction to the Issue: Academic Study of Religion in South Asia,2016
JAKITT-5,Marzenna Jakubczak,Introduction to the Issue: Comparative Study of Religion: Methods \& Applications,2014
GUPTBP,Ravi Gupta and Kenneth Valpey,The Bhagavata Purana: Sacred Text and Living Tradition,2013
SIRIP,Desh Raj Sirswal,Indian Psychology,manuscript
DASTIA,Matthew R. Dasti,Theism in Asian Philosophy,2012
MELTSO-16,Mary A. Melfi,The Solidity of the Self,2019
BAGART,Joydeep Bagchee,A Response to Christopher Framarin,2011
DALACO-5,Vrinda Dalmiya,A Case of Relational Autonomy in the Mah\={a}bh\={a}rata : The Story of P\={u}jan\=i,2019
RADTPO-13,Sarvepalli Radhakrishnan,The Philosophy of the Upanishads,1924
SIRHPO,Desh Raj Sirswal,???? ???? ??? ?? ?? ?????????? ?????,2019
BALMBA,Shashi Bala,"Man, Being and Meaning: A Comparative Study of Guru Nanak's Philosophy and Indian Philosophy",1996
SIRSBG,Desh Raj Sirswal,??????????????? : ????????? ???? ?? ?????,manuscript
SINPOT-5,Ajit Kumar Sinha,Proceedings of the Symposia on Philosophy,2014
SIRCIP,Desh Raj Sirswal,Contemporary Indian Philosophy,2013
ATRTYA,Bhikhan Lal Atreya,The Yogava?Sis?T?Ha and its Philosophy,1966
PURSAO-3,Bhakti Madhava Puri,Subject and Object: The Principle of Distinction and Inseparability,2010
PURTSO-11,Bhakti Madhava Puri,The Science of Spiritual Biology,2012
PURDTD,Bhakti Madhava Puri,Daring to Defy Darwin,2013
PURWEI,Bhakti Madhava Puri,Why Evolution is Not True,2013
PURTSU,Bhakti Madhava Puri,The Scientific Understanding of Mercy,2010
