ID,Author,Title,Year
LEVHLH-2,Neil Levy,Hard Luck: How Luck Undermines Free Will and Moral Responsibility,2011
VARBBB,Manuel Vargas,Building Better Beings: A Theory of Moral Responsibility,2013
WOLFWR-2,Susan Wolf,Freedom Within Reason,1990
FISFVO-2,John Martin Fischer and Robert Kane and Derk Pereboom and Manuel Vargas,Four Views on Free Will,2007
SMIFWA,Saul Smilansky,Free Will and Illusion,2000
LEVRWO-2,Neil Levy and Michael McKenna,Recent Work on Free Will and Moral Responsibility,2009
KANTOH,Robert Kane,The Oxford Handbook of Free Will,2001
CARFWA-3,Gregg Caruso,Free Will and Consciousness: A Determinist Account of the Illusion of Free Will,2012
PERHEN-2,Derk Pereboom and Gregg D. Caruso,"Hard-Incompatibilist Existentialism: Neuroscience, Punishment, and Meaning in Life",2018
HONATO,Ted Honderich,"A Theory of Determinism: The Mind, Neuroscience, and Life-Hopes",1988
WOLAF,Susan Wolf,Asymmetrical Freedom,1980
WATFW-2,Gary Watson,Free Will,1982
MELFA-3,Abraham I. Melden,Free Action,1961
VARSAM,Manuel Vargas,Situationism and Moral Responsibility: Free Will in Fragments,2013
HAJRDT,Ishtiyaque Haji,"Reason?s Debt to Freedom: Normative Appraisals, Reasons, and Free Will",2012
HOFAOF,Tobias Hoffmann and Cyrille Michon,Aquinas on Free Will and Intellectual Determinism,2017
MCGPIP,Colin McGinn,Problems in Philosophy: The Limits of Inquiry,1993
INWHTT-2,Peter van Inwagen,How to Think About the Problem of Free Will,2008
VARTRG,Manuel Vargas,The Revisionist?s Guide to Responsibility,2005
WOLTIO,Susan Wolf,The Importance of Free Will,1981
CARETI-6,Gregg D. Caruso,Exploring the Illusion of Free Will and Moral Responsibility,2013
RUSFWP-3,Paul Russell,Free Will Pessimism,2017
VARR,Manuel Vargas,Revisionism,2007
CARMRR-3,Gregg D. Caruso and Derk Pereboom,Moral Responsibility Reconsidered,2022
HAROLA-3,James A. Harris,Of Liberty and Necessity: The Free Will Debate in Eighteenth-Century British Philosophy,2005
FRATPO-18,Christopher Evan Franklin,The Problem of Enhanced Control,2011
GEBFWA,Alexander Gebharter,Free Will as a Higher-Level Phenomenon?,2020
ALLTVO-2,Keith Allen,The Value of Perception,2019
LEHFAD,Keith Lehrer,Freedom and Determinism. Contributors: Roderick M. Chisholm and Others,1966
CLAFWA-3,Randolph Clarke,"Free Will, Agent Causation, and ?Disappearing Agents?",2017
JACEF,J. David Velleman,Epistemic Freedom,1989
VARRAF-2,Manuel Vargas,Revisionism About Free Will: A Statement \& Defense,2009
KEAFWA,Stephen Kearns,Free Will Agnosticism,2013
VARRAT,Manuel Vargas,Responsibility and the Aims of Theory: Strawson and Revisionism,2004
LISTNC,Christian List,The Naturalistic Case for Free Will,2022
CARQET,Gregg Caruso,Introduction: Exploring the Illusion of Free Will and Moral Responsibility,2013
VAROTI,Manuel Vargas,On the Importance of History for Responsible Agency,2006
WILFWA-5,Sara Bernstein and Jessica Wilson,Free Will and Mental Quausation,2016
TORDBP,Domingo B\'{a}~{n}ez and David Torrijos{-}Castrillejo,Predestinaci\'{o}n y Libertad. Escritos En Torno a la Controversia de Auxiliis,2021
BOBTIC,Susanne Bobzien,The Inadvertent Conception and Late Birth of the Free-Will Problem,1998
JOHFIC,Hawthorne John,Freedom in Context,2001
OMETLP,Niels van Miltenburg and Dawa Ometto,The Libertarian Predicament: A Plea for Action Theory,2019
HONHFA-5,Ted Honderich,How Free Are You?: The Determinism Problem,1993
SMIFWF-3,Saul Smilansky,"Free Will, Fundamental Dualism,and the Centrality of Illusion",2001
CARRFW-2,Gregg D. Caruso,"Retributivism, Free Will Skepticism, and the Public Health-Quarantine Model: Replies to Kennedy, Walen, Corrado, Sifferd, Pereboom, and Shaw",2022
BERFWA,Bernard Berofsky,Free Will and Determinism,1966
KEAFWA-2,Stephen Kearns,Free Will Agnosticism,2015
NAHWDR,Eddy Nahmias and Corey Allen and Bradley Loveall,When Do Robots Have Free Will? Exploring the Relationships Between (Attributions of) Consciousness and Free Will,2019
KANFW-2,Robert Kane,Free Will,2001
STER-16,Helen Steward,Responses,2013
MENOTT-3,Leonhard Menges,On the Top-Down Argument for the Ability to Do Otherwise,2024
ALBFOT,Rogers Albritton,Freedom of the Will and Freedom of Action,1985
BUCTLA-6,Andrei A. Buckareff,"Time, Leeway, and the Laws of Nature: Why Humean Compatibilists Cannot Be Eternalists",2019
GERFWA,Bernard Gert and Timothy J. Duggan,Free Will as the Ability to Will,1979
SIDTKC,H. Sidgwick,The Kantian Conception of Free Will,1888
INWFWR,Peter Van Inwagen,Free Will Remains a Mystery: The Eighth Philosophical Perspectives Lecture,2000
RIEFWA-2,Steven Rieber,Free Will and Contextualism,2006
FEDWKO-2,Asaf Federman,What Kind of Free Will Did the Buddha Teach?,2008
KNOFWA,Joshua Knobe and Shaun Nichols,Free Will and the Bounds of the Self,2001
ALLTRO-36,Robert Allen,The Relativity of Volition: Aristotle?s Teleological Agent Causalism,manuscript
BENFST-2,Paul Benson,Feminist Second Thoughts About Free Agency,1990
CARJDC,Gregg D. Caruso and Daniel C. Dennett,"Just Deserts: Can We Be Held Morally Responsible for Our Actions? Yes, Says Daniel Dennett. No, Says Gregg Caruso",2018
PERFWE,Derk Pereboom,"Free Will, Evil, and Divine Providence",2005
EKSAAR,Laura Waddell Ekstrom,Agency and Responsibility: Essays on the Metaphysics of Freedom,2000
SMIFWA-3,Saul Smilansky,Free Will and Respect for Persons,2005
VARHTS,Manuel Vargas,How to Solve the Problem of Free Will,2013
JOHCOM-5,Monte Johnson,Changing Our Minds: Democritus on What is Up to Us,2014
ABOTMS,Mitchell Aboulafia,"The Mediating Self: Mead, Sartre, and Self-Determination",1986
AYETRO,Michael Ayers,The Refutation of Determinism: An Essay in Philosophical Logic,1968
EMBDOF-3,Brian Embry,Descartes on Free Will and Moral Possibility,2016
WEIEEF,Chris Weigel,Experimental Evidence for Free Will Revisionism,2013
ESCRCA,Markus E. Schlosser,"Reasons, Causes, and Chance-Incompatibilism",2017
VARRTK-2,Manuel Vargas,"Response to Kane, Fischer, and Pereboom",2007
SCHFWC,Gerhard Schurz and Maria Sekatskaya and Alexander Gebharter,"Free Will, Control, and the Possibility to Do Otherwise From a Causal Modeler?s Perspective",2020
