ID,Author,Title,Year
VANAEO,Peter Van Inwagen,An Essay on Free Will,1983
KANTSO-10,Robert Kane,The Significance of Free Will,1996
PERLWF-3,Derk Pereboom,Living Without Free Will,2001
PETRAT,Philip Pettit,Republicanism: A Theory of Freedom and Government,1997
WOLFWR-2,Susan Wolf,Freedom Within Reason,1990
RAIACA,Peter Railton,"Alienation, Consequentialism, and the Demands of Morality",1984
HOLWWW-4,Richard Holton,"Willing, Wanting, Waiting",2009
ALLKTO-5,Henry E. Allison,Kant's Theory of Freedom,1990
CLALAO-2,Randolph Clarke,Libertarian Accounts of Free Will,2003
GAUTOO-2,Gerald F. Gaus,The Order of Public Reason: A Theory of Freedom and Morality in a Diverse and Bounded World,2010
SARCAF-2,Carolina Sartorio,Causation and Free Will,2016
NADSFF,Eddy Nahmias and Stephen Morris and Thomas Nadelhoffer and Jason Turner,Surveying Freedom: Folk Intuitions About Free Will and Moral Responsibility,2005
OCOFW,Timothy O'Connor and Christopher Evan Franklin,Free Will,2018
PETATO-10,Philip Pettit,A Theory of Freedom: From the Psychology to the Politics of Agency,2001
KANTOH,Robert Kane,The Oxford Handbook of Free Will,2001
MULASR-6,James Muldoon,A Socialist Republican Theory of Freedom and Government,2022
CARFWA-3,Gregg Caruso,Free Will and Consciousness: A Determinist Account of the Illusion of Free Will,2012
BALFWA-2,Mark Balaguer,Free Will as an Open Scientific Problem,2010
SRISAD,Chandra Sripada,Self-Expression: A Deep Self Theory of Moral Responsibility,2016
MELAOA-6,Alfred R. Mele,"Aspects of Agency: Decisions, Abilities, Explanations, and Free Will",2017
KANFWA-8,Robert Kane,Free Will and Values,1985
KANACI,Robert Kane,A Contemporary Introduction to Free Will,2005
GILHDA-3,Pablo Gilabert,Human Dignity and Social Justice,2023
LISFAI,Christian List and Laura Valentini,Freedom as Independence,2016
LOVTPO-23,Adam Lovett and Jake Zuehl,The Possibility of Democratic Autonomy,2022
MCKFWA,Michael McKenna and Derk Pereboom,Free Will: A Contemporary Introduction,2014
SCAATO,Thomas Scanlon,A Theory of Freedom of Expression,1972
TANWAB-2,Stephen K. McLeod and Attila Tanyi,The Basic Liberties: An Essay on Analytical Specification,2023
SCHFAC-4,Karsten Schubert,Freedom as Critique. Foucault Beyond Anarchism,2020
FISPOM,John Martin Fischer and Mark Ravizza,Perspectives on Moral Responsibility,1993
ANDEAF-2,Elizabeth Anderson,Equality and Freedom in the Workplace: Recovering Republican Insights,2015
SCHFAK-5,Karsten Schubert,Freiheit Als Kritik: Sozialphilosophie Nach Foucault,2018
BENATO-11,Stanley I. Benn,A Theory of Freedom,1988
PINFWA,Thomas Pink,Free Will: A Very Short Introduction,2004
INWHTT-2,Peter van Inwagen,How to Think About the Problem of Free Will,2008
MULASR-5,James Muldoon,A Socialist Republican Theory of Freedom and Government,2019
MOERFA,Lars Moen,Republican Freedom and Liberal Neutrality,2023
ROSFT-5,Julie L. Rose,Free Time,2016
GAUPT-2,Gerald Gaus,Precis ? the Order of Public Reason: A Theory of Freedom and Morality in a Diverse and Bounded World,2013
KEIW,Geert Keil,Willensfreiheit,2017
OCOACA,Timothy O'Connor,"Agents, Causes, and Events: Essays on Indeterminism and Free Will",1995
RMEFWA,Alfred R. Mele,Free Will and Luck,2006
MASRAT-5,Marco Masi,"Quantum Indeterminism, Free Will, and Self-Causation",2023
CULEAP,Garrett Cullity and Berys Nigel Gaut,Ethics and Practical Reason,1997
SEHFWA,Scott Robert Sehon,"Free Will and Action Explanation: A Non-Causal, Compatibilist Account",2016
SIMTCC-8,Robert Mark Simpson,The Conversational Character of Oppression,2021
