ID,Author,Title,Year
Hassan2020-LANEI-2,Peter Langland{-}Hassan,Explaining Imagination,2020
LIAI-9,Shen{-}yi Liao and Tamar Gendler,Imagination,2019
BERAII-9,Franz Berto,Aboutness in Imagination,2018
KINTHO-4,Amy Kind,The Heterogeneity of the Imagination,2013
KINTSO-22,Amy Kind,The Skill of Imagination,2020
STUTAD,Michael T. Stuart,Towards a Dual Process Epistemology of Imagination,2019
PETKTI,Amy Kind and Peter Kung,Knowledge Through Imagination,2016
MYEIBE,Joshua Myers,Imaginative Beliefs,forthcoming
VANTMO-3,Neil Van Leeuwen,"The Meanings of ""Imagine"" Part I: Constructive Imagination",2013
ARCTTF-2,Margherita Arcangeli,The Two Faces of Mental Imagery,2019
Hassan2021-LANWSO-2,Peter Langland{-}Hassan,What Sort of Imagining Might Remembering Be?,2021
GOLIAA-4,Seth Goldwasser,Imagining as a Skillful Mental Action,2024
Hassan2015-LANIA,Peter Langland{-}Hassan,Imaginative Attitudes,2015
SCHBAD,Susanna Schellenberg,Belief and Desire in Imagination and Immersion,2013
Hassan2020-LANTAN-2,Peter Langland{-}Hassan,There Are No I-Beliefs or I-Desires at Work in Fiction Consumption and This is Why,2020
BRIMIA,Robert Eamon Briscoe,Mental Imagery and the Varieties of Amodal Perception,2011
Hassan2016-LANOCW,Peter Langland{-}Hassan,On Choosing What to Imagine,2016
MICFDA-3,Fabian Dorsch,Focused Daydreaming and Mind-Wandering,2015
NANTRO-2,Bence Nanay,The Role of Imagination in Decision-Making,2016
Hassan2012-LANIPA,Peter Langland{-}Hassan,"Pretense, Imagination, and Belief: The Single Attitude Theory",2012
KINTRH-7,Amy Kind,The Routledge Handbook of the Philosophy of Imagination,2016
TUNRFC,Emine Hande Tuna,Recovering Fictional Content and Emotional Engagements with Fiction,forthcoming
DuroForthcoming-RIVTPF,Andrea Rivadulla{-}Dur\'o,The Prima Facie View of Perceptual Imagination,forthcoming
JACJBI,Magdalena Balcerak Jackson,Justification by Imagination,2018
DIFA,Justin D'Ambrosio and Daniel Stoljar,"Imagination, Fiction, and Perspectival Displacement",2023
STUESI,Michael Stuart,"Everyday Scientific Imagination: A Qualitative Study of the Uses, Norms, and Pedagogy of Imagination in Science",2019
Hassan2023-LANOTA-8,Peter Langland{-}Hassan,On the Ambiguity of Imagery and Particularity of Imaginings,2023
LIATIB,Shen{-}yi Liao and Tyler Doggett,The Imagination Box,2014
STOTRO-17,Dustin Stokes,The Role of Imagination in Creativity,2014
VANTMO-8,Neil Van Leeuwen,The Meanings of ?Imagine? Part Ii: Attitude and Action,2014
KINIE,Amy Kind,Imaginative Experience,2020
DORTUO-3,Fabian Dorsch,The Unity of Imagining,2012
STOMIA-4,Dustin Stokes,Mental Imagery and Fiction,2019
WEIPOT,Jonathan M. Weinberg and Aaron Meskin,"Puzzling Over the Imagination: Philosophical Problems, Architectural Solutions",2006
KRIPAI-2,Uriah Kriegel,Perception and Imagination,2015
SINIAB-2,Neil Sinhababu,Imagination and Belief,2016
Hassan2014-LANWII-2,Peter Langland{-}Hassan,What It is to Pretend,2014
CHABIA-5,Alon Chasid,Belief-Like Imagining and Correctness,2021
