ID,Author,Title,Year
WILNWF,Jessica M. Wilson,No Work for a Theory of Grounding,2014
WILME-2,Jessica M. Wilson,\emph{Metaphysical Emergence},2021
TAHUOS,Tuomas E. Tahko,Unity of Science,2021
DERFTT-3,Louis deRosset,Fundamental Things: Theory and Applications of Grounding,2023
POVMLR,Mark Povich and Carl F. Craver,"Mechanistic Levels, Reduction, and Emergence",2017
KHANKA-5,Muhammad Ali Khalidi,Natural Kinds and Crosscutting Categories,1998
JONARL-2,Nicholas K. Jones,Against Representational Levels,2023
MILNAM-5,Kristie Miller and James Norton,Non-Cognitivism About Metaphysical Explanation,2022
LISTNC,Christian List,The Naturalistic Case for Free Will,2022
MILDDA-9,Michael Duncan and Kristie Miller and James Norton,"Ditching Dependence and Determination: Or, How to Wear the Crazy Trousers",2021
OWELOE,David Owens,Levels of Explanation,1989
THOIBB,Naomi Thompson,Is Building Built?,2019
ELGCTL,Samuel Elgin,The Levels of Scientific Disciplines,manuscript
POLTOF,Roberto Poli,"Three Obstructions: Forms of Causation, Chronotopoids, and Levels of Reality",2007
HIMTDA,Johannes Himmelreich,The Disappearing Agent as an Exclusion Problem,2024
THOHTB-4,Naomi Thompson,How to Be an Antirealist About Metaphysical Explanation,2023
ESFFBO,Michael Esfeld,From Being Ontologically Serious to Serious Ontology,2006
LISLOD,Christian List,Levels of Description and Levels of Reality: A General Framework,forthcoming
LISSC,Christian List,Special-Science Counterfactuals,2022
GNOAIA,Claudio Gnoli,An Informational Approach to Emergence (1st edition),2024
MILQCI,Ryan Miller,Quantum Considerations in the Metaphysics of Levels,2024?
VOOTCW,Jan Voosholz,Top-Down Causation Without Levels,2021
BRIDSB-2,Ingo Brigandt,"Daniel S. Brooks, James Difrisco, and William C. Wimsatt (Eds.): Levels of Organization in the Biological Sciences: MIT Press: Cambridge, Ma, 2021, 336 Pp., \$60.000 (Paperback), Isbn 9780262045339",2023
WILROK-4,Jessica M. Wilson,"Review of \emph{Physicalism Deconstructed: Levels of Reality and the Mind-Body Problem}, by Kevin Morris",2020
