ID,Author,Title,Year
VETPFD,Barbara Vetter,Potentiality: From Dispositions to Modality,2014
STAMPM-2,Robert Stalnaker,Mere Possibilities: Metaphysical Foundations of Modal Semantics,2012
BOOTLO-7,George Boolos,The Logic of Provability,1993
Doane2019-CLAMAA-14,Justin Clarke{-}Doane,Metaphysical and Absolute Possibility,2019
MALEPA-3,Marion Godman and Antonella Mallozzi and David Papineau,Essential Properties Are Super-Explanatory: Taming Metaphysical Modality,2020
ROMMIN,Carlos Romero,Modality is Not Explainable by Essence,2019
JACAPT-2,Jonathan D. Jacobs,"A Powers Theory of Modality: Or, How I Learned to Stop Worrying and Reject Possible Worlds",2010
MERTOA-2,Robert Merrihew Adams,Theories of Actuality,1979
VETEPA,Barbara Vetter,"Essence, Potentiality, and Modality",2021
BORADT,Andrea Borghini and Neil E. Williams,A Dispositional Theory of Possibility,2008
YATDAT,David Yates,Dispositionalism and the Modal Operators,2015
PHITPR-27,Jonathan Phillips and Joshua Knobe,The Psychological Representation of Modality,2018
CHIKMA,Andrew Chignell,"Kant, Modality, and the Most Real Being",2009
COREMA-3,Fabrice Correia and Alexander Skiles,"Essence, Modality, and Identity",2021
VETRWM,Barbara Vetter,Recent Work: Modality Without Possible Worlds,2011
MOLAOT-3,Friederike Moltmann,An Object-Based Truthmaker Semantics for Modals,2018
JUBP,Michael Jubien,Possibility,2009
NEEWIW-2,Paul Needham,What is Water?,2000
CHAPAT-8,Hugh S. Chandler,Plantinga and the Contingently Possible,1976
SIDOWA,Theodore Sider,On Williamson and Simplicity in Modal Logic,2016
Doane2022-CLAMPA-14,Justin Clarke{-}Doane and William McCarthy,Modal Pluralism and Higher-Order Logic,2022
VETCWP,Barbara Vetter,'Can' Without Possible Worlds: Semantics for Anti-Humeans,2013
WERCOC-6,Jonas Werner,"Contingent Objects, Contingent Propositions, and Essentialism",2021
VETAPO-2,Barbara Vetter,A Plenitude of Powers,2018
KRBPSA,"Nils K\""{u}rbis","Proof-Theoretic Semantics, a Problem with Negation and Prospects for Modality",2015
LEEP-4,Jessica Leech,Potentiality,2017
DERGGN,Julio De Rizzo,Grounding Grounds Necessity,2020
MUMDM,Stephen Mumford and Rani Lill Anjum,Dispositional Modality,2011
GIADGI,Giannini Giacomo and Donatella Donati,Dispositionalism?s (Grand)Daddy Issues: Time Travelling and Perfect Masks,2022
FINTPO-4,Kit Fine,The Problem of Possibilia,2003
PLAEIT,Alvin Plantinga and Matthew Davidson,Essays in the Metaphysics of Modality,1969
NANFMM,Bence Nanay,"Function, Modality, Mental Content",2011
JAGEBT-2,Mark Jago,Essential Bundle Theory and Modality,2018
NEWSMM,Samuel Newlands,Spinoza's Modal Metaphysics,2023
CAMTGO,Ross P. Cameron,The Grounds of Necessity,2010
Vakkuri2016-YLIWOM,Juhani Yli{-}Vakkuri and Mark McCullagh,Williamson on Modality,2016
WILNBA-2,Nathan Wildman,Necessity by Accident,2022
GIANPF-3,Giacomo Giannini,New Powers for Dispositionalism,2020
MELM-7,Joseph Melia,Modality,2003
