ID,Author,Title,Year
CHAHC-8,Ruth Chang,Hard Choices,2017
KAMTNC-2,Francois Kammerer,The Normative Challenge for Illusionist Views of Consciousness,2019
RABVRR,Wlodek Rabinowicz,Value Relations Revisited,2012
REIFVA-2,Andrew Reisner,"Fittingness, Value and Trans-World Attitudes",2015
BYKTVS,Krister Bykvist,Taking Values Seriously,2021
MLLRNP,"Jean Moritz M\""{u}ller",Response-Dependent Normative Properties and the Epistemic Account of Emotion,2020
MEYDDA-2,Anne Https://Orcidorg Meylan,Doxastic Divergence and the Problem of Comparability. Pragmatism Defended Further,2020
KEMCGA,Dan Kemp,Created Goodness and the Goodness of God: Divine Ideas and the Possibility of Creaturely Value,2022
MATLIS,Erich Hatala Matthes,Love in Spite Of,2016
BALESO,Katalin Balog,"Either/Or: Subjectivity, Objectivity and Value",2020
DICTGA-2,David G. Dick,Transformable Goods and the Limits of What Money Can Buy,2017
KIPVFU,Roland Kipke,"Viktor Frankl Und Die Gegenw\""{a}rtige Philosophische Sinndiskussion: Ein Beitrag Zur Theorie des Sinnvollen Lebens in Psychotherapie, Psychiatrie Und Philosophie",2018
DALPSF-2,Patrick Daly,"Palliative Sedation, Foregoing Life-Sustaining Treatment, and Aid-in-Dying: What is the Difference?",2015
TAPWIV,Christine Tappolet and Mauro Rossi,What is Value? Where Does It Come From? A Philosophical Perspective,2015
WEIH,Dan Weijers,Hedonism,2011
TSOTCF,George Tsogas,The Commodity Form in Cognitive Capitalism,2012
YIBNI,Huiyuhl Yi,Building Narrative Identity: Episodic Value and its Identity-Forming Structure Within Personal and Social Contexts,2020
REIIAM,Mark R. Reiff,Incommensurability and Moral Value,2014
ODDFAV,Graham Oddie,"Fitting Attitudes, Finkish Goods, and Value Appearances",2010
BAUPCN-3,Peter Baumann and Monika Betzler,Practical Conflicts: New Philosophical Essays,2004
KERTMV,Stephen Kershnar and Neil Feit,The Most Valuable Player,2001
RASMVD-2,Erich Rast,Modeling Value Disagreement,2016
TREOAI-2,Frederic Tremblay,"Ontological Axiology in Nikolai Lossky, Max Scheler, and Nicolai Hartmann",2019
CORLVE,Jos\'e Ram\'{o}n Fabelo Corzo,Los Valores En la Filosof\'{i}a Latinoamericana Del Siglo Xx,2011
GONWHJ,Cheng Gong,? ? ? ??Energicism?,manuscript
BLEFOR,Kristina Blennow and Johannes Persson and Erik Persson and Marc Hanewinkel,Forest Owners' Response to Climate Change : University Education Trumps Value Profile,2016
GHEAIY,Anca Gheaus and Lourdes Gait\'{a}n Mu\~{n}oz,Adultos Inacabados y Ni\~{n}os Defectuosos: Sobre la Naturaleza y El Valor de la Infancia,2022
THEHAC-2,Panos Theodorou,"Husserl?s and Cassirer?s Na\""{i}ve Historico-Cultural Progressivism as Viewed Through a Radical Reworking of K\""{o}hler?s Value Theory",2022
CHIKAO,Andrew Chignell,Kinds and Origins of Evil,2021
TSOCIC,George Tsogas,Consumption in Cognitive Capitalism: Commodity Riots and the Dictatorship of the Proletariat of Consumption,2013
MONSLP,Philippe Mongin,"Sur le Probl\`{e}me Ricardien d'Un ""\'{E}talon Invariable des Valeurs""",1979
SZICAV,Andras Szigeti,Constitutionalism and Value Theory,2010
PERIIF-2,Timothy Perrine,Is It Fitting to Divide Value? A Review of the Value Gap,2023
KLBIRA,"Max K\""{o}lbel and Dan Zeman",Introduction: ?Relativism About Value?,2012
TSOVPA,Jonathan Y. Tsou and Shaw Jamie and Carla Fehr,"Values, Pluralism, and Pragmatism: Themes From the Work of Matthew J. Brown",forthcoming
THOAMT-2,Roberto Thomas Arruda,Arqu\'{e}tipos Morais: \'{E}tica Na Pr\'e-Hist\'{o}ria,2020
SOTWIA,Carlos Soto,What If All Value Were Conferred?,2017
LEESSI,Joo Heung Lee,Sovereign ?Subjectivity? in Bataille,2001
FOSAPO-2,Nicolai J. Foss and Peter G. Klein and Matthew McCaffrey,"Austrian Perspectives on Entrepreneurship, Strategy, and Organization",2019
ZEMBGO-3,Scott Zeman,By Grace of Broken Skin,2009
Herrera2018-RODNVI,Adolfo Rodr\'{i}guez{-}Herrera,Needs: Value in Command,2018
CORTYV-3,Jos\'e Ram\'{o}n Corzo Fabelo,Tolerancia y Valores (Rccs),2000
KALOCD,Konstantina Kalfa,On Creatively Destructing,2014
Armstrong2000-SINVJ,Walter Sinnott{-}Armstrong,"Review of James Griffin, Value Judgment",2000
COOTRP,Christian Coons,"Toni R\o{}nnow-Rasmussen, Personal Value",2012
