ID,Author,Title,Year
SIDFDA,Theodore Sider,Four Dimensionalism: An Ontology of Persistence and Time,2001
MERUAP,Trenton Merricks,Objects and Persons,2001
SIDRPO-2,Theodore Sider,Four Dimensionalism: An Ontology of Persistence and Time,2004
HELTOO-4,Mark Heller,The Ontology of Physical Objects: Four-Dimensional Hunks of Matter,1990
HAWHTP,Katherine Hawley,How Things Persist,2001
HASPTT,Sally Haslanger,Persistence Through Time,2003
PARTOL,Josh Parsons,Theories of Location,2008
WIGIAS,David Wiggins,Identity and Spatio-Temporal Continuity,1967
VANTDO-14,Peter Van Inwagen,The Doctrine of Arbitrary Undetached Parts,1981
VELWAT,J. David Velleman,Well-Being and Time,1991
HIRQVA,Eli Hirsch,Quantifier Variance and Realism: Essays in Metaontology,2010
BUILP-2,David Builes and Trevor Teitel,Lawful Persistence,2022
GILRAT-10,Cody Gilmore and Damiano Costa and Claudio Calosi,Relativity and Three Four-Dimensionalisms,2016
GILLAM,Cody Gilmore and Claudio Calosi and Damiano Costa,Location and Mereology,2013
COSTMT,Damiano Costa and Claudio Calosi,The Multi-Location Trilemma,2020
VANFO,Peter Van Inwagen,Four-Dimensional Objects,1990
MILTME-4,Kristie Miller,The Metaphysical Equivalence of Three and Four Dimensionalism,2005
OLSWAW-3,Eric T. Olson,What Are We?: A Study in Personal Ontology,2007
FOWAFV,Gregory Fowler,A Fourth View Concerning Persistence,manuscript
MARRC,Ned Markosian,Restricted Composition,2008
BROAOO-3,Jeffrey E. Brower,"Aquinas?s Ontology of the Material World: Change, Hylomorphism, and Material Objects",2014
COSTTT,Damiano Costa,The Transcendentist Theory of Persistence,2017
PARMAF,Josh Parsons,Must a Four-Dimensionalist Believe in Temporal Parts?,2000
LEWTTC,David K. Lewis,Tensing the Copula,2002
MEREAI,Trenton Merricks,Endurance and Indiscernibility,1994
HASPCA,Sally Haslanger,"Persistence, Change, and Explanation",1989
SIDAVE,Theodore Sider,Against Vague Existence,2003
GJAMRW,Kris McDaniel,Modal Realism with Overlap,2004
MERPPA,Trenton Merricks,"Persistence, Parts, and Presentism",1999
VANSPF,Peter Van Inwagen,Symposia Papers: Four-Dimensional Objects,1990
ZIMTAO-4,Dean W. Zimmerman,"The a-Theory of Time, the B-Theory of Time, and ?Taking Tense Seriously?",2005
WALATS-3,Lee Walters,Are the Statue and the Clay Mutual Parts?,2017
HELTPO-2,Mark Heller,Temporal Parts of Four Dimensional Objects,1984
MEROTI,Trenton Merricks,On the Incompatibility of Enduring and Perduring Entities,1995
PERTSV,Theodore Sider,The Stage View and Temporary Intrinsics,2000
GILWIT,Cody Gilmore,Where in the Relativistic World Are We?,2006
MOLEP,Friederike Moltmann,Existence Predicates,2020
VANOIA-6,Peter Van Inwagen,"Ontology, Identity, and Modality: Essays in Metaphysics",2001
BALPAS-10,Yuri Balashov,Persistence and Spacetime,2009
SIDTP-3,Theodore Sider,Temporal Parts,2008
MILOAF,Kristie Miller,Ought a Four-Dimensionalist to Believe in Temporal Parts?,2009
VELHTE,J. David Velleman and Thomas Hofweber,How to Endure,2011
MILESR,Kristie Miller,Enduring Special Relativity,2004
KOSTCP,Kathrin Koslicki,The Crooked Path From Vagueness to Four-Dimensionalism,2003
HASHSA,Sally Haslanger,Humean Supervenience and Enduring Things,1994
CAPDMP,Ben Caplan and Carl Matheson,Defending Musical Perdurantism,2006
INMNP,Ross Inman,Neo-Aristotelian Plenitude,2014
EFFAMC,Nikk Effingham and Jon Robson,A Mereological Challenge to Endurantism,2007
MOLTSO,Friederike Moltmann,The Semantics of Existence,2013
LOWLOP,E. J. Lowe,Lewis on Perdurance Versus Endurance,1987
ZIMPAP,Dean W. Zimmerman,Persistence and Presentism,1996
BUTAPA,Jeremy Butterfield,Against Pointillisme About Mechanics,2006
MORISD,Michael Morreau,It Simply Does Not Add Up: Trouble with Overall Similarity,2010
GILWPM,Cody Gilmore,"Why Parthood Might Be a Four Place Relation, and How It Behaves If It Is",2009
EAGLAP,Antony Eagle,Location and Perdurance,2009
MCDESA,Kris McDaniel,Extended Simples and Qualitative Heterogeneity,2009
GIBRP,Ian Gibson and Oliver Pooley,Relativistic Persistence,2006
SMISAS-3,Pierre Grenon and Barry Smith,Snap and Span: Towards Dynamic Spatial Ontology,2004
COSFMO,Damiano Costa and Alessandro Cecconi and Claudio Calosi,Fine?s Monster Objection Defanged,2023
GILTTC,Cody Gilmore,"Time Travel, Coinciding Objects, and Persistence",2007
STEIIA-4,Helen Steward,I--What is a Continuant?,2015
BALPAS-4,Yuri Balashov,Persistence and Space-Time,2000
BALEAP-2,Yuri Balashov,Enduring and Perduring Objects in Minkowski Space-Time,2000
LEOETG,Matt Leonard,Enduring Through Gunk,2018
DONPAM-2,Maureen Donnelly,Parthood and Multi-Location,2010
SMICPA-5,Barry Smith,Classifying Processes: An Essay in Applied Ontology,2012
FINIDO,Kit Fine,In Defense of Three-Dimensionalism,2006
REAF,Michael C. Rea,Four-Dimensionalism,2003
MCDTAO,Kris McDaniel,Tropes and Ordinary Physical Objects,2001
MILBTP-2,Kristie Miller,Blocking the Path From Vagueness to Four Dimensionalism,2005
BARPOM-4,Stephen Barker and Phil Dowe,Paradoxes of Multi-Location,2003
BROPF,Berit Brogaard,Presentist Four-Dimensionalism,2000
HAWTVF,John Hawthorne,Three-Dimensionalism Vs. Four-Dimensionalism,2008
GILPAL,Cody Gilmore,Persistence and Location in Relativistic Spacetime,2008
MARTDC,Ned Markosian,The 3D/4D Controversy and Non-Present Objects,1994
GILBMO,Cody Gilmore,Building Enduring Objects Out of Spacetime,2014
RYATSO-3,Ryan Wasserman,The Standard Objection to the Standard Account,2002
