ID,Author,Title,Year
HABBNA-2,Ju?rgen Habermas,Between Naturalism and Religion: Philosophical Essays,2008
LOCALC-4,John Locke and James H. Tully,A Letter Concerning Toleration,1963
LOCTST-2,John Locke,The Second Treatise of Government,1966
LEIWTR,Brian Leiter,Why Tolerate Religion?,2012
LOCTST,John Locke,The Second Treatise of Civil Government,1946
FORT,Rainer Forst,Toleration,2012
TILCR,John J. Tilley,Cultural Relativism,2000
HABRTP,"J\""{u}rgen Habermas",Religious Tolerance--the Pacemaker for Cultural Rights,2004
CHAMAC,Joseph Chan,"Moral Autonomy, Civil Liberties, and Confucianism",2002
KELOTT,Erin Kelly and Lionel McPherson,On Tolerating the Unreasonable,2001
HORTAP-2,John Horton,Three (Apparent) Paradoxes of Toleration',1994
HICTAT,Michael W. Hickson,Theodicy and Toleration in Bayle?s Dictionary,2013
ERLMAT-3,Robert Erlewine,Monotheism and Tolerance: Recovering a Religion of Reason,2010
PARDOC,Seungbae Park,Defence of Cultural Relativism,2011
LISPRA,Andrew Lister,Public Reason and Moral Compromise,2007
JONTRA-3,Peter Jones,"Toleration, Religion and Accommodation",2012
REMHAT,Gary Remer,Humanism and the Rhetoric of Toleration,1996
KILSAT-2,John Kilcullen,"Sincerity and Truth: Essays on Arnauld, Bayle, and Toleration",1988
Halev2005-SPIHCA-3,Jeff Spinner{-}Halev,"Hinduism, Christianity, and Liberal Religious Toleration",2005
STESCD,Justin Steinberg,Spinoza?s Curious Defense of Toleration,2010
ERLMAT,Robert Erlewine,Monotheism and Tolerance: Recovering a Religion of Reason,2011
PRIPW-2,Joseph Priestley,Political Writings,1993
ISRECP-3,Jonathan Israel,"Enlightenment Contested: Philosophy, Modernity, and the Emancipation of Man 1670-1752",2006
WEETRO-3,William A. Weeks and Justin G. Longenecker and Joseph A. McKinney and Carlos W. Moore,The Role of Mere Exposure Effect on Ethical Tolerance: A Two-Study Approach,2005
MICTAA-3,Michael A. Rosenthal,Tolerance as a Virtue in Spinoza's Ethics,2001
CEVWTI,Emanuela Ceva,Why Toleration is Not the Appropriate Response to Dissenting Minorities' Claims,2012
SCHTEA-4,William Schweiker,Theological Ethics and Global Dynamics: In the Time of Many Worlds,2004
OHTRO,Irene Oh,"The Rights of God: Islam, Human Rights, and Comparative Ethics",2007
KHUIT,George Khushf,Intolerant Tolerance,1994
TANTPO-14,Kok{-}Chor Tan,The Problem of Decent Peoples,2006-01-01
MILTRA-5,Richard Brian Miller,"Terror, Religion, and Liberal Thought",2010
NEDTIA,Cary J. Nederman,Toleration in a New Key: Historical and Global Perspectives,2011
