ID,Author,Title,Year
LOWPAT,E. J. Lowe,Personal Agency: The Metaphysics of Mind and Action,2008
VELPR,David Velleman,Practical Reflection,1989
MASWTB,Elinor Mason,"Ways to Be Blameworthy: Rightness, Wrongness, and Responsibility",2019
BJREAT,"Gunnar Bj\""{o}rnsson",Explaining (Away) the Epistemic Condition on Moral Responsibility,2017
EKSGSA,Laura W. Ekstrom,"God, Suffering, and the Value of Free Will",2021
SRIWMA,Chandra Sekhar Sripada,What Makes a Manipulated Agent Unfree?,2011
DEEFAA,Ois\'{i}n Deery,Free Actions as a Natural Kind,2021
CARFWR,Gregg D. Caruso and Christian List and Cory J. Clark,Free Will: Real or Illusion - a Debate,2020
HESTFW,Kendy Hess,The Free Will of Corporations,2014
HAJRDT,Ishtiyaque Haji,"Reason?s Debt to Freedom: Normative Appraisals, Reasons, and Free Will",2012
MCHEDF,Conor Mchugh,Exercising Doxastic Freedom,2011
VARTTW-2,Manuel Vargas,The Trouble with Tracing,2005
TIMFWI,Kevin Timpe,Free Will in Philosophical Theology,2013
CLAATA-3,Randolph Clarke,Abilities to Act,2015
INWHTT-2,Peter van Inwagen,How to Think About the Problem of Free Will,2008
BENFAA-6,Paul Benson,Free Agency and Self-Worth,1994
MICFWS,Kristin M. Mickelson,"Free Will, Self-Creation, and the Paradox of Moral Luck",2019
HARFWA-5,Robert J. Hartman,Free Will and the Moral Vice Explanation of Hell's Finality,2023
DEFDOA-2,Ciro De Florio and Aldo Frigerio,Divine Omniscience and Human Free Will: A Logical and Metaphysical Analysis,2019
GRAFWA-3,W. Matthews Grant,Free Will and God's Universal Causality: The Dual Sources Account,2019
TIMISA,Kevin Timpe and Timothy Pawl,"Incompatibilism, Sin, and Free Will in Heaven",2009
LAMAPA-5,Fabio Lampert,A Puzzle About the Fixity of the Past,2022
MENRFW,Leonhard Menges,"Responsibility, Free Will, and the Concept of Basic Desert",2023
CARMRR-3,Gregg D. Caruso and Derk Pereboom,Moral Responsibility Reconsidered,2022
HAROLA-3,James A. Harris,Of Liberty and Necessity: The Free Will Debate in Eighteenth-Century British Philosophy,2005
SOMEPA,Tamler Sommers,Experimental Philosophy and Free Will,2010
MCKRTM-4,Michael McKenna,Resisting the Manipulation Argument: A Hard-Liner Takes It on the Chin,2013
KAIRAD-3,Alex Kaiserman,Reasons-Sensitivity and Degrees of Free Will,2020
KUHAPT,Gustav Kuhn and Hugo A. Caffaratti and Robert Teszka and Ronald A. Rensink,A Psychologically-Based Taxonomy of Misdirection,2014
MOOFW,G. E. Moore,Free Will,1912
FISDTC,John Martin Fischer and Garrett Pendergraft,Does the Consequence Argument Beg the Question?,2013
LISTNC,Christian List,The Naturalistic Case for Free Will,2022
PAEARF,Eze Paez,A Republic for All Sentients: Social Freedom Without Free Will,2021
OLIDTF-2,Luis Oliveira,Defending the Free Will Defense: A Reply to Sterba,2022
NAADDT-2,Noa Naaman Zauderer,"Descartes' Deontological Turn: Reason, Will, and Virtue in the Later Writings",2010
JASTAT,Romy Jaster,The Ability to Do Otherwise and the New Dispositionalism,2022
ROGFAS,Katherin A. Rogers,Freedom and Self Creation: Anselmian Libertarianism,2015
PERFW-2,Derk Pereboom,Free Will,2009
CHOTFW,Frederick Choo and Esther Goh,The Free Will Defense Revisited: The Instrumental Value of Significant Free Will,2019
MICTMA-3,Kristin Mickelson,The Manipulation Argument,2016
GROSTF-2,Ruth Groff,"Sublating the Free Will Problematic: Powers, Agency and Causal Determination",2019
MELFWA-17,Alfred R. Mele,Free Will: An Opinionated Guide,2022
MURDPU-2,Samuel Murray and Elise Dykhuis and Thomas Nadelhoffer,Do People Understand Determinism? The Tracking Problem for Measuring Free Will Beliefs,forthcoming
LAMFOA,Fabio Lampert,"Freedom, Omniscience and the Contingent a Priori",forthcoming
SPEWTT,Joshua Spencer,What Time Travelers Cannot Not Do (but Are Responsible for Anyway),2013
LOOWFI,Brian Looper,What Freedom in a Deterministic World Must Be,2021
GEMNOF-5,Ken Gemes and Christopher Janaway,"Nietzsche on Free Will, Autonomy, and the Sovereign Individual",2009
MELMRA-3,Alfred R. Mele,Moral Responsibility and the Continuation Problem,2013
MCKAMH-2,Michael McKenna,A Modest Historical Theory of Moral Responsibility,2016
MICACO-6,Kristin Mickelson,A Critique of Vihvelin?s Three-Fold Classification,2015
PERACA-2,Derk Pereboom,A Compatibilist Account of the Epistemic Conditions on Rational Deliberation,2008
JOHFWD,John Martin Fischer,"Free Will, Death, and Immortality: The Role of Narrative",2005
CARBFW,Gregg D. Caruso,"Buddhism, Free Will, and Punishment: Taking Buddhist Ethics Seriously",2020
CARFWE,Gregg D. Caruso,"Free Will Eliminativism: Reference, Error, and Phenomenology",2015
FISRAS,John Martin Fischer,Responsibility and Self-Expression,1999
KAHTVQ,Guy Kahane,The Value Question in Metaphysics,2012
ISMCFW,Jenann Ismael,"Causation, Free Will, and Naturalism",2013
CLAIUT-2,Randolph Clarke,It?s Up to You,2020
MELTCO-14,Yitzhak Y. Melamed,"The Causes of Our Belief in Free Will: Spinoza on Necessary, ?Innate,? yet False Cognition",2017
BENBFT,S. I. Benn and W. L. Weinstein,"Being Free to Act, and Being a Free Man",1971
BARTAA-12,S. F. Barker,Thought and Action,1962
TOGFWA-2,Neal A. Tognazzini,Free Will and Time Travel,2016
HASCEB,William Hasker,Can Eternity Be Saved? A Comment on Stump and Rogers,2020
HOLFAT-3,Wesley H. Holliday,Freedom and the Fixity of the Past,2012
TURRA-13,P. Roger Turner and Justin Capes,Rule A,2018
KANFW-2,Robert Kane,Free Will,2001
VARWTL,Manuel Vargas,Why the Luck Problem Isn't,2012
FLEDOA,Antony Flew,Divine Omnipotence and Human Freedom,1964
GINTCA,Carl Ginet,The Conditional Analysis of Freedom,1980
KITGAF,Simon Kittle,Grace and Free Will: Quiescence and Control,2015
JEPRDA,Sofia Jeppsson,"Reasons, Determinism and the Ability to Do Otherwise",2016
MIHQWR,Katerina Mihaylova,Free Will Ruled by Reason: Pufendorf on Moral Value and Moral Estimation,2022
STUTOO-8,Eleonore Stump,The Openness of God: Hasker on Eternity and Free Will,2022
NICTII-3,Shaun Nichols,The Indeterminist Intuition,2012
JOHGPD,David Kyle Johnson,God?s Prime Directive: Non-Interference and Why There is No (Viable) Free Will Defense,2022
OLSICW,Jay A. Olson and Alym A. Amlani and Amir Raz and Ronald A. Rensink,Influencing Choice Without Awareness,2015
LEOWFD,Felipe Leon and Neal A. Tognazzini,Why Frankfurt-Examples Don?T Need to Succeed to Succeed,2010
ALTFWN-2,Roman Altshuler,"Free Will, Narrative, and Retroactive Self-Constitution",2015
VANTOO-8,J. H. van Hateren,"The Origin of Agency, Consciousness, and Free Will",2015
LEHCWK,Keith Lehrer,Can We Know That We Have Free Will by Introspection?,1960
RUSTPO-27,Paul Russell and Oisin Deery,The Philosophy of Free Will: Essential Readings From the Contemporary Debates,2013
SEGDTA,Aaron Segal,"Dependence, Transcendence, and Creaturely Freedom: On the Incompatibility of Three Theistic Doctrines",2021
FEDWKO-2,Asaf Federman,What Kind of Free Will Did the Buddha Teach?,2008
BENFST-2,Paul Benson,Feminist Second Thoughts About Free Agency,1990
INWWTW,Inwagen Peter,When the Will is Not Free,1994
GRIFWT-2,Meghan Griffith,Free Will: The Basics,2013
Snyder2017-HOWDF-2,Frances Howard{-}Snyder,Divine Freedom,2017
ROWTCO,William Rowe,Two Concepts of Freedom,1987
TIMFWA,Kevin Timpe and Daniel Speak,"Free Will and Theism: Connections, Contingencies, and Concerns",2016
MELLAF,Alfred R. Mele,Luck and Free Will,2014
HOFFWA-3,Tobias Hoffmann,Free Will and the Rebel Angels in Medieval Philosophy,2020
CYRFWG,Taylor W. Cyr and Matthew T. Flummer,"Free Will, Grace, and Anti-Pelagianism",2018
PAOHIF,Michele Paolini Paoletti,"How I (Freely) Raised My Arm. Downward, Structural, Substance Causation",2016
SEHEII,Scott Sehon,Epistemic Issues in the Free Will Debate: Can We Know When We Are Free?,2013
GREFWA-6,Patricia Greenspan,Free Will and Rational Coherency,2012
ESCRCA,Markus E. Schlosser,"Reasons, Causes, and Chance-Incompatibilism",2017
ALBFOW,Rogers Albritton,Freedom of Will and Freedom of Action,1982
CLAASC-2,Sean Clancy,A Strong Compatibilist Account of Settling,2013
WIDANA-2,David Widerker,A New Argument Against Libertarian Free Will?,2016
CAHFLA,Steven M. Cahn,"Fate, Logic, and Time",1967
SRIFWA,Chandra Sripada,Free Will and the Construction of Options,2016
JAYDOH,Marie Jayasekera,Descartes on Human Freedom,2014
ALDAEA-2,Charlotte Alderwick,Atemporal Essence and Existential Freedom in Schelling,2015
LAMAPA-7,Fabio Lampert and John William Waldrop,A Puzzle About Moral Responsibility,2023
MARTOA-13,Charles Marks and Lawrence H. Davis,Theory of Action,1980
CHACLB-2,Drew Chastain,Can Life Be Meaningful Without Free Will?,2019
CAPLAA-3,Justin A. Capes,Libertarianism and Agentive Experience,2023
WALABV,B. Allan Wallace,A Buddhist View of Free Will: Beyond Determinism and Indeterminism,2011
HORIAT,Terry Horgan and Mark Timmons,Introspection and the Phenomenology of Free Will: Problems and Prospects,2011
FISRTT-4,John Martin Fischer,Replies to Timmerman and Gorman,2022
SCHBVD,Peter Https://Orcidorg288X Schulte,Beyond Verbal Disputes: The Compatibilism Debate Revisited,2014
AYATAP,Andres Ayala,The Absolute Primacy of the Intellect in Aquinas: A Reaction to Fabro?s Position,2023
TEEGAT,Luke Teeninga,God and the Value of Free Will,2022
