ID,Author,Title,Year
HEIJPA-3,James W. Heisig and Thomas P. Kasulis and John C. Maraldo,Japanese Philosophy: A Sourcebook,2011
CRETDQ,Montserrat Crespin Perales,"The Denomination ""Kyoto School? in the Work of Tsuchida Kyo?Son (1891-1934) Contemporary Thought of Japan and China (1926, 1927)",2024
CHIIWM,Takahiro Chino,Is Western Marxism Western? The Cases of Gramsci and Tosaka,2017
TOSTJA,Jun Tosaka and Ken C. Kawashima and Fabian Scha?fer and Robert Stolz,Tosaka Jun: A Critical Reader,2013
TOSTJZ-3,Jun Tosaka,"Tosaka Jun Zenshu?, Bekkan",1979
KOZGTT,Yoshishige Kozai,Gendai Tetsugaku to Yuibutsuron,1965
CRECEI,Montserrat Crespin Perales,(Chapter) El Individuo Escalonado: Un Estudio Sobre El M\'{e}todo Psicol\'{o}gico-Pol\'{i}tico En Tosaka Jun y Maruyama Masao,2023
TSUTJT,Masao Tsuda,"Tosaka Jun to ""Sho?Wa Ideorogi?"": ""Nishida Gakuha"" No Kenkyu?",2009
MARFOJ-3,John Maraldo,Frontiers of Japanese Philosophy 4: Facing the 21St Century,2009
CREIBY,Montserrat Crespin Perales and Fernando Wirtz,Introducci\'{o}n,2023
TOSTJS,Jun Tosaka,Tosaka Jun Shu?,1976
HIRTDR,Yasuyuki Hirabayashi,Tosaka Dzi?U?N,1965
YOSKGN,Masatoshi Yoshida,"""Kyo?to Gakuha"" No Tetsugaku: Nishida, Miki, Tosaka o Chu?Shin Ni",2011
TANKNT,Hajime Tanabe,Kaiso? No Tosaka Jun,1976
MIYNMT,To?ru Miyakawa,"Nishida, Miki, Tosaka No Tetsugaku",1967
TOSTJZ,Jun Tosaka,Tosaka Jun Senshu,1948
ROTDZD,"Martin Roth and Fabian Sch\""{a}fer","Das Zwischen Denken: Marx, Freud Und Nishida: Fu?R Toshiaki (Binmei) Kobayashi",2014
IWAASN,Hiroshi Iwakura,"Aru Senjika No Teiko?: Tetsugakusha, Tosaka Jun to ""Yuiken"" No Nakamatachi",2015
TOSITR,Jun Tosaka,Ideorogi? to Rojikku: Tosaka Jun Ideorogi?-Ron Shu?Sei,2007
PERCMW,Montserrat Crespin Perales and Fernando Wirtz,Despu\'{e}s de la Nada: Dial\'{e}ctica e Ideolog\'{i}a En la Filosof\'{i}a Japonesa Contempor\'{a}nea,2023
HARTJI-2,Harry Harootunian,"Tosaka Jun, Ideologie, Medien, Alltag: Eine Auswahl Ideologiekritischer, Kulturund Medientheoretischer Und Geschictsphilosophischer Schriften",2012
TOSTJZ-2,Jun Tosaka,Tosaka Jun Zenshu? Mishu?Roku Ronbunshu?,2016
SHITAR,Kosuke Shimizu,The Ambivalent Relationship of Japan's Soft Power Diplomacy and Princess Mononoke : Tosaka Jun's Philosophy of Culture as Moral Reflection,2014
JUNVTD,Tosaka Jun,Vocation Th\'{e}orique du Concept de ? Caract\`{e}re ? : \`A Propos d'Un Programme,2008
TOSNTT,Jun Tosaka,Nihon-Teki Tetsugaku to Iu Ma: Tosaka Jun Kyo?to Gakuha Hihan Ronshu?,2007
PERTJY,Montserrat Cresp\'{i}n Perales,Tosaka Jun y Las Funciones Epist\'{e}micas de la Cultura: Materiales Para Un Estudio Sobre Transhistoricidad e Identidades Colectivas,2021
STETOT-5,Kenn Nakata Steffensen,"Translation of Tosaka Jun's ""the Philosophy of the Kyoto School""",2016
STEIWI-2,Raji C. Steineck and Elena L. Lange,Introduction: ?What is Japanese Philosophy??,2018
PERFYP,Montserrat Crespin Perales,Filosof\'{i}a y Pensamiento Contempor\'{a}neo: Sincretismo Japon\'{e}s,2020
Zatulovskii1972-RADIIM,Iakov Borisovich Radul'{-}Zatulovskii,Iz Istorii Materialisticheskikh Idei V Iaponii V 17-Pervoi Polovine 19 V,1972
HEIROS-4,Steven Heine,Sourcebook for Modern Japanese Philosophy: Selected Documents (Review),2001
