ID,Author,Title,Year
EINCQD,Albert Einstein and Boris Podolsky and Nathan Rosen,Can Quantum-Mechanical Description of Physical Reality Be Considered Complete?,1935
CRATTI,John G. Cramer,The Transactional Interpretation of Quantum Mechanics,1986
BEROCL,Joseph Berkovitz,On Causal Loops in the Quantum Realm,2002
CORRMF-2,Richard Corry,Retrocausal Models for Epr,2015
KASCTI-4,Ruth E. Kastner,Cramer?s Transactional Interpretation and Causal Loop Problems,2006
BEROPI-3,Joseph Berkovitz,On Predictions in Retro-Causal Interpretations of Quantum Mechanics,2008
KASTQL,Ruth E. Kastner,The Quantum Liar Experiment in Cramer's Transactional Interpretation,2010
BOIAIT,Jean{-}S\'{e}bastien Boisvert and Louis Marchildon,Absorbers in the Transactional Interpretation of Quantum Mechanics,2013
CRAAOO,John G. Cramer,An Overview of the Transactional Interpretation,1988
RIEAME,C. W. Rietdijk,A Microrealistic Explanation of Fundamental Quantum Phenomena,1980
RIEAPT,C. W. Rietdijk,Another Proof That the Future Can Influence the Present,1981
EKATRT,R. E. Kastner,The Relativistic Transactional Interpretation: Immune to the Maudlin Challenge,2019
ATKQMA,David Atkinson,Quantum Mechanics and Retrocausality,manuscript
KASTTI-2,Ruth E. Kastner,"The Transactional Interpretation, Counterfactuals, and Weak Values in Quantum Theory",2008
EVAASO-2,Peter W. Evans,A Study of Time in Modern Physics,2011
CRAAFT,John Cramer,A Farewell to Copenhagen?,manuscript
KASTTI-8,R. E. Kastner,The Transactional Interpretation of Quantum Mechanics: The Reality of Possibility,2012
KASWES,Ruth Kastner,Why Everettians Should Appreciate the Transactional Interpretation,2010
RIEHDV,C. W. Rietdijk,How Do ?Virtual? Photons and Mesons Transmit Forces Between Charged Particles and Nucleons?,1977
DEBMQ,Olivier Costa de Beauregard,M\'{e}chanique Quantique,1953
RIEREF,C. W. Rietdijk,Retroactive Effects From Measurements,1987
NIEIPO-2,H. B. Nielsen,"Imaginary Part of Action, Future Functioning as Hidden Variables",2011
SHEFOT,Daniel P. Sheehan,"Frontiers of Time: Retrocausation--Experiment and Theory: San Diego, California, 20-22 June 2006",2006
SHEQRT,Daniel P. Sheehan,"Quantum Retrocausation: Theory and Experiment: San Diego, California, Usa, 13-14 June 2011",2011
LICTAN,Ignazio Licata,Transaction and Non Locality in Quantum Field Theory,forthcoming
