ID,Author,Title,Year
BRNADA,"Claudia Br\""{a}ndle and Michael W. Schmidt",Autonomous Driving and Public Reason: A Rawlsian Approach,2021
HONMTP,V??ng Qu\^{a}n Ho\`{a}ng and Nguy?n Minh Ho\`{a}ng and L\~a Vi?t Ph??ng,M\^{o}i Tr??ng ? \D{J}^{a}u Trong L?i Gi\h{a}i \DJ??c Cho L\`a \DJ? B\h{a}o V? M\^{o}i Tr??ng: T\`{i}nh Hu?ng Nickel,2023
PHNCTT,L\~a Vi?t Ph??ng and Nguy?n Minh Ho\`{a}ng,C\'{a}c Th\'{a}ch Th?c Trong Qu\'a Tr\`{i}nh Chuy?n \DJ?i T? Xe Nhi\^{e}n Li?u H\'{o}a Th\d{a}ch Sang Xe \D{J}i?n Cho M\d{u}c Ti\^{e}u Ph\'{a}t Tri?n B?n V?ng,2023
SMEFOP,Serhii Smerichevskyi and Zarina Poberezhna and Igor Kryvovyazyuk and Larysa Ivanenko and Dmytro Malnov,Formation of Principles of a Customer-Oriented Approach by Transport Enterprises in Conditions of Sustainable Development,2024
DUMLDP-2,Speranta Dumitru,L?Abolition des Passeports : Une Revendication de Gauche Ou de Droite ?,2023
VETSAT,Jeremy Vetter,Science Along the Railroad: Expanding Field Work in the Us Central West,2004
HONMPT,Nguy?n Minh Ho\`{a}ng,M?c Ph\'{a}t Th\h{a}i G\^{a}y Hi?u ?ng Nh\`a K\'{i}nh \D{J}'{a}ng Ng\d{a}i C\h{u}a M\'{a}y Bay,2023
WANASI-2,Xihao Wang and Xiaojun Wang and Yuqing Liu and Chun Xiao and Rongsheng Zhao and Ye Yang and Zhao Liu,A Sustainability Improvement Strategy of Interconnected Data Centers Based on Dispatching Potential of Electric Vehicle Charging Stations,2022
SAR-157,Sergii Sardak and \CYRV. \CYRI. \CYRT\cyru\cyrr\cyrk\cyro \CYRA. \CYRO. \CYRR\cyre\cyru\cyrk\cyro\cyrv\cyra \CYRS. \CYREREV. \CYRS\cyra\cyrr\cyrd\cyra\cyrk,"\CYRM\cyre\cyrzh\cyrd\cyru\cyrn\cyra\cyrr\cyro\cyrd\cyrn\cyrery\cyre \CYRK\cyro\cyrn\cyrf\cyrl\cyri\cyrk\cyrt\cyrery \CYRI \CYRT\cyru\cyrr\cyri\cyrz\cyrm: \CYRH\cyra\cyrr\cyra\cyrk\cyrt\cyre\cyrr\cyri\cyrs\cyrt\cyri\cyrk\cyra, \CYRV\cyrz\cyra\cyri\cyrm\cyro\cyrs\cyrv\cyrya\cyrz\cyrsftsn, \CYRR\cyra\cyrz\cyrv\cyri\cyrt\cyri\cyre",2019
SMECCO,Sergyi Smerichevskyi and Igor Kryvovyazyuk and Larysa Raicheva,\CYRE{}conomic Consequences of Financial Stability Violation of World Automotive Corporations,2018
SARDOH,Sergii Sardak and Oleksandr P. Krupskyi and V. Dzhyndzhoian and M. Sardak and Y. Naboka,Development of Historical and Cultural Tourist Destinations,2020
SARCTI-3,Sergii Sardak and O. Tryfonova T. Fedotova V. Dzhyndzhoian M. Korneyev S. Sardak,Current Trends in Global Demographic Processes,2018
COTOOD,James Edrian M. Cotacte and Ma Jane Dimple N. Anit and Luzielle F. Fuerte and Maria Aurora R. Marasigan and Jowenie A. Mangarin,"Optimization of Destination Image: The Environmental Implications of Tourists Arrivals in Matabungkay Beach, Lian",2024
SAR-134,Sergii Sardak and \CYRI. \CYRS. \CYRS\cyra\cyrr\cyrd\cyra\cyrk \CYRS. \CYREREV. \CYRS\cyra\cyrr\cyrd\cyra\cyrk,\CYRI\cyrn\cyrn\cyro\cyrv\cyra\cyrc\cyri\cyro\cyrn\cyrn\cyrery\cyre \CYRA\cyrs\cyrp\cyre\cyrk\cyrt\cyrery \CYRF\cyro\cyrr\cyrm\cyri\cyrr\cyro\cyrv\cyra\cyrn\cyri\cyrya \CYRI\cyrs\cyrt\cyro\cyrr\cyri\cyrk\cyro-\CYRK\cyru\cyrl\cyrsftsn\cyrt\cyru\cyrr\cyrn\cyrery\cyrh \CYRC\cyre\cyrn\cyrt\cyrr\cyro\cyrv \CYRP\cyrr\cyri\cyrt\cyrya\cyrzh\cyre\cyrn\cyri\cyrya \CYRT\cyru\cyrr\cyri\cyrs\cyrt\cyro\cyrv,2019
QUNTLB,V??ng Qu\^{a}n Ho\`{a}ng and Nguy?n Minh Ho\`{a}ng and Nguy?n H?ng S?n and L\~a Vi?t Ph??ng,T??ng Lai B?t \D{J}d{i}nh C\h{u}a C\'{a}c Cam K?t Trong Cu?c Chi?n Ch?ng Bi?n \DJ?i Kh\'i H?u To\`{a}n C?u,2024
ANHBST,Tr?n Th\di Mai Anh,B\`{i}nh S\'{a}ch: T\'{a}i \D{J}d{i}nh Ngh\~{i}a Kinh T? \DJ? H??ng T?i M?t Tr\'{a}i \DJ?t B?n V?ng,2024
SMEDAS,S. Smerichevskyi and O. Mykhalchenko and Z. Poberezhna and Igor Kryvovyazyuk,Devising a Systematic Approach to the Implementation of Innovative Technologies to Provide the Stability of Transportation Enterprises,2023
HILCTV-2,George Hilton,"Cleveland Transit Vehicles: Equipment and Technology. James A. Toman, Blaine S. Hays",1998
VANPCO-4,Lucinda Vandervort,Political Control of Independent Administrative Agencies,1979
CONLCP-3,Observateur Concern\'e,Lo\`{a}i ?Chim? Ph\'{a}t Th\h{a}i G?m Nh?t,2023
THIMNC,U\^{o}ng Th\'{a}i Bi?u,?M? \DJ??ng? Cho Giao Th\^{o}ng T\^{a}y Nguy\^{e}n,2023
CHUSCO-3,Elena Chuprina and Yuliia Zahorodnia and Olha Petrenko and Igor Britchenko and Oleksii Goretskyi,Specific Characteristics of Seaports Development in the Context of Digitalization: International Experience and Conclusions,2022
CHAEOP-6,Suk Ha Grace Chan and Xiaocheng Vicky Zhang and Yifan Betty Wang and Zhaofeng Mason Li,"Effects of Psychological Benefits of Greenness on Airlines? Customer Experiential Satisfaction, Service Fairness, Alternative Attractiveness, and Switching Intention",2022
LAVMOU,Olena O. Lavrentieva and Ihor O. Arkhypov and Oleksandr P. Krupskyi and Denys O. Velykodnyi and Sergiy V. Filatov,Methodology of Using Mobile Apps with Augmented Reality in Students' Vocational Preparation Process for Transport Industry,2020
HAGHFA,Matthew Hagnauer,Home Feild Advantage,manuscript
MARMAV-2,Herry Martin,Man and van Greenwich,2004
EVACPA,Basil Evangelidis,"Centers, Peripheries and Technical Progress",2015
