ID,Author,Title,Year
LYNRP,Michael P. Lynch,Rewrighting Pluralism,2006
BROWCT,Lajos L. Brons,"Wang Chong, Truth, and Quasi-Pluralism",2015
WILCJA,Michael Williams,"Coherence, Justification, and Truth",1980
PERIKA,Tuomas K. Pernu,Is Knowledge a Natural Kind?,2009
BROPAD-2,Lajos L. Brons,"Putnam and Davidson on Coherence, Truth, and Justification",2016
BRORQI,Lajos Brons,"Recognizing ""Truth"" in Chinese Philosophy",2016
MOSEJG,Paul K. Moser,Empirical Justification,1985
PATLAT-4,Dennis Michael Patterson,Law and Truth,1996
DAVHTT,Marian David,How to Take Truth as a Goal?,2012
GIAALF,Anastasia Giannakidou and Alda Mari,"A Linguistic Framework for Knowledge, Belief, and Veridicality Judgement",manuscript
WILRMT-3,Robert Archer,Reclaiming Metaphysical Truth for Educational Research,2002
RAETPO,"Boris R\""{a}hme",The Paradox of Knowability and Epistemic Theories of Truth,manuscript
VOLTAJ-2,Giorgio Volpe,Truth and Justification: A Difference That Makes a Difference,2015
Valdecasas2017-GARCYV,Miguel Garcia{-}Valdecasas,Conocimiento y Verdad,2017
DASVED-2,Gabriel Ferreira da Silva,Verdade e Decis\~{a}o: Sobre a Rela\c{c}~{a}o Entre Verdade Objetiva e Decis\~{a}o Subjetiva (a Partir de Kierkegaard),2012
RHMBWU,"Boris R\""{a}hme","Behauptung, Wahrheitsanspruch Und Begr\""{u}ndung. \""{U}berlegungen Zum Wahrheitsproblem",2002
GAUJTA-2,Stephen Gaukroger,"Justification, Truth, and the Development of Science",1998
ODECJA,Douglas Odegard,Complete Justification and Truth Value,1987
RHMWBU-2,"Boris R\""{a}hme","Wahrheit, Begr\""{u}ndbarkeit Und Fallibilit\""{a}t. Ein Beitrag Zur Diskus-Sion Epistemischer Wahrheitskonzeptionen",2010
BACTJA,Kent Bach,"Truth, Justification, and the American Way",1992
LEHCAN,Robert Tad Lehe,Coherence--Criterion and Nature of Truth,1983
EWBTAJ,Michael Ewbank,Truth and Justification,2004
