ID,Author,Title,Year
COBTCS,Pablo Cobreros and Paul Egr\'e and David Ripley and Robert van Rooij,"Tolerant, Classical, Strict",2012
BURT,Alexis G. Burgess and John P. Burgess,Truth,2011
MAGCM,Ofra Magidor,Category Mistakes,2013
LIGIDO,David Liggins,In Defence of Radical Restrictionism,2019
WRITT,Cory Wright and Nikolaj Jang Lee Linding Pedersen,New Waves in Truth,2010
KRITMT-2,Manuel Kri\vz and Emmanuel Chemla,Two Methods to Find Truth-Value Gaps and Their Application to the Projection Problem of Homogeneity,2015
SALVAA-4,Sagid Salles,Vagueness as Arbitrariness: Outline of a Theory of Vagueness,2021
OMSMSA,Sergi Oms,"Minimalism, Supervaluations and Fixed Points",2020
CAPOTI,Mihnea D. I. Capraru,Objective Truth in Matters of Taste,2016
SHAWIA-7,James R. Shaw,What is a Truth-Value Gap?,2014
GEETCO,V. Mc Gee,Two Conceptions of Truth? ? Comment,2005
VARSAP,Achille C. Varzi,Supervaluationism and Paraconsistency,2000
ULIHTC,Boris Culina,How to Conquer the Liar and Enthrone the Logical Concept of Truth,2023
COBSSA,Pablo Cobreros and Luca Tranchini,"Supervaluationism, Subvaluationism and the Sorites Paradox",2019
VARCAC,Achille C. Varzi,Conjunction and Contradiction,2004
RICIAT-4,Mark Richard,Indeterminacy and Truth Value Gaps,2010
Garb2012-ARMLTA,Bradley Armour{-}Garb and James A. Woodbridge,"Liars, Truthtellers and Naysayers: A Broader View of Semantic Pathology I",2012
PARBCA-3,T. Parent,Against God of the Truth-Value Gaps,2023
COBSTV,Pablo Cobreros and Luca Tranchini,"Supervaluationism: Truth, Value and Degree Functionality",2014
WANPLA,Xinli Wang,Presuppositional Languages and the Failure of Cross-Language Understanding,2003
RICOAA-6,Mark Richard,On an Argument of Williamson's,2000
HAWFET,Nathan Hawkins,Frege's Equivalence Thesis and Reference Failure,2021
WANCSA,Xinli Wang,Conceptual Schemes and Presuppositional Languages,2007 reprint
SALATT-2,Sagid Salles,A Teoria Trivalente da Vagueza e o Problema da Precis\~{a}o,2019
WAN-8,Xinli Wang and ? ??,????????????????? -- ???????????????????,2004
AKMV,Varol Akman,Vagueness,2006
HERTFE-5,Hans G. Herzberger,"True, False, Etc",1980
SCHAPF-8,Fabien Schang,A Plea for Epistemic Truth: Jaina Logic From a Many-Valued Perspective,2009
WAN-7,Xinli Wang and ? ??,?????????????a Defense of the Notion of Semantic Presupposition),2002
VSCCG,Marcelo V\'{A}sconez,4. Contradictorial Gradualism Vs. Discontinuism: Two Views on Fuzziness and the Transition Problem,2006
XINITN,Wang Xinli,Is the Notion of Semantic Presupposition Empty?,1999
WELVAI-2,J. R. Welch,Vagueness and Inductive Molding,2007
HUGAAT,Philip Hugly and Charles Sayward,Are All Tautologies True?,1989
BEAMGA,J. C. Beall,"Minimalism, Gaps, and the Holton Conditional",2000
VARCEC,Achille C. Varzi,Congiunzione e Contraddizione,2007
MOHAAF,Hesam Mohamadi,An Acquittal for Epistemicism,2018
BILMOT,Alexandre Billon,My Own Truth ---Pathologies of Self-Reference and Relative Truth,2011
GREDAT-15,Patrick Greenough,Deflationism and Truth Value Gaps,2010
HERSWT-3,Hans G. Herzberger,Supervaluations Without Truth-Value Gaps,1980
SCHMMO-6,Fabien Schang,Maccoll?s Modes of Modalities,2011
PEAIPY,Lorenzo Pe\~{n}a,"Imperativos, Preceptos y Normas",2006
MARBAT-2,Teresa Marques,Bivalence and the Challenge of Truth-Value Gaps,2004
VASFAT,Marcelo Vasconez,Fuzziness and the Sorites Paradox,2006
SHAMOA-3,James R. Shaw,Magidor on Anomaly and Truth-Value Gaps,2016
WANTGO,Xinli Wang,"Truth-Value Gaps, Ontological Commitments, and Incommensurability (Doctoral Dissertation)",1998
VERDCA,Roop Rekha Verma,"Denial, Contradiction and Truth-Value Gaps",1978
SHAMPB,Fa Shamsi,Must Propositions Be True or False?,1964
CROLIQ,Donald A. Crosby,Liminality in Questions of Truth: The Law of the Included Middle,2023
ODEOCT,Douglas Odegard,On Closing the Truth-Value Gap,1964
LIGTWT,David Liggins,\emph{Truth Without Truths},2024
CULMTC,Boris Culina,Modeling the Concept of Truth Using the Largest Intrinsic Fixed Point of the Strong Kleene Three Valued Semantics (in Croatian Language),2004
BEATCC-6,Jc Beall,"The Contradictory Christ, Oxford: Oxford University Press",2021
SOMTVG,Fred Sommers,Truth Value Gaps: A Reply to Mr. Odegard,1965
BENMAC-7,Ermanno Bencivenga,Meinong: A Critique From the Left,1985
STEATO-17,Yannis Stephanou,A Theory of Truth,2024
OLCPOL-2,P. Olcott,Eliminating Undecidability and Incompleteness in Formal Systems,manuscript
OLCEUA,P. Olcott,Philosophy of Logic ? Reexamining the Formalized Notion of Truth,manuscript
WANITN-2,Xinli Wang????),????????????(is the Notion of Semantic Presupposition Empty?),2002
VERRFA,Roop Verma,Reference Failure and Truth-Value Gaps,1977
WALTGI,James Hewins Waldo,Truth-Value Gaps in Natural Language,1980
