ID,Author,Title,Year
PERPFA-2,Govind Persad and Alan Wertheimer and Ezekiel J. Emanuel,Principles for Allocation of Scarce Medical Interventions,2009
SANME,Michael Anderson and Susan Leigh Anderson,Machine Ethics,2011
BALAAO-2,R. Eugene Bales,Act-Utilitarianism: Account of Right-Making Characteristics or Decision-Making Procedure?,1971
STEAAB-4,H. Orri Stef\'{a}nsson,Ambiguity Aversion Behind the Veil of Ignorance,2021
BAULTO-2,"Seth D. Baum and Stuart Armstrong and Timoteus Ekenstedt and Olle H\""{a}ggstr\""{o}m and Robin Hanson and Karin Kuhlemann and Matthijs M. Maas and James D. Miller and Markus Salmela and Anders Sandberg and Kaj Sotala and Phil Torres and Alexey Turchin and Roman V. Yampolskiy",Long-Term Trajectories of Human Civilization,2019
MCCUWA-2,David McCarthy and Kalle Mikkola and Joaquin Teruji Thomas,Utilitarianism with and Without Expected Utility,2020
BUCHSR,Lara Buchak,How Should Risk and Ambiguity Affect Our Charitable Giving?,2023
SIDMTX,Theodore Sider,Might Theory X Be a Theory of Diminishing Marginal Value?,1991
GIBROA,Allan Gibbard,Reconciling Our Aims: In Search of Bases for Ethics,2008
SMIMTC-4,Holly M. Smith,Measuring the Consequences of Rules: Holly M. Smith,2010
SCHSEA-3,Jerome B. Schneewind,Sidgwick's Ethics and Victorian Moral Philosophy,1977
MOETRD-6,Michael Moehler,The Rawls?Harsanyi Dispute: A Moral Point of View,2018
BOXUE,Steve Petersen,Utilitarian Epistemology,2013
LISAIC,Christian List,Are Interpersonal Comparisons of Utility Indeterminate?,2003
MONRMA,Philippe Mongin,Ranking Multidimensional Alternatives and Uncertain Prospects,2015
TURTRO-31,Piers Norris Turner,The Rise of Liberal Utilitarianism: Bentham and Mill,2019
SMITPV,Holly M. Smith,"The ""Prospective View"" of Obligation",2010
EGGI-3,Ben Eggleston and Dale E. Miller,Introduction,2014
JAQUFT,Fran\c{c}ois Jaquet,Utilitarianism for the Error Theorist,2020
GRATIN-2,Christopher Grau,There is No 'I' in 'Robot': Robots and Utilitarianism (Expanded \& Revised),2011
MCCRAT-4,David McCarthy,Risk-Free Approaches to the Priority View,2013
MEATMO-8,Christopher J. G. Meacham,Too Much of a Good Thing: Decision-Making in Cases with Infinitely Many Utility Contributions,2020
TANMDA,Attila Tanyi,Moral Demands and Ethical Theory: The Case of Consequentialism,2013
KNIWIG,Carl Knight,What is Grandfathering?,2013
HOOUAF,Brad Hooker,Utilitarianism and Fairness,2014
SKEOSD,Anthony Skelton,On Sidgwick's Demise: A Reply to Professor Deigh,2010
TIMEAU,Travis Timmerman,Effective Altruism?s Underspecification Problem,2019
ANTSPI,Anthony Skelton,Sidgwick's Philosophical Intuitions,2008
BAYCU,Michael D. Bayles,Contemporary Utilitarianism,1968
JAQEAU,Fran\c{c}ois Jaquet,Evolution and Utilitarianism,2018
CRERAT-2,Sergio Volodia Marcello Cremaschi,Ricardo and the Utilitarians,2004
HALTPO-9,Everett W. Hall,"The ""Proof"" of Utility in Bentham and Mill",1949
