ID,Author,Title,Year
PARRAP,Derek Parfit,Reasons and Persons,1984
VANMB-15,Peter Van Inwagen,Material Beings,1990
PARPI,Derek Parfit,Personal Identity,1971
EVACTB,Gareth Evans,Can There Be Vague Objects?,1978
NOOI,Harold Noonan and Benjamin L. Curtis,Identity,2022
BROIIV,John Broome,Is Incommensurability Vagueness?,1997
KOROO,Daniel Z. Korman,Ordinary Objects,2011
UNGICA,Peter K. Unger,"Identity, Consciousness, and Value",1990
EVACP,Gareth Evans,Collected Papers,1985
TORIIT,Alessandro Torza,Indeterminacy in the World,2023
PARIIM,Terence Parsons,Indeterminate Identity: Metaphysics and Semantics,2000
LEWMBA-2,David K. Lewis,"Many, but Almost One",1993
WILMAA-3,Robert Williams,Multiple Actualities and Ontically Vague Identity,2008
BOKMIP,Alisa Bokulich,"Metaphysical Indeterminacy, Properties, and Quantum Theory",2014
LEWVIE-3,David K. Lewis,Vague Identity: Evans Misunderstood,1988
LEWMBA,David Lewis,"Many, but Almost One",1993
LOWVIA-2,E. J. Lowe,Vague Identity and Quantum Indeterminacy,1994
DARQMA,George Darby,Quantum Mechanics and Metaphysical Indeterminacy,2010
HOOIC,Chien{-}Hsing Ho,Ontic Indeterminacy: Chinese Madhyamaka in the Contemporary Context,2020
NOOIIC,Harold W. Noonan,"Indeterminate Identity, Contingent Identity and Abelardian Predicates",1991
HAWVAE-2,Katherine Hawley,Vagueness and Existence,2002
BARVPA,Elizabeth Barnes and J. R. G. Williams,Vague Parts and Vague Identity,2009
LEWVIE-4,David Lewis,Vague Identity: Evans Misunderstood,2004
WOOIIF-2,Richard Woodward,Identity in Fiction,2017
PARXIO,Terence Parsons and Peter Woodruff,X*--Worldly Indeterminacy of Identity,1995
HECTTM,Richard Heck,That There Might Be Vague Objects (so Far as Concerns Logic),1998
LOWOAC,E. J. Lowe,Objects and Criteria of Identity,1997
FREQV,Steven French and D\'{e}cio Krause,Quantum Vagueness,2003
EKLPIC,Matti Eklund,"Personal Identity, Concerns, and Indeterminacy",2004
BARIIA,Elizabeth Barnes,"Indeterminacy, Identity and Counterparts: Evans Reconsidered",2009
GUSTUO,Johan E. Gustafsson,The Unimportance of Being Any Future Person,2018
BROIII,John Broome,Indefiniteness in Identity,1984
PAREWI,Terence Parsons,Entities Without Identity,1987
ALSIAC,William P. Alston and Jonathan Bennett,Identity and Cardinality: Geach and Frege,1984
FREVIA,Steven French and D\'{e}cio Krause,Vague Identity and Quantum Non-Individuality,1995
MAGABL,Ofra Magidor,Arguments by Leibniz?s Law in Metaphysics,2011
FRIFAI,David Friedell,Fiction and Indeterminate Identity,2020
ELOTPO-5,E. J. Lowe,Problem of the Many and the Vagueness of Constitution,1995
COHFRA-2,Wouter A. Cohen,Fictional Realism and Metaphysically Indeterminate Identity,2017
NOOOAI,Harold W. Noonan,Objects and Identity: An Examination of the Relative Identity Thesis and its Consequences,1980
THOIAV,Richmond H. Thomason,Identity and Vagueness,1982
BERTCO-74,Daniele Bertini,The Conflict of Rigidity and Precision in Designation,2020
KEIIVA,Geert Keil,Introduction: Vagueness and Ontology,2013
SMIWSC,Nicholas J. J. Smith,Why Sense Cannot Be Made of Vague Identity,2008
NOOEJL,Harold W. Noonan,E. J. Lowe on Vague Identity and Quantum Indeterminacy,1995
LOWVIA,E. J. Lowe,Vague Identity and Quantum Indeterminacy: Further Reflections,1999
GARVAI-7,B. J. Garrett,Vagueness and Identity,1988
GARVIA,Brian Garrett,Vague Identity and Vague Objects,1991
KOSAIO,Kathrin Koslicki,Almost Indiscernible Objects and the Suspect Strategy,2005
DARDII,George Darby and Martin Pickup and Jon Robson,Deep Indeterminacy in Physics and Fiction,2017
ZEIDPS-3,John Zeimbekis,"Digital Pictures, Sampling, and Vagueness: The Ontology of Digital Pictures",2012
HAWIAI-4,K. Hawley,Indeterminism and Indeterminacy,1998
PRISAI,G. Priest,Sorites and Identity,1991
VARIIS,Achille C. Varzi,"Indeterminate Identities, Supervaluationism, and Quantifiers",2020
MURFRA-2,Brendan Murday,Fictional Realism and Indeterminate Identity,2015
JOHIVI,Bruce Johnsen,Is Vague Identity Incoherent?,1989
FREVIA-4,Steven French and Alonso Church,Vague Identity and Quantum Non-Individuality,1995
SCHWCT,Joshua Schechter,Weakly Classical Theories of Identity,2011
COBILL-2,Pablo Cobreros and Paul Egr\'e and David Ripley and Robert Rooij,"Identity, Leibniz's Law and Non-Transitive Reasoning",2013
STAVI-2,Robert Stalnaker,Vague Identity,1988
HIRTVO,Eli Hirsch,The Vagueness of Identity,1999
KEECIA,Rosanna Keefe,Contingent Identity and Vague Identity,1995
LOWRTN-3,E. J. Lowe,Reply to Noonan on Vague Identity,1997
NOOVIY,Harold W. Noonan,Vague Identity yet Again,1990
MOOAMA,Joseph G. Moore,A Modal Argument Against Vague Objects,2008
SORDRA,Roy Sorensen,Direct Reference and Vague Identity,2000
PINCAI-2,N. \'{A}ngel Pinillos,Counting and Indeterminate Identity,2003
PAGVOW-2,Elisa Paganini,"Vague Objects Within Classical Logic and Standard Mereology, and Without Indeterminate Identity",2017
DEADSE,Eric de Araujo,Different Samenesses: Essays on Non-Standard Views of Identity,2021
AKIIIS,Ken Akiba,Identity is Simple,2000
BURVOA,J. A. Burgess,Vague Objects and Indefinite Identity,1990
PAGVOW,Elisa Paganini,Vague Objects Without Ontically Indeterminate Identity,2011
AKIADO,Ken Akiba,A Defense of Indeterminate Distinctness,2014
ABAMVW,Al Abasnezhad and C. S. I. Jenkins,Metaphysical Vagueness Without Vague Objects,2018
HOSVIT,Davood Hosseini and Ali Abasnezhad,Vagueness in the World; a Supervaluationist Approach,2014
COOIOI-2,Monte Cook,Indeterminacy of Identity,1986
COPVIA-2,B. Jack Copeland,Vague Identity and Fuzzy Logic,1997
PARFCA,Terence Parsons,Fictional Characters and Indeterminate Identity,2010
EOVVOA,D. E. Over,Vague Objects and Identity,1989
SATTPO,Thomas Sattig,The Paradox of Fission and the Ontology of Ordinary Objects,2011
BLOCVO,Radim B\v{e}lohrad,"Constitution, Vague Objects, and Persistence",2019
ZEIPAO,John Zeimbekis,Phenomenal and Objective Size,2009
GOLHMT-4,Jonah P. B. Goldwater,How Many There Are Isn?T,2020
Sypniewska2001-ODRQIW-2,Joanna Odrowaz{-}Sypniewska,Quantum Indiscernibility Without Vague Identity,2001
ELDFOA-2,Crawford L. Elder,Familiar Objects and the Sorites of Decomposition,2000
LOWOIO,E. J. Lowe,Ontic Indeterminacy of Identity Unscathed,2001
WOOIOI,Peter W. Woodruff and Terence D. Parsons,Indeterminancy of Identity of Objects and Sets,1997
BURVIE-2,J. A. Burgess,Vague Identity: Evans Misrepresented,1989
MILVPA-5,Kristie Miller,"Vagueness, Persistence and Indeterminate Identity",2006
LOWIVA,E. J. Lowe,"Identity, Vagueness, and Modality",2005
HANCPB,Tobias Hansson Wahlberg,Can Persistence Be a Matter of Convention?,2011
AKIVOA-3,Ken Akiba and Ali Abasnezhad,Vague Objects and Vague Identity: New Essays on Ontic Vagueness,2014
FREQOA,Steven French and D\'{e}cio Krause,Quantum Objects Are Vague Objects,1996
RASVI,Stig Alstrup Rasmussen,Vague Identity,1986
NOOIIA,H. W. Noonan,Indefinite Identity: A Reply to Broome,1984
SYMPLP,Paul Symington,Powerful Logic: Prime Matter as Principle of Individuation and Pure Potency,2020
AKIIOM,Ken Akiba,Indefiniteness of Mathematical Objects,2000
NOODOI-2,Harold W. Noonan,Does Ontic Indeterminacy in Boundaries Entail Ontic Indeterminacy in Identity?,2008
WEBIAD,Marc Andree Weber,Interrelations and Dissimilarities Between Distinct Approaches to Ontic Vagueness,2013
BARANO-19,Wolfgang Barz,A Note on a Remark of Evans,2016
AKMV,Varol Akman,Vagueness,2006
PETSTW,Peter Woodruff and Terence Parsons,Set Theory with Indeterminacy of Identity,1999
WOOIOI-2,Pw Woodruff and Td Parsons,Indeterminacy of Identity of Objects and Sets: Vagueness and Identity,1997
CLEFRL,Ben Cleary,"Fictional Realism, Linguistic Indeterminacy, and Criteria of ?Identity?",2017
HECIII,Richard Heck,Is Indeterminate Identity Incoherent?,manuscript
ABAHTA,Ali Abasnezhad,How (Not) to Argue Against Vague Object,2016
CURCBO-2,Benjamin L. Curtis and Harold W. Noonan,Castles Built on Clouds: Vague Identity and Vague Objects,2014
CAROTA,Helen Morris Cartwright,On Two Arguments for the Indeterminacy of Personal Identity,1993
COPIIC,B. Jack Copeland,"Indeterminate Identity, Contingent Identity, and Property Identity, Aristotelian-Style",2000
CHAORO-2,M. K. Chakraborty and A. Chatterjee,On Representation of Indeterminate Identity Via Vague Concepts,1996
PAGVFO,Elisa Paganini,Vague Fictional Objects,2020
MILEDH,Daniel Alexander Milne,Everett?s Dilemma: How Fictional Realists Can Cope with Ontic Vagueness,2013
SNEIOI,Andrew Sneddon,Indeterminacy of Identity and Advance Directives for Death After Dementia,2020
GIFATM,Christopher S. Gifford,Against the Modal Argument,2013
SIMIC-2,Jonathan A. Simon,Indeterminate Comprehension,2014
HOSIC,Keith Hossack,Intolerant Clones,1994
SMIOBM,Nicholas J. J. Smith,One Bald Man? Two Bald Men? Three Bald Men: Aahh Aahh Aahh Aahh Aaaahhhh!,2014
BELTDA-4,Radim B\u{e}lohrad,The Determinable-Based Account of Metaphysical Indeterminacy and Vague Identity,2020
PARIOI,Terence Parsons,Indeterminacy of Identity of Objects: An Exercise in Metaphysical Aesthetics,2000
Sypniewska2001-ODRVAI,Joanna Odrow\k{a}.z{-}Sypniewska,Vagueness and Identity,2001
TORVAI-3,Loretta Torrago,Vagueness and Identity,1998
HOVTNA,Paul Raymond Hovda,The Nature and Logic of Vagueness,2001
COGVOA-3,Jon Cogburn,Vague Objects and Vague Identity: New Essays on Ontic Vagueness,2017
