ID,Author,Title,Year
FRATRO-25,Harry G. Frankfurt,The Reasons of Love,2004
DOVTKO,Daniela Dover,Two Kinds of Curiosity,2023
HANDWL,Yongming Han,Do We Love for Reasons?,2021
DELRLA-5,Neil Delaney,Romantic Love and Loving Commitment: Articulating a Modern Ideal,1996
BROORL-2,Berit Brogaard,On Romantic Love: Simple Truths About a Complex Emotion,2015
PISILA,Arina Pismenny and Jesse Prinz,Is Love an Emotion?,2024
BROFLA-4,Berit Brogaard,Friendship Love and Romantic Love,2022
DESLAV,Ronald De Sousa,Love: A Very Short Introduction,2015
STRTSO-41,Ryan Stringer,The Syndrome of Love,2021
MCKITR,Natasha McKeever,Is the Requirement of Sexual Exclusivity Consistent with Romantic Love?,2017
Cantero2018-LOPTBC,Pilar Lopez{-}Cantero,The Break-Up Check: Exploring Romantic Love Through Relationship Terminations,2018
MILTSO-68,Michael Milona and Lauren Weindling,The Story of Romantic Love and Polyamory,forthcoming
EARTOC-2,Brian Earp and Daniel Do and Joshua Knobe,The Ordinary Concept of True Love,2024
AZADLA,Ebrahim Azadegan,Divine Love and the Argument From Divine Hiddenness,2014
EARNAS,Brian D. Earp and Julian Savulescu,Neuroreductionism About Sex and Love,2014
LAFPRL-5,Hugh LaFollette,"Personal Relationships: Love, Identity, and Morality",1995
NAARLD-2,Hichem Naar,Real-World Love Drugs: Reply to Nyholm,2015
JENWIL,C. S. I. Jenkins,What is Love? An Incomplete Map of the Metaphysics,2015
BAGTVO-2,Benjamin Bagley,(The Varieties of) Love in Contemporary Anglophone Philosophy,2018
WONERP,Monique Wonderly,"Early Relationships, Pathologies of Attachment, and the Capacity to Love",2018
PROIEA,Sara Protasi,Invideo Et Amo: On Envying the Beloved,2017
MARLI-4,Adrienne M. Martin,"Love, Incorporated",2015
Zeev2008-BENHTO,Aaron Ben{-}Ze?ev,Hating the One You Love,2008
Ordorica2024-GALCTB,Sergio A. Gallegos{-}Ordorica,Can There Be Romantic Love Without Jealousy?,2024
ROSIPV-2,Raja Rosenhagen,"Ideale Polyamor\""{o}se Verpflichtung",2023
Duggan2018-EBELAA,Kyla Ebels{-}Duggan,Love and Agency,2018
MAETMD,Hans Maes,"Truly, Madly, Deeply. On What It is to Love a Work of Art",2017
MAYLAH-2,Simon May,Love: A History,2011
ROSONA-2,Matt Rosen,On Neighborly and Preferential Love in Kierkegaard's Works of Love,2019
PROQDY,Sara Protasi,"""Mama, Do You Love Me?"": A Defense of Unloving Parents",2018
MOORAL-2,Dwayne Moore,Reconciling Appraisal Love and Bestowal Love,2018
BlakeForthcoming-HOGLSA,Claudia Hogg{-}Blake,Loving Somebody: Accounting for Human-Animal Love,forthcoming
FOSRLA-4,Gary Foster,Romantic Love and Knowledge,2008
DERAUL,Edyvane Derek,Against Unconditional Love,2003
METUCA,Thaddeus Metz,"Ubuntu, Christianity and Two Kinds of Reconciliation",2018
FOSBWA-2,Gary Foster,Bestowal Without Appraisal: Problems in Frankfurt?s Characterization of Love and Personal Identity,2009
SOBTCO-2,Alan Soble,The Coherence of Love,2000
WOLULP,Susan Wolf and Christopher Grau,"Understanding Love: Philosophy, Film, and Fiction",2014
AROAIF,Arthur Aron and Elaine N. Aron,An Inspiration for Expanding the Self-Expansion Model of Love,2016
MCPCIN,David McPherson,Consent is Not Enough: A Case Against Liberal Sexual Ethics,2020
MCKL-6,Natasha McKeever,Love: What's Sex Got to Do with It?,2016
MERTPW-4,No\&Eumll Merino,The Problem with ?We?: Rethinking Joint Identity in Romantic Love,2004
HALTIO-4,Steven D. Hales,The Impossibility of Unconditional Love,1995
STECAS,William O. Stephens,Can a Stoic Love?,2011
Cantero2022-LOPNAT-3,Pilar Lopez{-}Cantero,Nature and the Unlovable,2022
FELAOS,Ferdinand Fellmann and Esther Redolfi Widmann,Aspects of Sex Differences: Social Intelligence Vs. Creative Intelligence,2017
BRALAP-3,Nathaniel Braden,Love and Psychological Visibility,1993
WILPJA,Bernard Williams,Pagan Justice and Christian Love,1993
OLITLO-5,Kelly Oliver,The Look of Love,2001
CLAIDW,Justin L. Clardy,'I Dont Want to Be a Playa No More': An Exploration of the Denigrating Effects of 'Player' as a Stereotype Against African American Polyamorous Men,2018
GROLAT-3,Patricia L. Grosse,Love and the Patriarch: Augustine and (Pregnant) Women,2017
PINGEA,Andrew Pinsent,"God, Elvish, and Secondary Creation",2019
ROSIML,T. Raja Rosenhagen,Iris Murdoch: Love as Just Attention,2023
MILMHS,Lantz Fleming Miller,"Michael Hauskeller: Sex and the Posthuman Condition: Palgrave-Macmillan, 2014, 98 Pp",2016
GROLAT,Patricia L. Grosse,Love and the Patriarch: Augustine and Women,2016
RIGBAL,Nick Riggle,Beauty and Love,1998
KERLII,Stephen Kershnar,Love is Independent of Moral Responsibility,2020
PALTWO-5,Stephen R. Palmquist,"The Waters of Love: A Course of Introductory Lectures on Love, Sexuality, Marriage, and Friendship",2003
PALTTO,Stephen Palmquist,The Tree of Philosophy,2000
CAVMPM-2,Eric M. Cave,Marital Pluralism: Making Marriage Safer for Love,2003
Ferran2021-VENJAT,\'{I}ngrid Vendrell{-}Ferran,Jealousy and the Sense of Self: Unamuno and the Contemporary Philosophy of Emotion,2021
PETAIV,Ted Peters,Artificial Intelligence Versus Agape Love,2019
RUDL,Kathy Rudy,Lgbtq?Z?,2012
GARDL-6,Manon Garcia,De l'Oppression \`A L'Ind\'{e}pendance. La Philosophie de L?Amour Dans \emph{le Deuxi\`{e}me Sexe},2020
BROCAY,Berit Brogaard,Crazy About You,2015
JOHMAT-16,Rebekah Johnston,Marriage and the Metaphysics of Bodily Union,2013
LEWBLH,Thomas A. Lewis,Beyond Love: Hegel on the Limits of Love in Modern Society,2013
AMITRO-6,Lydia B. Amir,The Role of Impersonal Love in Everyday Life,2002
ARRSMH-2,Christopher Arroyo,"Same-Sex Marriage, ?Homosexual Desire,? and the Capacity to Love",2011
ABBFTL-2,Asma Abbas,From the Love Studio,2017
MERWRL,David Mertz,Whither Romantic Love,2011
ANDACH,Chris Andre,"Aphrodite's Children: Hopeless Love, Historiography, and Benjamin's Dialectical Image",1998
TRALAM,N. N. Trakakis,"Love and Marriage, Yesterday and Today",2017
MACIDA,Kevin MacDonald,Individual Differences and the Adaptiveness of Patriarchal Ideology,1999
Rossler2006-RTTQMA,"Birgitt R\""{o}ttger{-}R\""{o}ssler and Eva{-}Maria Engelen","""Tell Me About Love"". Kultur Und Natur der Liebe",2006
DEPCOL,Craig J. N. De Paulo,Confessions of Love: The Ambiguities of Greek Eros and Latin Caritas,2011
MURVAT-6,Peter Durno Murray,Vii: Affirmation: The Love of Fate,1999
BROLAS-2,Don Browning,"Love as Sacrifice, Love as Mutuality: Response to Jeffrey Tillman",2008
JESCOA,Diane Jeske,"Comments on Andrew I. Cohen's ""Examining the Bonds and Bounds of Friendship""",2011
STEFAL-4,Lawrence Stern,Freedom and Love in Notes From Underground,1978
BIEMSA,Trevor J. Bieber,Max Scheler and the Nature of Self-Love,2012
ANDCWL,Pamela Sue Anderson,Can We Love as God Loves?,2006
FOSDLA,Gary Foster,"Desire, Love, and Identity: Philosophy of Sex and Love",2016
RUSDOT-2,Rinaldina Russell and Bruce Merry,Dialogue on the Infinity of Love,1997
ZIZAOO-2,John Zizioulas,An Ontology of Love: A Patristic Reading of Dietrich von Hildebrand?s the Nature of Love,2013
GILHRA,Paul Gilbert,Human Relationships: A Philosophical Introduction,1991
ANDLIT-2,Graham Anderson,Love in the Greek Novel,1992
WILOSD,Jula Wildberger,Ovids Schule der ?Elegischen? Liebe: Erotodidaxe Und Psychagogie in der Ars Amatoria,1998
PYRWOK-2,"Heta Pyrh\""{o}nen",Ways of Keeping Love Alive,2008
BURTCP,George Burch,The Christian Philosophy of Love,1950
NALACF,Edith Gwendolyn Nally,A Case for Platonic Love,2023
LOUSIL-2,Tanya Loughead,Shall I Love You as My Brother?,2008
JECWLA,Alexander Jech,Wholehearted Love: An Augustinian Reconstruction of Frankfurt,2009
