ID,Author,Title,Year
BAKSAO-2,Derek Clayton Baker,Skepticism About Ought Simpliciter,2018
ZIMTNO-2,Michael J. Zimmerman,The Nature of Intrinsic Value,2001
AUDTGI-4,Robert Audi,The Good in the Right: A Theory of Intuition and Intrinsic Value,2009
ONETVO,John O?Neill,The Varieties of Intrinsic Value,1992
CHIBAI-2,Roderick M. Chisholm,Brentano and Intrinsic Value,1986
LEMIVC-5,Noah Marcelino Lemos,Intrinsic Value: Concept and Warrant,1994
LANFMI,Iddo Landau,Finding Meaning in an Imperfect World,2017
ZIMIVE,Michael J. Zimmerman,Intrinsic Vs. Extrinsic Value,2019
QUEROL,Matthieu Queloz,Reasons of Love and Conceptual Good-for-Nothings,forthcoming
KAGRIV,Shelly Kagan,Rethinking Intrinsic Value,1998
KAGRIV-2,Shelly Kagan,Rethinking Intrinsic Value,2005
NORRVA-2,Bryan Norton and Daniel Sanbeg,Relational Values: A Unifying Idea in Environmental Ethics and Evaluation?,2021
MCSWEE,Katie McShane,Why Environmental Ethics Shouldn?T Give Up on Intrinsic Value,2007
Zemp2021-DEPTAO-2,Anna Https://Orcidorg Deplazes{-}Zemp and Mollie Https://Orcidorg Chapman,The Abcs of Relational Values: Environmental Values That Include Aspects of Both Intrinsic and Instrumental Valuing,2021
RABADI-3,Wlodek Rabinowicz and Toni R\o{}nnow{-}Rasmussen,A Distinction in Value: Intrinsic and for its Own Sake,2005
NEUAFL,Stijn Neuteleers,A Fresh Look at 'Relational' Values in Nature: Distinctions Derived From the Debate on Meaningfulness in Life,2020
HURTKO,Thomas Hurka,Two Kinds of Organic Unity,1998
RABVRR,Wlodek Rabinowicz,Value Relations Revisited,2012
TUCTPT-4,Miles Tucker,"The Pen, the Dress, and the Coat: A Confusion in Goodness",2016
RABIDI,Wlodek Rabinowicz and Toni R\o{}nnow{-}Rasmussen,Ii-a Distinction in Value: Intrinsic and for its Own Sake,1999
MADEVA,B. J. C. Madison,Epistemic Value and the New Evil Demon,2017
BETTRV,Monika Betzler,The Relational Value of Empathy,2019
TENHFA,Levi Tenen,How Final and Non-Final Valuing Differ,2022
PERVAT-5,Timothy Perrine,"Value Approaches to Virtue and Vice: Intrinsic, Instrumental, or Hybrid?",2023
RUBIGG,Daniel Rubio,"Intrinsically Good, God Created Them",forthcoming
MATIVU,Erich Hatala Matthes,"Impersonal Value, Universal Value, and the Scope of Cultural Heritage",2015
WESBIV,Anthony Weston,Beyond Intrinsic Value: Pragmatism in Environmental Ethics,1985
BRATCO-45,Ben Bradley,Two Concepts of Intrinsic Value,2006
LOMTIV,Tania Lombrozo,The Instrumental Value of Explanations,2011
SJLVAW,"Ylwa Sj\""{o}lin Wirling",Veritism and Ways of Deriving Epistemic Value,2022
PERBFV,Timothy Perrine,Basic Final Value and Zimmerman?s the Nature of Intrinsic Value,2018
GOLTIV,Zeev Goldschmidt and Ittay Nissan{-}Rozen,The Intrinsic Value of Risky Prospects,2020
JAMARV-2,Simon P. James,Against Relational Value,2022
ORSVT,Francesco Orsi,Value Theory,2015
RABADI-2,Wlodek Rabinowicz and Toni R.?Nnow{-}Rasmussen,A Distinction in Value: Intrinsic and for its Own Sake,2000
Zemp2024-DEPBIA-2,Anna Https://Orcidorg Deplazes{-}Zemp,Beyond Intrinsic and Instrumental: Third-Category Value in Environmental Ethics and Environmental Policy,2024
ROBIVA-3,Robert Audi,Intrinsic Value and Meaningful Life,2005
WRETIN-5,Chase B. Wrenn,Truth is Not (Very) Intrinsically Valuable,2017
DORIVA,Dale Dorsey,Intrinsic Value and the Supervenience Principle,2012
BOUTRF,Cameron Boult,The Relational Foundations of Epistemic Normativity (1st edition),forthcoming
GRAIAU,Christopher Grau,Irreplaceability and Unique Value,2004
BRAIIV,Ben Bradley,Is Intrinsic Value Conditional?,2002
BEAIV,Monroe C. Beardsley,Intrinsic Value,1965
HANECV-2,Toby Handfield,Essentially Comparative Value Does Not Threaten Transitivity,2016
FELOTI-3,Fred Feldman,On the Intrinsic Value of Pleasures,1997
EGUAPF,Johan E. Gustafsson,A Paradox for the Intrinsic Value of Freedom of Choice,2019
CALIVQ,J. Baird Callicott,"Intrinsic Value, Quantum Theory, and Environmental Ethics",1985
MITANA-4,Veli Mitova,A New Argument for the Non-Instrumental Value of Truth,2021
Rasmussen2005-RNNRWO,Toni R\o{}nnow{-}Rasmussen and Michael J. Zimmerman,Recent Work on Intrinsic Value,2005
CAMAAO-2,Stephen M. Campbell,An Analysis of Prudential Value,2013
Luczaj2019-HOLHAT-11,Magdalena Holy{-}Luczaj and Vincent Blok,Hybrids and the Boundaries of Moral Considerability or Revisiting the Idea of Non-Instrumental Value,2019
HARTAT-3,Gilbert H. Harman,Toward a Theory of Intrinsic Value,1967
TENNIV-2,Levi Tenen,No Intrinsic Value? No Problem,2020
BAATGO-4,Patrik Baard,"The Goodness of Means: Instrumental and Relational Values, Causation, and Environmental Policies",2019
OLSIAC,Jonas Olson,Intrinsicalism and Conditionalism About Final Value,2004
Lora2023-LUQTTW,Rogelio Luque{-}Lora,The Trouble with Relational Values,2023
Rasmussen2015-RNNIAE,Toni R\o{}nnow{-}Rasmussen,Intrinsic and Extrinsic Value,2015
HANAVI-4,Louise Hanson,Artistic Value is Attributive Goodness,2017
MURRV,Barbara Muraca,Relational Values,2016
TENAAO,Levi Tenen,An Account of Extrinsic Final Value,2020
Rowland2016-ROWRAT-3,Rach Cosker{-}Rowland,Reasons as the Unity Among the Varieties of Goodness,2016
OLIRTA-2,Luis R. G. Oliveira,Rossian Totalism About Intrinsic Value,2016
TUCFAA,Miles Tucker,From an Axiological Standpoint,2018
Rasmussen2007-RNNAPV-2,Toni R\o{}nnow{-}Rasmussen,Analysing Personal Value,2007
KATFPA,Paul Katsafanas,Fugitive Pleasure and the Meaningful Life: Nietzsche on Nihilism and Higher Values,2015
MCDAMV,Kris McDaniel,A Moorean View of the Value of Lives,2014
Rasmussen2002-RNNIV-2,Toni R\o{}nnow{-}Rasmussen,Instrumental Values \^A?? Strong and Weak,2002
LINPGA-2,"Hans{-}J\""{u}rgen Link",Playing God and the Intrinsic Value of Life: Moral Problems for Synthetic Biology?,2013
MINIVF,Ben A. Minteer,Intrinsic Value for Pragmatists?,2001
BAARVI,Patrik Baard,?Relational Values? is Neither a Necessary nor Justified Ethical Concept (1st edition),2024
MATLIS,Erich Hatala Matthes,Love in Spite Of,2016
REIATB,Andrew E. Reisner,Abandoning the Buck Passing Analysis of Final Value,2009
CHIDIV-2,R. M. Chisholm,Defining Intrinsic Value,2005
RUTACI,Ruth Chang,Against Constitutive Incommensurability or Buying and Selling Friends,2001
CALROI,J. Baird Callicott,Rolston on Intrinsic Value: A Deconstruction,1992
FULTCF,K. W. M. Fulford and Lubomira Radoilska,Three Challenges From Delusion for Theories of Autonomy,2012
SANTVO-2,Ronald Sandler,The Value of Artefactual Organisms,2012
MORDME,Rebecca Lea Morris,Do Mathematical Explanations Have Instrumental Value?,2019
DICTGA-2,David G. Dick,Transformable Goods and the Limits of What Money Can Buy,2017
FELHAI,Fred Feldman,Hyperventilating About Intrinsic Value,1998
PORKTO,Douglas W. Portmore,Kantian Telicism: Our Legitimate Ends and Their Moral Significance,manuscript
ONEIVM-2,Rick O?Neil,"Intrinsic Value, Moral Standing, and Species",1997
GRUREE,Lori Gruen,Refocusing Environmental Ethics: From Intrinsic Value to Endorsable Valuations,2002
GRETDI,Karen Green,Two Distinctions in Environmental Goodness,1996
ZIMVIV-4,Michael J. Zimmerman,Virtual Intrinsic Value and the Principle of Organic Unities,1999
FINWDV,Stephen F. Finlay,What Does Value Matter? The Interest-Relational Theory of the Semantics and Metaphysics of Value,2001
PERWIW-2,Erik Persson,What is Wrong with Extinction?,2008
DORCIV,Dale Dorsey,Can Instrumental Value Be Intrinsic?,2012
LEMOU,Noah Lemos,Organic Unities,1998
KATSFI-2,Eric Katz,Searching for Intrinsic Value,1987
FLEMMA,Guy Fletcher,"Mill, Moore, and Intrinsic Value",2008
KIMAAT-5,Brian Kim,Achievement and the Value of Knowledge,2019
FERWTI,Avigail Ferdman,Why the Intrinsic Value of Public Goods Matters,2018
LEETSA,Keekok Lee,The Source and Locus of Intrinsic Value,1996
CRUOTN,Rowan Cruft,On the Non-Instrumental Value of Basic Rights,2010
WALAMN-2,A. Walsh,Are Market Norms and Intrinsic Valuation Mutually Exclusive?,2001
FRAAEO-2,Warren P. Fraleigh,"An Examination of Relationships of Inherent, Intrinsic, Instrumental, and Contributive Values of the Good Sports Contest",1983
ROLVGW,I. I. I. Rolston,Values Gone Wild,1983
CAROUN,Erik Carlson,"Organic Unities, Non-Trade-Off, and the Additivity of Intrinsic Value",2001
HATSV,Anthony Hatzimoysis,Sentimental Value,2003
SMITIO-43,Tara Smith,The Importance of the Subject in Objective Morality: Distinguishing Objective From Intrinsic Value: Tara Smith,2008
MATAVB,Matthew Kieran,"Aesthetic Value: Beauty, Ugliness and Incoherence",1997
ROLVIN-6,Holmes Rolston,Value in Nature and the Nature of Value,1994
WEBIVA,Zach Weber,Intrinsic Value and the Last Last Man,2016
Rasmussen2005-TONITR,Toni R\o{}nnow{-}Rasmussen and Michael J. Zimmerman,Introduction to Recent Work on Intrinsic Value,2005
MUSIVA,Albert W. Musschenga,Intrinsic Value as a Reason for the Preservation of Minority Cultures,1998
MATFAE-2,David Matheson,Fundamentality and Extradimensional Final Value,2015
BANFIV,Bryan E. Bannon,From Intrinsic Value to Compassion: A Place-Based Ethic,2013
RICTSO-47,Andrea Ricci,The Specter of Value: The Beginning of Marx?s Capital and Hegel?s Logic of Being,2024
BLEAVR,Kristina Blennow and Erik Persson and Johannes Persson,"Are Values Related to Culture, Identity, Community Cohesion and Sense of Place the Values Most Vulnerable to Climate Change?",2019
DELAMI,Nicolas Delon,Against Moral Intrinsicalism,2014
MCFTIV,Graham McFee,The Intrinsic Value of Sport: A Reply to Culbertson,2009
WEIIIG,Daniel Weinstock,Integrating Intermediate Goods to Theories of Distributive Justice: The Importance of Platforms,2015
CHIOAI,Roderick Chisholm,Objectives and Intrinsic Value,2005
LEMNFE,St\'{e}phane Lemaire,Norms for Emotions: Intrinsic or Extrinsic,2014
CARCTA-2,Robert F. Card,Consequentialist Teleology and the Valuation of States of Affairs,2004
KULBAT,Kalevi Kull,Biosemiotics and the Problem of Intrinsic Value of Nature,2001
Studer2023-PAUAKR,Herlinde Pauer{-}Studer,A Kantian Reading of 'Good' and 'Good For'. Some Reflections on Toni R\o{}nnow-Rasmussen's Fitting Attitude Analysis of Value,2023
MORCFE,William J. Morgan,"Caring, Final Ends and Sports",2007
SANVP,Martin E. Sandbu,Valuing Processes,2007
CHAQP,Ruth Chang,Value Pluralism,2001
DELMSF-2,Nicolas Delon,"Moral Status, Final Value, and Extrinsic Properties",2014
SPRITE,T. L. S. Sprigge,"Is the Esse of Intrinsic Value Percipi?: Pleasure, Pain and Value",2000
MOEAAF-2,Ole Martin Moen,An Argument for Intrinsic Value Monism,2016
HIMWNM,A. Himes and B. Muraca and C. B. Anderson and S. Athayde and T. Beery and M. Cant\'u{-}Fern\'{a}ndez and D. Gonz\'{a}lez{-}Jim\'{e}nez and R. K. Gould and A. P. Hejnowicz and J. Kenter and D. Lenzi and R. Murali and U. Pascual and C. Raymond and A. Ring and K. Russo and A. Samakov and S. St\a{a}lhammar and H. Thor\'{e}n and E. Zent,"Why Nature Matters: A Systematic Review of Intrinsic, Instrumental, and Relational Values",2024
WARNVC-2,Joe Ward,"Nietzsche's Value Conflict: Culture, Individual, Synthesis",2011
HARBIA,James Harold,Between Intrinsic and Extrinsic Value,2005
VENAAA-4,\'{I}ngrid Vendrell Ferran,"Art, Affectivity, and Aesthetic Value: Geiger on the Role of Emotions in Aesthetic Appreciation",2023
HAJIVA-3,Ishtiyaque Haji,"Intrinsic Value, Alternative Possibilities, and Reason",2010
CHITIV-2,R. M. Chisholm,The Intrinsic Value in Disjunctive States of Affairs,2005
KUPTEO,Joel J. Kupperman,The Epistemology of Non-Instrumental Value,2005
WILAAA-20,Marc G. Wilcox,An Argument Against Treating Non-Human Animal Bodies as Commodities,2022
CONIVW,Earl Conee,Instrumental Value Without Intrinsic Value?,1982
LEEAAH-3,Keekok Lee,Awe and Humility: Intrinsic Value in Nature. Beyond an Earthbound Environmental Ethics,1994
ALTTVO-3,Roman Altshuler,The Value of Nonhuman Nature: A Constitutive View,2014
SANIAA-2,Ronald Sandler,Is Artefactualness a Value-Relevant Property of Living Things?,2012
SKECPV,Anthony Skelton,Children's Prudential Value,2022
WEDDEI,Ralph Wedgwood,Diotima's Eudaemonism: Intrinsic Value and Rational Motivation in Plato's Symposium,2009
CDUFAA,Antoine C. Dussault,Fitting-Attitude Analyses and the Relation Between Final and Intrinsic Value,2014
CHIIVI,R. M. Chisholm,Intrinsic Value,2005
WALMDA-2,Sean Drysdale Walsh,"Maximality, Duplication, and Intrinsic Value",2011
HILAAT-2,Scott Hill,An Adamsian Theory of Intrinsic Value,2011
EZIQTI,Michael E. Zimmerman,"Quantum Theory, Intrinsic Value, and Panentheism",1988
EDWTAA-3,Rem B. Edwards,Toward an Axiological Virtue Ethics,2013
DEVNLA,Jacques de Ville,Nietzsche?s Legacy and Constitutional Values: A Deconstructive Reading,forthcoming
COMCAI-2,Gary Comstock,Nonhuman Self-Investment Value,manuscript
MCSCNV,Katie Mcshane,"Convergence, Noninstrumental Value and the Semantics of 'Love': Reply to Norton",2008
EDWIAE,Rem B. Edwards,Intrinsic and Extrinsic Value and Valuation,1979
TERAAS-2,Rosa Terlazzo,Autonomy and Settling: Rehabilitating the Relationship Between Autonomy and Paternalism,2015
PARIVA,Josh Parsons,Intrinsic Value and Intrinsic Properties,
ELLIVI,Robert Elliot,Instrumental Value in Nature as a Basis for the Intrinsic Value of Nature as a Whole,2005
MOOIVC,G. E. Moore,Intrinsic Value,2006
MILWSO,Lantz Miller,Why Should One Reproduce? The Rationality and Morality of Human Reproduction,2014
LEMTBO,Noah M. Lemos,The Bearers of Intrinsic Value,2005
KIRIOJ,Peter P. Kirschenmann,?Intrinsically? or Just ?Instrumentally? Valuable? On Structural Types of Values of Scientific Knowledge,2001
ZIMQTI,Michael E. Zimmerman,"Quantum Theory, Intrinsic Value, and Panentheism",1988
KENIVA,Ken O'Day,Intrinsic Value and Investment,1999
DALHAI,D. A. Lloyd Thomas,Hume and Intrinsic Value,1990
NANTTS-2,Jean{-}Luc Nancy and Thomas C. Platt,The Two Secrets of the Fetish,2001
HALHAV,Daniel Halliday,Holism About Value: Some Help for Invariabilists,2013
SHACTW,Gao Shan,Can the West Save the East? Intrinsic Value and the Foundation of Chinese Environmental Ethics,2012
SHAFIV,Gao Shan,From Intrinsic Value to the Emotion of Wonder,2018
