ID,Author,Title,Year
ALFCAM-2,Mark Alfano,Character as Moral Fiction,2013
HURVVA-2,Thomas Hurka,"Virtue, Vice and Value",2001
ANGSTC,Stephen C. Angle,Sagehood: The Contemporary Significance of Neo-Confucian Philosophy,2009
ALFTEA,Mark Alfano and Joshua August Skorburg,The Embedded and Extended Character Hypotheses,2016
KIRPAE-4,Nin Kirkham and Chris Letheby,Psychedelics and Environmental Virtues,2022
BOMIV,Nicolas Bommarito,Inner Virtue,2017
COPMAV,David Copp and David Sobel,Morality and Virtue: An Assessment of Some Recent Work in Virtue Ethics,2004
BRIRVD,David S. Bright and Bradley A. Winn and Jason Kanov,Reconsidering Virtue: Differences of Perspective in Virtue Ethics and the Positive Social Sciences,2014
PERVAT-5,Timothy Perrine,"Value Approaches to Virtue and Vice: Intrinsic, Instrumental, or Hybrid?",2023
SWAPFO,Jason Swartwood and Valerie Tiberius,Philosophical Foundations of Wisdom,2019
JUSVOV,Justin Oakley,Varieties of Virtue Ethics,1993
BATAPT,Heather Battaly,A Pluralist Theory of Virtue,2015
BECANS,Lawrence C. Becker,A New Stoicism,1998
CHAKWT,Timothy Chappell,"Knowing What to Do: Imagination, Virtue, and Platonism in Ethics",2013
LEIPIA,Uri D. Leibowitz,Particularism in Aristotle?s Nicomachean Ethics,2013
KAWVTA,Jason Kawall,Virtue Theory and Ideal Observers,2002
ALFDHF,Mark Alfano,Digital Humanities for History of Philosophy: A Case Study on Nietzsche,forthcoming
ARPDDA,Nomy Arpaly,"Duty, Desire and the Good Person: Towards a Non-Aristotelian Account of Virtue",2014
SHADE,Lisa Shapiro,Descartes?s Ethics,2007
BEGTIO,Donald Beggs,The Idea of Group Moral Virtue,2003
CALACT-2,Todd Calder,Against Consequentialist Theories of Virtue and Vice,2007
FINTNO-7,Bronwyn Finnigan,The Nature of a Buddhist Path,2017
COKCBA,Bradford Cokelet,"Confucianism, Buddhism, and Virtue Ethics",2016
BERAFP,Sandrine Berges,A Feminist Perspective on Virtue Ethics,2015
RUSTOD,Daniel C. Russell,That ?Ought? Does Not Imply ?Right?: Why It Matters for Virtue Ethics,2008
BRUTVE-2,Philippe Brunozzi and Waldemar Brys,Target-Centred Virtue Ethics: Aristotelian or Confucian?,forthcoming
PERHVE-2,Roy Perrett and Glen Pettigrove,Hindu Virtue Ethics,2015
KHUDKD,Thomas Khurana,Die Kunst der Zweiten Natur. Zu Einem Modernen Kulturbegriff Nach Kant Und Hegel,2016
STAADF,Rebecca Stangl,A Dilemma for Particularist Virtue Ethics,2008
CAGBAV,Randy Cagle,Becoming a Virtuous Agent: Kant and the Cultivation of Feelings and Emotions,2005
ZHAOTP-4,Dawei Zhang,"On the Paradox of Wuwei - a Refutation and Defense of Daoist ""Right Action""",2021
FINTCO-21,Charles K. Fink,The Cultivation of Virtue in Buddhist Ethics,2013
hoon2005-SORICP,T.a.n. Sor{-}hoon,Imagining Confucius: Paradigmatic Characters and Virtue Ethics,2005
SANTSO-3,Gerasimos Santas,The Structure of Aristotle's Ethical Theory: Is It Teleological or a Virtue Ethics?,1996
CROLCT-3,Michel Croce,L?Esemplarismo Come Teoria Morale: Uno Sguardo Critico,2016
METWPI-2,Thaddeus Metz,Why Personhood is Not so Social: Reflections on Oyowe?s Menkiti,forthcoming
AXTRWI-2,Guy Axtell and Philip Olson,Recent Work in Applied Virtue Ethics,2012
BANIMA,Konrad Banicki,Iris Murdoch and the Varieties of Virtue Ethics,2016
ANGDVE,Stephen C. Angle,Defining ?Virtue Ethics? and Exploring Virtues in a Comparative Context,2009
FRYAVA-18,Erin Frykholm,Associative Virtues and Hume's Narrow Circle,2016
BACWIS-2,Bach Ho,Well-Being is Survival,manuscript
MILITN-6,Angela Knobel and Christian B. Miller,Introduction to ?New Developments in the Theology of Character?,2017
KERRFA,Stephen Kershnar,Rape Fantasies and Virtue,2008
BASCI,Bana Bashour,Can I Be a Good Animal?,2013
BROTLA-2,Mark W. Brown,The Life-World as Moral World: Vindicating the Life-World En Route to a Phenomenology of the Virtues,2010
BLAMRW,Reid D. Blackman,Meta-Ethical Realism with Good of a Kind,2012
BERRTV,Sandrine Berges,Rethinking Twelfth Century Ethics: The Contribution of Heloise,2013
MCPTWE,David McPherson,To What Extent Must We Go Beyond Neo-Aristotelian Ethical Naturalism?,2012
KERGTV,Stephen Kershnar,Gratitude Toward Veterans: Why Americans Should Not Be Very Grateful to Veterans,2014
DIEDSU,Frank Dietrich,"Die,Sozialdemokratische? Und Die,Liberale? Variante der Neoaristotelischen Sozialphilosophie",1999
YOUOTE-4,Raymond Aaron Younis,On the Ethical Life,2009
YOUOTE-5,Raymond Aaron Younis,On the End of the 'End of Ethics',2009
Strzaecka2018-LEWEKW,Anna Lewicka{-}Strza\l{}ecka,Etyka Konsumenta W Perspektywie Aretologicznej,2018
GREHAV,Lorenzo Greco,Hume e l'Etica Della Virt\`u,2012
YOUOTQ,Raymond Aaron Younis,On the Question of the Ethical Life,2009
FRECAT-11,"Bj\""{o}rn Freter",Conclusion: Asking the Right Questions,2017
DENTVE,Matthew Dennis and Andre Okawara,The Virtue Ethics of Hume and Nietzsche by Christine Swanton,2016
FUDRAS,Robert S. Fudge,Review: Adam Smith and the Character of Virtue,2010
GREAVL,Lorenzo Greco,"Alessio Vaccari, le Etiche Della Virt\`u. La Riflessione Contemporanea a Partire da Hume (Firenze: Le Lettere, 2012)",2014
