ID,Author,Title,Year
GOPOSV,Aditi Gopinathan and Leonard Tan,?Om?: Singing Vedic Philosophy for Music Education,2023
DELIMD-11,Krishna Del Toso,"Il Movimento Del Concetto: Azione Marziale, Competizione e Sacrificio Nell'india Antica",2020
TOSBRS,Krishna Del Toso,"{[}Book Review] Sylvain L\'{e}vi, la Dottrina Del Sacrificio Nei Br\={a}hma\d{n}a. Con Tre Saggi di Roberto Calasso, Charles Malamoud e Louis Renou, Traduzione di Silvia D?Intino. Adelphi, Milano 2009, 224 Pp.",2009
RINTPA-2,Robert E. Rinehart,The Performative Avant-Garde and Action Sports : Vedic Philosophy in a Postmodern World,2007
GHAUTP,Borzou Ghaderi,Unraveling the Philosophy of Life: Insights From Eastern Wisdom,manuscript
SAJCMP,Pawe\l Sajdek,Czy Mo\.{z}na Pragn\k{a}'c Poznania Brahmana?,2018
PRADOO,Satya Prakash,Dayananda's Outline of Vedic Philosophy,1975
DERTRO,George Derfer and Zhihe Wang and Michel Weber,The Roar of Awakening: A Whiteheadian Dialogue Between Western Psychotherapies and Eastern Worldviews,2009
VISVPA,Tirunilayi Ramakrishna Viswanathan,Vedic Philosophy and Religion,2001
DEWVPF,M. L. Dewan and B. D. Joshi,Vedic Philosophy for Himalayan Eco-System Development,1993
DAF,Ram Lakhan Pandey Vimal,Dual Aspect Framework for Consciousness and its Implications: West Meets East for Sublimation Process,2009
SHAURO,Shruti Sharma,Universal Religion of Swami Vivekananda and its Impact on Education,2021
THOPAG-3,F. W. Thomas,Pischel and Geldner's Vedisohe Studied,1902
