ID,Author,Title,Year
CHAVD,David J. Chalmers,Verbal Disputes,2011
MICI-23,Kristin M. Mickelson,(In)Compatibilism,2023
EKLCAO,Matti Eklund,Carnap and Ontological Pluralism,2009
JENMVD,C. S. I. Jenkins,Merely Verbal Disputes,2014
FRAD-6,Bryan Frances,Disagreement,2014
KNOVDA,Viktoria Knoll,Verbal Disputes and Topic Continuity,forthcoming
KOCVDA,Alexander W. Kocurek,Verbal Disagreement and Semantic Plans,2023
KOSASE,Kathrin Koslicki and Olivier Massin,A Socratic Essentialist Defense of Non-Verbal Definitional Disputes,2023
BUTDMA,Tim Button,Deflationary Metaphysics and Ordinary Language,2020
ZAVCAV,Mart\'{i}n Abreu Zavaleta,Communication and Variance,2019
MARWMN,Teresa Marques,What Metalinguistic Negotiations Can't Do,2017
VERVDA-2,Vermeulen Inga,Verbal Disputes and the Varieties of Verbalness,2018
WARCOL-2,Jared Warren,"Change of Logic, Change of Meaning",2018
Doane2022-CLAMPA-14,Justin Clarke{-}Doane and William McCarthy,Modal Pluralism and Higher-Order Logic,2022
EKLCLF,Matti Eklund,Carnap's Legacy for the Contemporary Metaontological Debate,2016
ABRDL,Mart\'{i}n Abreu Zavaleta,Disagreement Lost,2020
BELTAU,Delia Belleri and Michele Palmira,Towards a Unified Notion of Disagreement,2013
PATCEF-5,Patrick Greenough and Jean Gov\'e and Ian Church,Conceptual Engineering for Analytic Theology,forthcoming
BALVDA,Nathan Ballantyne,Verbal Disagreements and Philosophical Scepticism,2016
GREVDI,Daniel Greco,Verbal Debates in Epistemology,2015
SIDTMO-3,Alan Sidelle,The Method of Verbal Dispute,2007
KNOTDA,Viktoria Knoll,"Topics, Disputes and 'Going Meta'",forthcoming
HUTEA-3,Xingming Hu,The Epistemic Account of Faultless Disagreement,2020
GODTIO-7,David M. Godden,"The Importance of Belief in Argumentation: Belief, Commitment and the Effective Resolution of a Difference of Opinion",2010
HIMERT,Johannes Himmelreich,"Existence, Really? Tacit Disagreements About ?Existence? in Disputes About Group Minds and Corporate Agents",2019
RATDAT,Gurpreet Rattan,Disagreement and the First-Person Perspective,2014
ASPCSI,Axel Arturo Barcel\'o Aspeitia,Conciliatory Strategies in Philosophy,2021
MELTMF,Guido Melchior,The Methodologically Flawed Discussion About Deep Disagreement,forthcoming
BALEPQ,Brendan Balcerak Jackson,Essentially Practical Questions,2019
HALQVW,Hans Halvorson,Quantifier Variance Without Collapse,manuscript
KNOMVA,Viktoria Knoll,(Mere) Verbalness and Substantivity Revisited,2021
KRAITQ,Erik C. W. Krabbe and Jan Albert van Laar,In the Quagmire of Quibbles: A Dialectical Exploration,2019
MOKTMI,David Mokriski,The Methodological Implications of Reference Magnetism on Moral Twin Earth,2020
ROTAPA-4,Hans Rott,A Puzzle About Disputes and Disagreements,2015
CORSE,Moritz Cordes,Scheinprobleme - Ein Explikativer Versuch,2016
VIKVEU,Knoll Viktoria,"Verbalismus, Epistemizismus Und Die Debatte Um Personale Identit\""{a}t (1st edition)",2023
KILTPT-2,Anton Killin,The Polysemy Theory of Sound,2020
Doane2023-CLAPOM-4,Justin Clarke{-}Doane,Pr\'{e}cis of \emph{Morality and Mathematics},2023
WARTTM,Jared Warren,Trapping the Metasemantic Metaphilosophical Deflationist?,2016
MADPRA-2,Ignacio Madro\~{n}al,?Puedo Reconocer a Un Par Distante? Una Consecuencia Del Desacuerdo Profundo Entre Pares Epist\'{e}micos (1st edition),2023
MILOCE,Kristie Miller,On Contingently Error-Theoretic Concepts,2010
KOLAPA-2,Anna Kollenberg and Alex Burri,A Puzzle About Disputes and Disagreements,2015
GRAOTV,Andrew Graham,On the Very Idea of a Verbal Dispute,2014
BILWIT-6,Alexandre Billon and Philippe Vellozzo,What is the Point of Persistent Disputes? The Meta-Analytic Answer,forthcoming
VIKNWM,Knoll Viktoria,Negotiating ?Women?: Metalinguistic Negotiations Across Languages,2022
BALFOD,Nathan Ballantyne,The Fog of Debate,2021
PIEHAD,Giulio Pietroiusti,"Having a Disagreement: Expression, Persuasion and Demand",2022
MORSHD-4,Michael Morreau,Supergrading: How Diverse Standards Can Improve Collective Performance in Ranking Tasks,2020
MILMVD-2,James Miller,Merely Verbal Disputes and Common Ground,2022
KARWWK,Pedro Karczmarczyk,"Wittgenstein, Winch, Kripkenstein y la Posibilidad de la Cr\'{i}tica",2013
HUATDO-3,Yuanfan Huang,The Dilemma of Analytic Philosophy in Chinese,2022
MLDWKO,"Bruno M\""{o}lder",What Kinds of Disagreement Are Introspective Disputes?,2020
PETAS,Steve Petersen,"Analysis, Schmanalysis",2008
ROTDAM,Hans Rott,Disagreement and Misunderstanding Across Cultures,2007
MABSID,Robert Mabrito,Studies in Disagreement and Inconsistency,2001
DEBTOI,Ulrich De Balbian,Types of Intersubjectivity and Alternative Reality Images,2017
KNOBSU,Viktoria Knoll,"Blo\s{s}e Streite Um Worte: Eine Fallstudie Zur Debatte Um Personale Identit\""{a}t (Open Access) (1st edition)",2024
MILRTA-5,J. T. M. Miller,"Realism, Truthmakers, and Language: A Study in Meta-Ontology and the Relationship Between Language and Metaphysics",2014
ABELNA,Andrew Aberdein,"Leonard Nelson: A Theory of Philosophical Fallacies: Translated by Fernando Leal and David Carus Springer, Cham, Switzerland, 2016, Vi + 211 Pp",2017
DAHDVD,Nathan Dahlberg,Diagnosing Verbal Disputes: The Case of Ontology,2016
PYRTMC,Pyro Suarez,Theory-Indexed Moral Contextualism,2021
