ID,Author,Title,Year
SCHTCO-233,John Schwenkler,The Categories of Causation,2023
FIGOTP,Carrie Figdor,On the Proper Domain of Psychological Predicates,2017
RECIIR,Fran\c{c}ois Recanati,It is Raining (Somewhere),2005
MOLEIC,Friederike Moltmann,Events in Contemporary Semantics,forthcoming
GLEWEP,Lila Gleitman,When English Proposes What Greek Presupposes: The Cross-Linguistic Encoding of Motion Events,2006
MOLAO-2,Friederike Moltmann,Attitudinal Objects and Propositions,2019
PORTSA-7,Paul Portner,The (Temporal) Semantics and (Modal) Pragmatics of the Perfect,2003
JOHWVE,Kyle Johnson,"What Vp Ellipsis Can Do, and What It Can't, but Not Why",2001
FOXIAJ,Chris Fox,Imperatives: A Judgemental Analysis,2012
BITOTS,Maria Bittner,On the Semantics of the Greenlandic Antipassive and Related Constructions,1987
Younger2012-CLAIII,Hannah Clark{-}Younger,Is Imperative Inference Impossible? The Argument From Permissive Presuppositions,2012
NAKTSO-2,Kimiko Nakanishi,The Scope of Even and Quantifier Raising,2012
MUSEP,Reinhard Muskens,Existence Predicate,1993
RECTMF,Fran\c{c}ois Recanati and Anouch Bourmayan,Transitive Meanings for Intransitive Verbs,2013
VERSPI,H. J. Verkuyl and C. F. M. Vermeulen,Shifting Perspectives in Discourse,1996
BRAIAN-3,E. R. Brandon,"Is ""a Needs X"" Elliptical?",1993
LYC,Mariya Lychuk,\CYRCH\cyra\cyrs\cyrt\cyrk\cyro\cyrv\cyro \CYRF\cyrr\cyra\cyrz\cyre\cyro\cyrl\cyro\cyrg\cyrii\cyrz\cyro\cyrv\cyra\cyrn\cyrii \CYRR\cyre\cyrch\cyre\cyrn\cyrn\cyrya \CYRZ \CYRV\cyrii\cyrd\cyrn\cyro\cyrsh\cyre\cyrn\cyrn\cyrya\cyrm\cyri \CYRZ\cyru\cyrm\cyro\cyrv\cyrl\cyre\cyrn\cyro\cyrs\cyrt\cyrii,2017
