ID,Author,Title,Year
FOONG,Philippa Foot,Natural Goodness,2001
SETRWR-5,Kieran Setiya,Reasons Without Rationalism,2007
MERKOR-2,Melissa Merritt,Kant on Reflection and Virtue,2018
CROMEI-5,Michel Croce,Moral Exemplars in Education: A Liberal Account,2020
MILDTV-2,Michael Milona,Discovering the Virtue of Hope,2020
STIEET-2,Matt Stichter,Ethical Expertise: The Skill Model of Virtue,2007
NUSVEA,Martha C. Nussbaum,Virtue Ethics: A Misleading Category?,1999
ALFIVA,Mark Alfano and Andrew Higgins and Jacob Levernier,Identifying Virtues and Values Through Obituary Data-Mining,2018
ALFIAD,Mark Alfano,Identifying and Defending the Hard Core of Virtue Ethics,2013
KIDAWA,Ian James Kidd,"Adversity, Wisdom, and Exemplarism",2018
CROETE-4,Michel Croce and Maria Silvia Vaccarezza,Educating Through Exemplars: Alternative Paths to Virtue,2017
BOMMAA,Nicolas Bommarito,Modesty as a Virtue of Attention,2013
NEFFPA,Julia Nefsky,"Fairness, Participation, and the Real Problem of Collective Harm",2015
Forde2023-INETUF,Angelina Inesia{-}Forde,"\emph{The Us Founding Documents Through the Lenses of Bourdieu, Foucault, and Marx: A Power Analysis}",2023
SKOWAV-3,Joshua August Skorburg,Where Are Virtues?,2019
LEESBT-2,Ji{-}Young Lee,Surrogacy: Beyond the Commercial/Altruistic Distinction,2023
HARNCO,Gilbert Harman,No Character or Personality,2003
COPMAV,David Copp and David Sobel,Morality and Virtue: An Assessment of Some Recent Work in Virtue Ethics,2004
SARCAT,Hagop Sarkissian,Confucius and the Effortless Life of Virtue,2010
UMWIA,Sungwoo Um,What is a Relational Virtue?,2020
HURVAV-2,Thomas Hurka,"Virtuous Act, Virtuous Dispositions",2006
STIVSA,Matt Stichter,"Virtues, Skills, and Right Action",2011
MCAPG,Sean McAleer,Propositional Gratitude,2012
MANG,Tony Manela,Gratitude,2015
BERVEI,Alexander Bertland,Virtue Ethics in Business and the Capabilities Approach,2009
Wright2009-HACWIN,John Hacker{-}Wright,What is Natural About Foot's Ethical Naturalism?,2009
MICAVE,Michael Slote,Agent-Based Virtue Ethics,1995
LOTMVA-2,Micah Lott,Moral Virtue as Knowledge of Human Form,2012
HORMWA,David Horst,Moral Worth and Skillful Action (1st edition),2024
KUREDA-2,Charlie Kurth,"Emotion, Deliberation, and the Skill Model of Virtuous Agency",2018
KAWVTI,Jason Kawall,"Virtue Theory, Ideal Observers, and the Supererogatory",2008
BOWVAA,Tracy Bowell and Justine Kingsbury,Virtue and Argument: Taking Character Into Account,2013
DOLTEO-4,Laura D?Olimpio and Andrew Peterson,"The Ethics of Narrative Art: Philosophy in Schools, Compassion and Learning From Stories",2018
DAVIOT-2,David Solomon,Internal Objections to Virtue Ethics,1988
KIDAAA,Ian James Kidd,"Admiration, Attraction and the Aesthetics of Exemplarity",2019
MILH-4,Christian Miller,Honesty,2017
DOUTIO-8,Matt Dougherty,The Importance of Roles in the Skill Analogy,2020
ROBVAV,Brian Robinson and Paul Stey and Mark Alfano,Virtue and Vice Attributions in the Business Context: An Experimental Investigation,2013
TANETA-2,Daniel J. Hill and Stephen K. McLeod and Attila Tanyi,"Entrapment, Temptation and Virtue Testing",2022
UMBCAC,Steven Umbrello,Combinatory and Complementary Practices of Values and Virtues in Design: A Reply to Reijers and Gordijn,2020
