ID,Author,Title,Year
HORA-2,Jennifer Hornsby,Actions,1980
LOWSOE-3,E. J. Lowe,Subjects of Experience,1996
HOLTWF,Ben Holgu\'{i}n and Harvey Lederman,Trying Without Fail,forthcoming
FORTPO-41,Anton Ford,The Province of Human Agency,2018
MCCVAB,Hugh McCann,Volition and Basic Action,1974
OSHTAT,Brian O'Shaughnessy,Trying,1973
DONCTE-2,Alan Donagan,Choice: The Essential Element in Human Action,1987
MELRWO-2,Alfred R. Mele,Recent Work on Intentional Action,1992
WILA,George Wilson,Action,2008
BAGTEO,Carla Bagnoli,The Exploration of Moral Life,2011
RUBTPA-5,David{-}Hillel Ruben,The Physical Action Theory of Trying,2015
BRACTE-3,Myles Brand,Choice: The Essential Element in Human Action,1991
GINA-2,Carl Ginet,Actions,1984
Hintikka1997-HOLCAT-8,"Ghita Holmstr\""{o}m{-}Hintikka and R. Tuomela",Contemporary Action Theory,1997
MARTOA-13,Charles Marks and Lawrence H. Davis,Theory of Action,1980
ZAWMTD,Przemys\l{}aw Zawadzki,Mapping the Dimensions of Agency: The Narrative as Unifying Mechanism,2021
PROMAA-2,"Jo\""{e}lle Proust",Mental Acts as Natural Kinds,2013
DAVTOA-2,Lawrence Howard Davis,Theory of Action,1979
MASQVC,Olivier Massin,"Quand Vouloir, C'est Faire [How to Do Things with Wants]",2014
WILHFA-5,Thomas Williams,Human Freedom and Agency,2011
BAGIMP,Carla Bagnoli,The Exploration of Moral Life,2011
ODEVAA-2,Douglas Odegard,Volition and Action,1988
KEIWFM,Geert Keil,"Wie F\""{a}ngt (Man) Eine Handlung An?",2014
JOHVNA,John Talmadge,Volitional Necessity and Volitional Shift: A Key to Sobriety?,2004
BARA-2,Winston H. F. Barnes,Action,1941
FREFWA,Danny Frederick,Free Will and Probability,2013
ZHUIAV,Jing Zhu,Intention and Volition,2004
MALOA,Richard Malpas,"Review of on Action, by Carl Ginet",1993
IITCA,Damir \v{C}i\v{c}i\'c,The Conflicting Aspects of Hugh Mccann's Theory of Action,2011
MARVAA-2,Michael Martin,Volitions and Actions,1978
ZHUTCM,Jing Zhu,The Conative Mind: Volition and Action,2003
LOUA,Alfred Louch,Actions,1981
HINACO,Beverly K. Hinton,A Critique of Carl Ginet's Intrinsic Theory of Volition,2001
PEAAT-2,Leon Pearl,Action Theory,1977
MORA-52,James S. Morgan,Actions,1982
WILTEO-13,Thomas Williams,Human Freedom and Agency,2011
KAHIIA,Benedikt Kahmen,"Intentions, Intentional Actions and Practical Knowledge",2013
SCHWAM,Eugene Schlossberger and Ron Talmage,Why Actions Might Be Willings,1980
BISMHW,J. Bishop,"Mccann, Hj-the Works of Agency",2001
SILXAA,John R. Silber,Xi--Human Action and the Language of Volitions,1964
BRAAAT-13,Johannes L. Brandl and Marian David and Leopold Stubenberg,Agents and Their Actions,2001
KOSTIE,Emilio Mahdad Kosrovani,The Inner Event Conception of Action,1989
REDRAR-2,David Redmond,"Rational Action: Reasons, Causes, and Choices",2010
PFECGO,Karl Pfeifer,"Carl Ginet, on Action Reviewed By",1992
PFECGO-2,Karl Pfeifer,"Carl Ginet, on Action",1992
CLAPAT-5,Randolph Clarke,"Personal Agency: The Metaphysics of Mind and Action, by E. J. Lowe",2010
MELOAB,Alfred Mele,"Review of on Action, by Carl Ginet",1992
HEAHJA,Jane Heal,"Hornsby, Jennifer Actions",1982
CATA-2,Peter Cataldo,Actions,1985
MCCSOA-3,Hugh J. McCann,Springs of Action,1994
NAVR-2,Mar\'{i}a G. Navarro,"Review of 'New Waves in Philosophy of Action' Edited by Jes\'{u}s H. Aguilar, Andrei A. Buckareff and Keith Frankish",2012
GINTWO-10,Carl Ginet,The Works of Agency,2000
