ID,Author,Title,Year
VANDMP-6,Mara van der Lugt,Dark Matters: Pessimism and the Problem of Suffering,2021
VOLC,Voltaire,Candide,2006
WOOVOL,David Wootton,Voltaire on Liberty,2022
DURTSO,Will Durant,The Story of Philosophy,1926
VOLLOE,Voltaire,Letters on England,2021
SAUVBT,John Ralston Saul,Voltaire's Bastards: The Dictatorship of Reason in the West,1992
VOLPD,Francois Voltaire,Voltaire's Philosophical Dictionary,1843
VOLCOL,Voltaire,Candide Ou l'Optimisme (French),unknown
SPIFFF,John Stephenson Spink,French Free-Thought From Gassendi to Voltaire,1960
WELINA-2,Aaron Wells,?In Nature as in Geometry?: Du Ch\^{a}telet and the Post-Newtonian Debate on the Physical Significance of Mathematical Objects (1st edition),2023
VOLJEC,Voltaire,Jeannot Et Colin (French),2020
VOLCAO,Voltaire and Roger Pearson,Candide and Other Stories,2008
VOLCYZ,Voltaire,Candide,2006
LEIVPL-2,John Leigh,"Voltaire: Philosophical Letters: Or, Letters Regarding the English Nation",1961
WELDCL,Aaron Wells,Du Ch\^{a}telet?s Libertarianism,2022
WADIDO-3,Ira Owen Wade,Intellectual Development of Voltaire,1969
WEIPIL,Morris Weitz,"Philosophy in Literature: Shakespeare, Voltaire, Tolstoy \& Proust",1963
Singh2022-GIORCI,Gianamar Giovannetti{-}Singh,Racial Capitalism in Voltaire's Enlightenment,2022
VOLZS,Voltaire,Zadig (Spanish),2012
MAXARF-2,Nicholas Maxwell,A Revolution for Science and the Humanities: From Knowledge to Wisdom,2004
FINSAS-3,Karl J. Fink,Storm and Stress Anthropology,1993
PALLRE-3,Eric Palmer,Less Radical Enlightenment: A Christian Wing of the French Enlightenment,2017
PALPI,Eric Palmer,Pangloss Identified,2002
ROSASE-3,Luis F. Roselino,"Arte, Sociedade e Luxo: Sobre o Gosto e o Refinamento Nas Cartas Filos\'{o}ficas de Voltaire / Art, Society and Luxury. Taste and Refinement on Voltaire?s Philosophical Letters",2011
VOLTAO,Voltaire,Toleration and Other Essays,unknown
STATM-3,Jean Starobinski,13 the Motto Vitam Impendere Vero and the Question of Lying,2001
STALF,Jean Starobinski,Le Fusil \`A Deux Coups de Voltaire: La Philosophie d'Un Style Et le Style d'Une Philosophie (a la M\'{e}moire de Leo Spitzer),1966
VOLCOE,Voltaire,"Candido, o El Optimismo (Spanish)",2014
KIVVHA,Peter Kivy,"Voltaire, Hume, and the Problem of Evil",1979
FREWSI-2,"Bj\""{o}rn Freter",White Supremacy in Eurowestern Epistemologies. On the West?s Responsibility for its Philosophical Heritage,2018
BRAPSV,David Braybrooke,"Professor Stevenson, Voltaire, and the Case of Admiral Byng",1956
GOTDCV,Felicia Gottmann,"Du Ch\^{a}telet, Voltaire, and the Transformation of Mandeville's Fable",2012
BARVEO,Eduardo Salles de Oliveira Barra,Voltaire e o Projeto de Uma Metaf\'{i}sica Newtoniana,2012
ROGHCC-2,Dawid Rogacz,Jak ?Chiny? Stworzy\l{}y Europ\ke: Narodziny O\'{s}wieceniowego Sekularyzmu Z Ducha Konfucjanizmu,2017
PALLRE-2,Eric Palmer,Less Radical Enlightenment: A Christian Wing of the French Enlightenment,2017
PALLRE-4,Eric Palmer,Less Radical Enlightenment: A Christian Wing of the French Enlightenment,2017
RUWDV,V\'{e}ronique Le Ru,Por Que Voltaire Se Tornou Newtoniano? Por Que Refletir Sobre as Ci\^{e}ncias,2012
CASCTA-5,Paolo Casini,"Candide, Theodicy and the ?Philosophie de L'Histoire?",2011
IEPFD,Unknown Unknown,French Deism,2001
VROVAP,Jack R. Vrooman,Voltaire's Aesthetic Pragmatism,1972
PORVCO,Jason Porterfield,Voltaire: Champion of the French Enlightenment,2006
