ID,Author,Title,Year
GHETGO,Anca Gheaus and Lisa Herzog,The Goods of Work (Other Than Money!),2016
DARWAR-2,Stephen Darwall,Welfare and Rational Care,2002
NEBCDI-2,Jacob M. Nebel and H. Orri Stef\'{a}nsson,Calibration Dilemmas in the Ethics of Distribution,2023
NEBTSO,Jacob M. Nebel,The Sum of Well-Being,2023
NEBAWI,Jacob M. Nebel,Aggregation Without Interpersonal Comparisons of Well-Being,2021
BRODTF-3,John Broome,Discounting the Future,1994
OFFCOT,Claus Offe,Contradictions of the Welfare State,1984
BECR-6,Lawrence C. Becker,Reciprocity,1986
BROTIO-53,Heather Browning and Walter Veit,the Importance of End-of-Life Welfare,2022
NEBACC,Jacob M. Nebel,A Choice-Functional Characterization of Welfarism,forthcoming
BERTVO-11,Brian Berkey,The Value of Fairness and the Wrong of Wage Exploitation,2020
MAHTEA-3,Anna Mahtani,The Ex Ante Pareto Principle,2017
DICMMV-2,Donna Dickenson,Me Medicine Vs. We Medicine: Reclaiming Biotechnology for the Common Good,2013
MULDPD-3,Thomas Mulligan,Do People Deserve Their Economic Rents?,2018
HEATNM-2,Joseph Heath,Three Normative Models of the Welfare State,2011
TARSTS,Christian Tarsney and Harvey Lederman and Dean Spears,Share the Sugar,manuscript
LISAIC,Christian List,Are Interpersonal Comparisons of Utility Indeterminate?,2003
SORTSA-2,Tom Sorell and Heather Draper,"Telecare, Surveillance, and the Welfare State",2012
FRATAN,Nancy Fraser,Talking About Needs: Interpretive Contests as Political Conflicts in Welfare-State Societies,1989
TAYDWD,Robert S. Taylor,Donation Without Domination: Private Charity and Republican Liberty,2018
KAUWIT,Alexander Kaufman,Welfare in the Kantian State,1999
BEROOP-2,Brian Berkey,Obligations of Productive Justice: Individual or Institutional?,2018
SARMTO-5,Alexander F. Sarch,Multi-Component Theories of Well-Being and Their Structure,2012
HARNSW,John C. Harsanyi,Nonlinear Social Welfare Functions,1975
SHAITW-2,Daniel Shapiro,Is the Welfare State Justified?,2007
WOLPPA-3,Jonathan Wolff,Political Philosophy and the Real World of the Welfare State,2015
HUBTMJ-2,Donald C. Hubin,The Moral Justification of Benefit/Cost Analysis,1994
DAWTSO,Angus Dawson and Marcel Verweij,The Steward of the Millian State,2008
COHCOT-5,Joshua Cohen,Contradictions of the Welfare State,1988
HOUNTO,Rob Houtepen,New Types of Solidarity in the European Welfare State,2000
MCDAMV,Kris McDaniel,A Moorean View of the Value of Lives,2014
MCCRAT-4,David McCarthy,Risk-Free Approaches to the Priority View,2013
BANMAT-3,Keith Banting and Will Kymlicka,Multiculturalism and the Welfare State: Recognition and Redistribution in Contemporary Democracies,2006
SCHHTC-7,Christian Schemmel,How (Not) to Criticise the Welfare State,2015
VINWDY,Nicole A. Vincent,What Do You Mean I Should Take Responsibility for My Own Ill Health,2009
SEGUWB,Shlomi Segall,Unconditional Welfare Benefits and the Principle of Reciprocity,2005
ELITLO,Norbert Elias,The Loneliness of the Dying,1985
LEBKOW,Mark LeBar,Kant on Welfare,1999
PERJAP,Govind Persad,Justice and Public Health,2019
MCCUAP,David Mccarthy,Utilitarianism and Prioritarianism I,2006
SCHSWA-14,David Schmidtz and Robert E. Goodin,Social Welfare and Individual Responsibility,1998
SMIBIS-3,Nicholas H. Smith,"Basic Income, Social Freedom and the Fabric of Justice",2019
MULEPF,Thomas Mulligan,"Equal Pay for All: An Idea Whose Time has Not, and Will Not, Come",2021
Pinedo2024-CARRCA-19,V\'{i}ctor Carranza{-}Pinedo,Rethinking Core Affect: The Role of Dominance in Animal Behaviour and Welfare Research,2024
DASLLA,Steve Daskal,"Libertarianism Left and Right, the Lockean Proviso, and the Reformed Welfare State",2010
DORTAT-3,Dale Dorsey,Toward a Theory of the Basic Minimum,2008
BREPCA-3,George G. Brenkert,Private Corporations and Public Welfare,1992
BROIAJ,Huub Brouwer and Thomas Mulligan,Intuition About Justice: Desertist or Luck Egalitarian?,2024
NILWT,Nils Holtug,Welfarism ? the Very Idea,2003
HARTWO-4,John Harris,The Welfare of the Child,2000
FRITNC-2,Jeffrey Friedman,The New Consensus: Ii. The Democratic Welfare State,1990
MONHOU,Mongin Philippe and D'Aspremont Claude,Utility Theory and Ethics,1998
SAHIEE,Richard S\v{t}ahel,"Is Ecoturism Environmentally and Socially Acceptable in the Climate, Demographic, and Political Regime of the Anthropocene? (1st edition)",2023
AGMPAD,Shai Shimon Yehuda Agmon and Matt Hitchens,Prioritarianism: A (Pluralist) Defence,2019
ANDWWR,Elizabeth Anderson,"Welfare, Work Requirements, and Dependant-Care",2004
RAJWIT,Alex Rajczi,What is the Conservative Point of View About Distributive Justice?,2014
BIRRLR,Simon Birnbaum,"Radical Liberalism, Rawls and the Welfare State: Justifying the Politics of Basic Income",2010
ARRTAA,Gustaf Arrhenius,The Affirmative Answer to the Existential Question and the Person Affecting Restriction,2015
DICBST,Donna Dickenson,Body Shopping: The Economy Fuelled by Flesh and Blood,2008
REGTPO-6,Merten Reglitz,The Practice-Independence of Intergenerational Justice,2016
MONUTA,Philippe Mongin and Claude D'Aspremont,Utility Theory and Ethics,1998
METIMI,Thaddeus Metz,Meaning in Life as the Right Metric,2016
GOOSET,Robert E. Goodin,Stabilizing Expectations: The Role of Earnings-Related Benefits in Social Welfare Policy,1990
SAYWAM-2,Andrew Sayer,Welfare and Moral Economy,2018
BECHHA-2,Lawrence C. Becker,"Habilitation, Health, and Agency: A Framework for Basic Justice",2012
PLAPPA-2,Raymond Plant,Political Philosophy and Social Welfare: Essays on the Normative Basis of Welfare Provision,1980
NAMBEA,Jeesoo Nam,Biomedical Enhancements as Justice,2013
THEACA,H. Theixos,Adult Children and Eldercare: The Moral Considerations of Filial Obligations,2013
MILMAT-6,David Miller,Multiculturalism and the Welfare State: Theoretical Reflections,2006
SHATRO-13,David Shaw and Bernice Elger,The Relevance of Relevance in Research,2013
SIRSLS,"J\""{u}rgen Sirsch",Should Liberal-Egalitarians Support a Basic Income? An Examination of the Effectiveness and Stability of Ideal Welfare Regimes,2020
WOLIDA-3,Sheldon S. Wolin,I. Democracy and the Welfare State,1987
BEIMAF,David T. Beito,Mutual Aid for Social Welfare: The Case of American Fraternal Societies,1990
LISANO,Christian List,A Note on Introducing a 'Zero-Line' of Welfare as an Escape-Route From Arrow's Theorem,2001
DMOAHI,D. Molyneux,"""And How is Life Going for You?"" an Account of Subjective Welfare in Medicine",2007
WALSQA,Alan Walker,Social Quality and Welfare System Sustainability,2011
BLUMAP-3,Lawrence Blum,Murdoch and Politics,2022
LISMWA,Christian List,Multidimensional Welfare Aggregation,2004
METGNH,Thaddeus Metz,Gross National Happiness: A Philosophical Appraisal,2014
WOLIPA,Alan Wolfe and Jytte Klausen,Identity Politics and the Welfare State,1997
BORWRP,Jens Borchert,Welfare-State Retrenchment: Playing the National Card,1996
ASHSSA,Richard E. Ashcroft,"Solidarity, Society and the Welfare State in the United Kingdom",2000
MINTLA-2,Gwendolyn Mink,"The Lady and the Tramp : Feminist Welfare Politics, Poor Single Mothers, and the Challenge of Welfare Justice",1998
HUPDWA-2,Elizabeth C. Hupfer,Distributing Welfare and Resources: A Multi-Currency View,2019
ROTOOT,Murray N. Rothbard,Origins of the Welfare State in America,1996
STEUEF-2,Rush T. Stewart,"Uncertainty, Equality, Fraternity",2021
COHBHL,Andrew Jason Cohen,Bleeding Heart Libertarianism and the Social Justice or Injustice of Economic Inequality,2019
COHABH,Andrew Jason Cohen,A Bleeding Heart Libertarian View of Inequality,2020
MONAWV,Claude D'Aspremont and Philippe Mongin,A Welfarist Version of Harsanyi's Theorem,2008
BANEAS,Sarah Banks,Ethics and Social Welfare: The State of Play,2008
DOEEAA-3,Matthias Doepke,"Exploitation, Altruism, and Social Welfare",2013
GOLMOO,Azam Golam,Moral Obligation of Pharmaceutical Companies Towards Hiv Victims in Developing Countries,2008
PERPSC-2,Govind Persad,"Priority Setting, Cost-Effectiveness, and the Affordable Care Act",2015
GUTDAT,Amy Gutmann,Democracy and the Welfare State,1988
VOOPCA,Alex Voorhoeve,Preference Change and Interpersonal Comparisons of Welfare,2006
METGTW,Thaddeus Metz,?Giving the World a More Human Face?: Human Suffering in African Thought and Philosophy,2012
BAUEDD,Alexander Max Bauer and Jan Romann,"Equal Deeds, Different Needs ? Need, Accountability, and Resource Availability in Third-Party Distribution Decisions",2020
COWDTW,Tyler Cowen,Does the Welfare State Help the Poor?,2002
DOUANW,Thomas Douglas and Laura Van den Borre,Asbestos Neglect: Why Asbestos Exposure Deserves Greater Policy Attention,2019
METTNF,Thaddeus Metz,The Need for Others in Public Policy: An African Approach,2021
BARTPO-33,Norman P. Barry,The Philosophy of the Welfare State,1990
LEWEDA,Jane Lewis,"Equality, Difference, and State Welfare: Labor Market and Family Policies in Sweden",1992
HALNAE,Lena Halldenius,Non-Domination and Egalitarian Welfare Politics,1998
WALAAA-16,Mary Jean Walker and James Franklin,An Argument Against Drug Testing Welfare Recipients,2018
FRITUO-3,Julian Friedland,The Utility of Offshoring: A Rawlsian Critique,2005
BROOTV,Huub Brouwer and Thomas Mulligan,On the Very Idea of a Just Wage (Editorial),2018
ELLOAF,David Ellerman,On a Fallacy in the Kaldor-Hicks Efficiency-Equity Analysis,2014
DICIEE,Donna Dickenson,Is Efficiency Ethical? Resource Issues in Health Care,1995
MAHFPA-2,Anna Mahtani,Frege?s Puzzle and the Ex Ante Pareto Principle,2020
CLAMAM-9,Rutger Claassen,Markets as Mere Means,2017
MASGPL,Ignacio Mastroleo,Gu\'{i}as Para Los Comit\'{e}s de \'{E}tica de Investigaci\'{o}n Del Reino Unido Sobre Atenci\'{o}n de la Salud Despu\'{e}s de la Investigaci\'{o}n: Un Comentario Cr\'{i}tico Sobre la Traducci\'{o}n Al Espa\~{n}ol Del Borrador Versi\'{o}n 8.,2012
SCHWTA-7,Kory P. Schaff,"Work, Technology, and Inequality: A Critique of Basic Income",2019
KLOCPO-2,George Klosko,"Cosmopolitanism, Political Obligation, and the Welfare State",2009
EVEJAG,Theodore J. Everett and Bruce M. Everett,Justice and Gini Coefficients,2015
ADLJCA,Matthew D. Adler,"Justice, Claims and Prioritarianism: Room for Desert?",2016
RONKNP,David Rondel and Alex Sager,Kai Nielsen?s Political Philosophy: A Critical Introduction and Overview,2012
GHEGJA,Anca Gheaus,Gender Justice and the Welfare State in Post-Communism,2008
FREEL-2,Michael Freeden,European Liberalisms,2008
RAJRPA,Sirswal Desh Raj,Religious Practices and Democratic Values in India: A Search for Interreligious Dialogue,2017
DICIMW,Donna Dickenson,"In Me We Trust: Public Health, Personalized Medicine and the Common Good",2014
ENGJCA-2,Daniel Engster,"Justice, Care, and the Welfare State",2015
DILRPX,"Savri\""{e}l Dillingh",Repoliticizing Privatization,2023
CRESE-2,Sergio Volodia Marcello Cremaschi and Gianni Vaggi and Manfredo Ara\`{u}jo de Oliveira,Sviluppo Economico,2006
GOLRTO,Azam Golam,Rawls? Theory of Distributive Justice and the Role of Informal Institutions in Giving People Access to Health Care in Bangladesh,2008
CREMEG,Sergio Volodia Marcello Cremaschi,"Morali, Economie, Giochi Linguistici",1993
ZWACPA,Danielle Zwarthoed,Cheap Preferences and Intergenerational Justice,2015
BANDMP,Keith Banting and Richard Johnston and Will Kymlicka and Stuart Soroka,Do Multiculturalism Policies Erode the Welfare State? An Empirical Analysis,2006
MOLGPI-2,Anders Molander and Gaute Torsvik,Getting People Into Work: What (If Anything) Can Justify Mandatory Activation of Welfare Recipients?,2015
MCC-4,Jan Narveson,"Liberty, Property, and Welfare Rights: Brettschneider?s Argument",2013
BISTPO-4,Herbert Bisno,The Philosophy of Social Work,1952
VANWSR-2,Kees van Kersbergen,Welfare State Reform and Political Allegiance,2003
BERSIS,\A{A}ke Bergmark,Solidarity in Swedish Welfare \^A?? Standing the Test of Time?,2000
Woodward2014-ELDLWV,Jim Elder{-}Woodward,?Living Well? Vs Neoliberal Social Welfare,2014
GAIEOO,Helmut P. Gaisbauer and Gottfried Schweiger and Clemens Sedmak,Ethical Obligations of Wealthy People: Progressive Taxation and the Financial Crisis,2013
BUDPII,Mark Budolfson,"Population Issues in Welfare Economics, Ethics, and Policy Evaluation",2022
GERFWA-4,Gal Gerson,"Fairbairn, Winnicott, and Guntrip on the Social Significance of Schizoids",2022
BRODEP,\'{E}tienne Brown and Zoe Phillips Williams,"Disagreement, Epistemic Paralysis, and the Legitimacy of Technocracy",2020
JAGWFF,Alison M. Jaggar,We Fight for Roses Too: Time-Use and Global Gender Justice,2013
HALTR-3,Stuart Hall,Thatcherism -- Rolling Back the Welfare State,1983
VOOEOE,Alex Voorhoeve,"Equal Opportunity, Equality, and Responsibility",2005
HINTCO-5,Karl Hinrichs and Claus One and Helmut Wiesenthal,The Crisis of the Welfare State and Alternative Modes of Work Redistribution,1985
Andersen1983-ESPTIO,"G\""{o}sta Esping{-}Andersen",The Incompatibilities of the Welfare State,1983
BRATCO-48,Eric Brandstedt and Maria Emmelin,The Concept of Sustainable Welfare,2016
SAAETR,Hamidreza Saadat Niaki and Ali Fath Taheri,Evaluating the Redistribution Policy and the Right to Social Welfare in Kant?s Philosophy,2022
SKIEAT-2,Gunnar Skirbekk,Eco-Crisis and the Welfare State,1995
MOEIDO,Michael Moehler,In Defense of a Democratic Productivist Welfare State,2017
ACPSAO,A. C. Pigou,Some Aspects of the Welfare State,1954
DANSPA,Daniel Hicks,Scientific Practices and Their Social Context,2012
SHARAR-6,D. M. Shaw and J. Busch,Rawls and Religious Paternalism,2012
AGATTA,Joseph Agassi,The Theory and Practice of the Welfare State,unknown
SALWIP-2,Ingrid Salvatore,"Work in Property-Owning Democracy: Freeman, Rawls, and the Welfare State",forthcoming
LARSWD,Francesco Laruffa,Social Welfare Discourses and Scholars? Ethical-Political Dilemmas in the Crisis of Neoliberalism,2019
LEBEAP,Mark LeBar and Antony Davies and David Schmidtz and Miller Jr,"Equality and Public Policy: Volume 31, Part 2",2015
RADATW,Lalit Kumar Radha Krishna and Sumytra Menon and Ravindran Kanesvaran,Applying the Welfare Model to at-Own-Risk Discharges,2017
MAHOTW,Mary B. Mahowald,On the Welfare of Possible Persons,1997
SCHRAT-52,Stephen J. Schmidt,Resources and the Acceptability of the Repugnant Conclusion,2020
HUSSVS,Howard Husock,Standards Versus Struggle: The Failure of Public Housing and the Welfare-State Impulse,1997
DIEDSU,Frank Dietrich,"Die,Sozialdemokratische? Und Die,Liberale? Variante der Neoaristotelischen Sozialphilosophie",1999
FERTPO-26,Zsuzsa Ferge,The Perils of the Welfare State's Withdrawal,1997
MCWNAT,Ladelle McWhorter,Normalization and the Welfare State,2012
STOARI,Deborah Stone,At Risk in the Welfare State,1989
OFFTGW,Claus Offe,"The German Welfare State: Principles, Performance and Prospects After Unification",2000
RIETLO-3,Elmar Rieger,The Logic of Welfare: Religious and Sociological Foundations of Social Policy Rationality,2013
MATSWA-2,Floyd W. Matson,Social Welfare and Personal Liberty: The Problem of Casework,forthcoming
GREEFO,Bent Greve,European Foundations of the Welfare State,2015
ANTWSV,Anthony Skillen,Welfare State Versus Welfare Society?,1985
WALTPF-2,A. Walker,The Prospects for Sustainable Welfare East and West: A Potential Role for Social Quality,2008
POTSTW,Martin Potucek and Iveta Radicov\'a,Splitting the Welfare State: The Czech and Slovak Cases,1997
MACAAA-5,Glenn Mackin,"Aporia, Attentiveness, and the Politics of Social Welfare",2010
GILSWT,Neil Gilbert,Social Welfare Trends in Western Societies: Privatisation and the Challenge to Social Work,2015
ADAWRI,E. Kathleen Adams and Norma I. Gavin and Willard G. Manning and Arden Handler,"Welfare Reform, Insurance Coverage Pre-Pregnancy, and Timely Enrollment: An Eight-State Study",2005
