ID,Author,Title,Year
SULRWT-2,Shannon Sullivan,Revealing Whiteness: The Unconscious Habits of Racial Privilege,2006
MARWIW-3,Annette Mart\'{i}n,What is White Ignorance?,forthcoming
YANBBW,George Yancy,"Black Bodies, White Gazes: The Continuing Significance of Race",2008
MILWI-3,Charles Wright Mills,White Ignorance,2007
YANLAW,George Yancy,"Look, a White!: Philosophical Essays on Whiteness",2012
SULTPO-18,Shannon Sullivan,The Physiology of Sexist and Racist Oppression,2015
MYSDFS,Catherine Myser,Differences From Somewhere: The Normativity of Whiteness in Bioethics in the United States,2003
DYEWP,R. Dyer,White (Pp. 457-468),1999
MCIWP,Peggy McIntosh,White Privilege : Unpacking the Invisible Knapsack,2008
KAPWSD,Jonathan Michael Kaplan,When Socially Determined Categories Make Biological Realities,2010
LINWSW-2,Linda Mart\'{i}n Alcoff,What Should White People Do?,1998
MILOWI-2,Marzia Milazzo,"On White Ignorance, White Shame, and Other Pitfalls in Critical Philosophy of Race",2017
MILTRC-7,Charles W. Mills,{[}Book Review] the Racial Contract,1997
MACHOW-3,Terrance MacMullan,Habits of Whiteness: A Pragmatist Reconstruction,2009
CHETEI,Darren Chetty,"The Elephant in the Room: Picturebooks, Philosophy for Children and Racism",2014
ZACWPA,Naomi Zack,White Privilege and Black Rights: The Injustice of U.S. Police Racial Profiling and Homicide,2015
FRYWWF-2,Marilyn Frye,White Woman Feminist,manuscript
MONTCO-21,Michael Monahan,The Concept of Privilege: A Critical Appraisal,2014
BAIPEO,Alison Bailey,"Privilege: Expanding on Marilyn Frye's ""Oppression""",1998
PUZTUW,Elayne Puzan,The Unbearable Whiteness of Being (in Nursing),2003
MILFCT-2,Charles Wade Mills,From Class to Race: Essays in White Marxism and Black Radicalism,2003
APPBWB-2,Barbara Applebaum,"Being White, Being Good: White Complicity, White Moral Responsibility, and Social Justice Pedagogy",2010
ALILTI,Alison Bailey,Locating Traitorous Identities: Toward a View of Privilege-Cognizant White Character,1998
FISFRP-2,Jeremy Fischer,Feeling Racial Pride in the Mode of Frederick Douglass,2021
LEOTCO-5,Zeus Leonardo,The Color of Supremacy: Beyond the Discourse of ?White Privilege?,2004
BROJBA-3,Mark B. Brown,James Baldwin and the Politics of White Identity,2021
MCGAPF,Debbie E. McGhee,Automatic Preference for White Americans: Eliminating the Familiarity Explanation,unknown
YANWWL-2,George Yancy,What White Looks Like: African-American Philosophers on the Whiteness Question,2004
LEWFPT-2,Reina Lewis and Sara Mills,Feminist Postcolonial Theory: A Reader,2003
GREAPF,Anthony Greenwald,Automatic Preference for White Americans: Eliminating the Familiarity Explanation,manuscript
Crooks2000-SESDWA-2,Kalpana Seshadri{-}Crooks,Desiring Whiteness: A Lacanian Analysis of Race,2000
HACTNB,Andrew Hacker,"Two Nations: Black and White, Separate, Hostile, Unequal",1993
GUSWOW,Diana L. Gustafson,White on Whiteness: Becoming Radicalized About Race,2007
HOCIRM,Adam Hochman,Is ?Race? Modern? Disambiguating the Question,2020
BAIOWS,Alison Bailey,On White Shame and Vulnerabiltiy,2011
GRABRW-2,Kevin Graham,Beyond Redistribution: White Supremacy and Racial Justice,2010
BROCIT,Berit Brogaard,Color in the Theory of Colors? Or: Are Philosophers' Colors All White?,2010
SULTHA-2,Shannon Sullivan,The Hearts and Guts of White People,2014
THOCWA,Audrey Thompson,Colortalk: Whiteness and Off White,1999
HAWTFO-3,Orlando Hawkins and Emmalon Davis,"The Future of Double Consciousness: Epistemic Virtue, Identity, and Structural Anti-Blackness",2024
WESWOW,George Yancey and Cornel West and Kal Alston and Molefi Kete Asante and Bettina G. Bergo and Robert Bernasconi and Janine Jones and Chris Cuomo and Clarence Shol\'e Johnson and John H. Mcclendon Iii and Greg Moses and Monique Roelofs and Crispin Sartwell and Anna Stubblefield,White on White/Black on Black,2005
AHMWAT,Sara Ahmed,Whiteness and the General Will: Diversity Work as Willful Work,2012
YANWAT,George Yancy,Whiteness and the Return of the Black Body,2005
SULWW,Shannon Sullivan,White World-Traveling,2004
ROETWO-2,David R. Roediger,The Wages of Whiteness: Race and the Making of the American Working Class,1992
LAMOCS,Mich\`{e}le Lamont and Sada Aksartova,Ordinary Cosmopolitanisms: Strategies for Bridging Racial Boundaries Among Working-Class Men,2002
SHOMOT,Adale Sholock,"Methodology of the Privileged: White Anti-Racist Feminism, Systematic Ignorance, and Epistemic Uncertainty",2012
ALLWAC,Ricky Lee Allen,Whiteness and Critical Pedagogy,2004
OUTRRW,Lucius T. Outlaw Jr,Rehabilitate Racial Whiteness?,2004
MILREA-3,Charles W. Mills,Racial Exploitation and the Wages of Whiteness,2004
WHIFAP-2,Morton White,From a Philosophical Point of View: Selected Studies,2004
REDRTP,Mike Redmayne,Rethinking the Privilege Against Self-Incrimination,2005
PETWPI,Michael A. Peters,White Philosophy in/of America,2011
BIRTBF,Robert E. Birt,The Bad Faith of Whiteness,2004
ARETUW,Swathi Arekapudi and Mathew K. Wynia,"The Unbearable Whiteness of the Mainstream: Should We Eliminate, or Celebrate, Bias in Bioethics?",2003
BAILTI,Alison Bailey,Locating Traitorous Identities: Toward a Theory of White Character Formation,2000
STUBTP-3,Anna Stubblefield,"?Beyond the Pale?: Tainted Whiteness, Cognitive Disability, and Eugenic Sterilization",2007
QUIBIT,Seline Szkupinski Quiroga,Blood is Thicker Than Water: Policing Donor Insemination and the Reproduction of Whiteness,2007
Smith2016-LAWOCP,Holly Lawford{-}Smith,Offsetting Class Privilege,2016
GILTWW-2,David Gillborn,"The White Working Class, Racism and Respectability: Victims, Degenerates and Interest-Convergence",2010
YANWSB-2,George Yancy,White Self-Criticality Beyond Anti-Racism: How Does It Feel to Be a White Problem?,2014
BAIWTA,Alison Bailey,'White Talk' as a Barrier to Understanding Whiteness,2014
BLUAMI-2,L. Blum,"Antiracist Moral Identities, or Iris Murdoch in South Africa",2011
TAYSAS,Paul C. Taylor,Silence and Sympathy: Dewey's Whiteness,2004
MULOWB,Harryette Mullen,Optic White: Blackness and the Production of Whiteness,1994
CARACD-13,Felipe Carvalho and Lia Vainer Schucman,A Contribui\c{c}~{a}o Dos Estudos Cr\'{i}ticos da Branquitude Para a Compreens\~{a}o Do Preconceito Racial No Campo da Psicologia Social,2022
SULWAW,Shannon Sullivan,Whiteness as Wise Provincialism: Royce and the Rehabilitation of a Racial Category,2008
GORCRO,Lewis R. Gordon,Critical Reflections on Three Popular Tropes in the Study of Whiteness,2004
SANIB,Breno Ricardo Guimar\~{a}es Santos and Charles Mills,Ignor\^{a}ncia Branca - White Ignorance (Translation to Portuguese),2018
PRORYA,Robert R. Provine and Marcello O. Cabrera and Jessica Nave{-}Blodgett,"Red, Yellow, and Super-White Sclera",2013
NOEWHA,Kenneth Noe,"White Habits, Anti-Racism, and Philosophy as a Way of Life",2020
BAIOIA,Alison Bailey,On Intersectionality and the Whiteness of Feminist Philosophy,2010
SULOTN-2,Shannon Sullivan,On the Need for a New Ethos of White Antiracism,2012
BAINL,Alison Bailey,Newark Lessons,2018
TAYRRR-2,Robert S. Taylor,Racial Responsibility Revisited,2021
DONTSO-11,Wendy Doniger,The Symbolism of Black and White Babies in the Myth of Parental Impression,2003
MACBTP,Terrance MacMullan,Beyond the Pale: A Pragmatist Approach to Whiteness Studies,2005
MCKHWS,Eusebius McKaiser,How Whites Should Live in This Strange Place,2011
IBROIN,Awad Ibrahim,One is Not Born Black: Becoming and the Phenomenon (Ology) of Race,2004
NOEWAC,Noel Ignatiev,Whiteness and Class Struggle,2003
WINITM,Shannon Winnubst,Is the Mirror Racist?: Interrogating the Space of Whiteness,2004
HARPIB-2,Leonard Harris,Philosophy in Black and White,1978
WESW,Jonathan Westphal,White,1986
ZACMBA,Naomi Zack,Mixed Black and White Race and Public Policy,1995
SPILP-3,Marc S. Spindelman,Legislating Privilege,2002
LEOCWM,Leonard Harris,:Blackness Visible: Essays on Philosophy and Race,2000
OLSWAT-5,Joel Olson,Whiteness and the Participation-Inclusion Dilemma,2002
ROSWPA-2,Jamie P. Ross,?White Privilege and the Color of Fear.? Chapter in Lessons From the Color of Fear.,2008
TABTOP-2,Pedro Alexis Tabensky,The Oppressor's Pathology,2010
JONOTR-2,Claudia Jones,On the Right to Self-Determination for the Negro People in the Black Belt,1995
BAIICO,Alison Bailey,Interview: (Comments on White Privilege and Metaphysical Comfort),2017
KRUTFO-3,Sonia Kruks,The Future of Whiteness,2016
JULLFW,Julia Eklund Koza,Listening for Whiteness: Hearing Racial Politics in Undergraduate School Music,2008
SHOTPW,Alexis Shotwell,The Problem with Loving Whiteness,2016
