ID,Author,Title,Year
Borgogno2022-TRUTST-2,Santiago Truccone{-}Borgogno,"The Supersession Thesis, Climate Change, and the Rights of Future People",2022
KURRHA,Visa A. J. Kurki,"Rights, Harming and Wronging: A Restatement of the Interest Theory",2018
BOTCAR,Andrew Botterell and Carolyn McLeod,Can a Right to Reproduce Justify the Status Quo on Parental Licensing?,2015
DEKTCO-6,Brendan de Kenessey,Two Concepts of Directed Obligation,2024
KERALA,Stephen Kershnar,A Liberal Argument for Slavery,2003
SCHWII-16,Janis David Schaab,Why It is Disrespectful to Violate Rights: Contractualism and the Kind-Desire Theory,2018
KERTSO,Stephen Kershnar,The Structure of Rights Forfeiture in the Context of Culpable Wrongdoing,2002
KERPPR,Stephen Kershnar,Private Property Rights and Autonomy,2002
KERFTA-3,Stephen Kershnar,Forfeiture Theory and Symmetrical Attackers,2017
KERFIT,Stephen Kershnar,For Interrogational Torture,2005
KERTIN,Stephen Kershnar,There is No Moral Right to Immigrate to the United States,2000
VANDMJ-3,Bart Van Leeuwen and Michael S. Merry,"Daklozen Moet Je Beschermen, Desnoods Tegen Hun Zin",2018
BAZNIA,Saba Bazargan,Non-Combatant Immunity and War-Profiteering,2015
MACTML-2,Duncan Macintosh,4. The Mutual Limitation of Needs as Bases of Moral Entitlements: A Solution to Braybrooke?s Problem,2006
KERFDA,Stephen Kershnar,For Discrimination Against Women,2007
KERAAT,Stephen Kershnar,Assassination and the Immunity Theory,2005
KERBAN,Stephen Kershnar,Bioethics and Non-Consequentialism,2021
VANTNO,Siegfried van Duffel,The Nature of Rights,manuscript
KEREHT,Stephen Kershnar,Extremely Harsh Treatment,2011
KEREDA,Stephen Kershnar,Experiential Diversity and Grutter,2003
Forward2017-BAZNIA-3,Saba Bazargan{-}Forward,Noncombatant Immunity and War-Profiteering,2017
KERKOF,Stephen Kershnar,Kant on Freedom and the Appropriate Punishment,1995
USATNP,Makoto Usami,"The Non-Identity Problem, Collective Rights, and the Threshold Conception of Harm",2011
SHEEPE-2,Susan Sherwin and Peter Schotch,Engaged Philosophy: Essays in Honour of David Braybrooke,2006
MULRRA-2,Robert Mullins,"Rights, Roles and Interests",2019
WEIRTR,Joshua Weishart,Reconstituting the Right to Education,2016
DOAJYT,Noelia Mart\'{i}nez Doallo,Justicia y Transmisi\'{o}n de Enfermedades Contagiosas. El Argumento Del Bien Com\'{u}n Como Fundamento de Las Restricciones a la Autonom\'{i}a Individual,2022
KERDPW-2,Stephen Kershnar,"Derk Pereboom, Wrongdoing \& the Human Emotions. New York: Oxford University Press. 224Pp. Isbn: 978-0198903789. Us \$25.00 (Pbk)",forthcoming
KERROA,Stephen Kershnar,"Review of Alan Wertheimer, \emph{Consent to Sexual Relations}",2004
JERTMF,Jerome E. Bickenbach,"The Moral Foundation of Rights by L. W. Sumner Oxford: Clarendon Press, 1987, Vii + 224 Pp., \pounds22.50",1989
