ID,Author,Title,Year
XENM-2,Xenophon,Memorabilia,1994
LOCSIG,Thornton C. Lockwood,"?Sparta in Greek Political Thought: Xenophon, Plato, Aristotle, Plutarch,?",manuscript
BLOXPO,Vincent Blok,Xenophon?s Philosophy of Management,2019
JOHXSW,David M. Johnson,Xenophon?s Socratic Works,2021
REIAGO-2,Heather L. Reid,A Gentleman or a Philosopher? Xenophon Vs. Aristotle on Kalokagathia,2022
VLAITH,Gregory Vlastos,I. The Historical Socrates and Athenian Democracy,1983
CHATDM-3,Santiago Chame,The Dialectical Method in Xenophon and Antisthenes,2023
NADXPR,Christopher Nadon,Xenophon's Prince: Republic and Empire in the Cyropaedia,2001
SARXOA,Sarah B. Pomeroy,The Persian King and the Queen Bee,1984
DANPAX,Gabriel Danzig and Donald Morrison and David M. Johnson,Plato and Xenophon: Comparative Studies,2018
HUMXOA,Noreen Humble,Xenophon of Athens: A Socratic on Sparta,2021
LVYPDY,David L\'{e}vystone,\`A Propos de la Pens\'{e}e \'{E}conomique Pr\'e-Aristot\'{e}licienne En G\'{e}n\'{e}ral Et de Celle de Platon En Particulier,2024
STRTSO-15,Leo Strauss,The Spirit of Sparta or the Taste of Xenophon,1939
JONXSO,Russell E. Jones and Ravi Sharma,Xenophon's Socrates on Harming Enemies,2019
STROTC-3,Leo Strauss,"On Tyranny: Corrected and Expanded Edition, Including the Strauss-Koj\`{e}ve Correspondence",2013
SANHAT-5,David Sansone,Heracles at the Y,2004
SCHPXA,Malcolm Schofield,"Plato, Xenophon, and the Laws of Lycurgus",2021
GRATLP,Vivienne J. Gray,The Linguistic Philosophies of Prodicus in Xenophon's 'Choice of Heracles'?,2006
JONVAS,Russell E. Jones and Ravi Sharma,Virtue and Self-Interest in Xenophon?s \emph{Memorabilia} 3.9.4?5,2018
SANXAP,David Sansone,Xenophon and Prodicus' Choice of Heracles,2015
ILLWTR,Rodrigo Illarraga,What the Rulers Want: Xenophon on Cyrus? Psychology,2021
GRATFO-5,Vivienne Gray,The Framing of Socrates: The Literary Interpretation of Xenophon's Memorabilia,1998
JONXSO-2,Russell E. Jones and Ravi Sharma,Xenophon's Socrates on Justice and Well-Being,2020
DANBBA-3,Gabriel Danzig,Big Boys and Little Boys: Justice and Law in Xenophon?s Cyropaedia and Memorabilia,2009
NATSDI,Carlo Natali,Socrates' Dialectic in Xenophon's Memorabilia,2005
HUSXSE,Bernhard Huss,Xenophons Symposion : Ein Kommentar,1999
GRAXHA,Vivienne J. Gray,Xenophon's \emph{Hiero} and the Meeting of the Wise Man and Tyrant in Greek Literature,1986
ERBDAI,Hartmut Erbse,Die Architektonik Im Aufbau von Xenophons Memorabilien,1961
DANSTE-4,Gabriel Danzig,Socrates the \emph{Eutrapelos}: Xenophon and Aristotle on Ethical Virtue,2023
REIAAC-4,Joseph Reisert,Ambition and Corruption Isn Xenophon?s Education of Cyrus,2009
DANTUA-3,Gabriel Danzig,The Use and Abuse of Critias: Conflicting Portraits in Plato and Xenophon,2014
DORHEP,Louis{-}Andr\'e Dorion,H\'{e}rakl\`{e}s Entre Prodicos Et X\'{e}nophon,2008
URSAAF,Kristian Urstad,Aristippus and Freedom in Xenophon's Memorabilia,2008
JOLDEU,"Karl Jo\""{e}l",Der Echte Und der Xenophontische Sokrates,1893
GRAXOG,Vivienne J. Gray,Xenophon on Government,1989
CHADEF-2,Santiago Chame,"Dialettica, Virt\`u e Felicit\`a Nei Socratici",2021
ATAAOD,Carol Atack,Ambiguities of Despotic Power in Xenophon?s \emph{Cyropaedia},2023
DORAEE,Louis{-}Andr\'e Dorion,Akrasia Et Enkrateia Dans les M\'{e}morables de X\'{e}nophon,2003
BIAXAT,Thiago Biazotto,Xenophon and the Cynegeticus: The Construction of the Ideal Greek Hunter,2023
GKAAAX,Konstantinos Gkaleas,Aristippus and Xenophon as Plato?s Contemporary Literary Rivals and the Role of Gymnastik\`e (\ensuremath{\Gamma}\ensuremath{\upsilon}\ensuremath{\mu}\ensuremath{\nu}\ensuremath{\alpha}\ensuremath{\sigma}\ensuremath{\tau}\ensuremath{\iota}\ensuremath{\kappa}?),2015
JOHAAT-33,David M. Johnson,Aristippus at the Crossroads: The Politics of Pleasure in Xenophon?s Memorabilia,2009
POWTNT-3,Nathan Powers,The Natural Theology of Xenophon?s Socrates,2009
THOTPA-25,Mark J. Thomas,The Playful and the Serious: A Reading of Xenophon's \emph{Symposium},2011
PETTIO-23,Sandra Peterson,The Ignorance of Xenophon?s Socrates,2023
TORSYL-3,David Torrijos Castrillejo,S\'{o}crates y la Divinidad Providente,2024
CHRSMA,Anton{-}Hermann Chroust,"Socrates, Man and Myth",1957
LUCLPP,Jean Luccioni,Les Ide?Es Politiques Et Sociales de Xe?Nophon,1948
CLAXDD,C. Joachim Classen,Xenophons Darstellung der Sophistik Und der Sophisten,1984
SEAXAA,Robin Seager,Xenophon and Athenian Democratic Ideology,2001
LEW-7,Sian Lewis,?\ensuremath{\alpha}? \ensuremath{\Sigma}\ensuremath{\alpha}\ensuremath{\phi}?\ensuremath{\varsigma} ??\ensuremath{\rho}\ensuremath{\alpha}\ensuremath{\nu}\ensuremath{\nu}?\ensuremath{\varsigma} ?\ensuremath{\nu}: Xenophon's Account of Euphron of Sicyon,2004
DORLSD-6,Louis{-}Andr\'e Dorion,L?Ex\'{e}g\`{e}se Straussienne de X\'{e}nophon,2001
ALTDIX,William Henry Furness Altman,Dialectic in Xenophon?s Memorabilia: Responding to 4.6,2018
St-Hilaire2022-PAGCBR,Antoine Pageau{-}St{-}Hilaire,Cyrus? Beehive: Ruling Eros and with Eros in Xenophon?s Cyropaedia,2022
GISSJT-2,Dustin A. Gish,Spartan Justice: The Conspiracy of Kinadon in Xenophon?s Hellenika,2009
VONDEK,Kurt von Fritz,Das Erste Kapitel des Zweiten Buches von Xenophons Memorabilien Und Die Philosophie des Aristipp von Kyrene,1965
ALTTSW,William H. F. Altman,The Socratic Way of Life: Xenophon?s Memorabilia. By Thomas L. Pangle,2019
FLOTCC,Michael A. Flower,The Cambridge Companion to Xenophon,2012
JONTBH,Russell E. Jones and Ravi Sharma and Nicholas D. Smith,The Bloomsbury Handbook of Socrates (2nd edition),2024
YAMUOH,Naoko Yamagata,Use of Homeric References in Plato and Xenophon,2012
DENPTA-4,Nicholas Denyer,Plato: The Apology of Socrates and Xenophon: The Apology of Socrates,2019
JOHXSA,David Johnson,Xenophon's Socrates and the Socratic Xenophon,2019
BJOPXA,Collin Bjork,"Plato, Xenophon, and the Uneven Temporalities of Ethos in the Trial of Socrates",2021
POMOAS,Sarah B. Pomeroy,"Oeconomicus: A Social and Historical Commentary, with a New English Translation",1994
SEESII,Gerhard Seel,Socratic Intellectualism in Xenophon and Plato,2005
HINXOM,Clifford Hindley,Xenophon on Male Love,1999
BJEXSO,Joseph Bjelde,Xenophon's Socrates on Wisdom and Action,2021
XENAD,Xenophon,Anabasis / der Zug der Zehntausend: Griechisch - Deutsch,1934
GRAXC,Vivienne J. Gray,Xenophon's 'Cynegeticus',1985
ATAMOS,Carol Atack,Memories of Socrates,2023
WARTGP,Rex Warner,The Greek Philosophers,1958
DANXAT,Gabriel Danzig,Xenophon and the Socratic Elenchos,2017
NEETCO-6,Laurence D. Nee,The City on Trial: Socrates? Indictment of the Gentleman in Xenophon?s Oeconomicus,2009
TOOTPC,Yun Lee Too,Xenophon?s Other Voice: Irony as Social Criticism in the 4Th Century Bce,2021
MORXSO-2,Donald R. Morrison,Xenophon's Socrates on the Just and the Lawful,1995
STASOX,Devin Stauffer,Strauss on Xenophon's Anabasis : The Difference Between Socrates and Xenophon in Leo Strauss' Account of Xenophon's Anabasis,2015
XENM-3,Michele Bandini and Louis{-}Andr\'e Dorion,X\'{e}nophon: M\'{e}morables,2000
