ID,Author,Title,Year
DASYPI,Surendranath Dasgupta,Yoga Philosophy in Relation to Other Systems of Indian Thought,1930
NICUHP-2,Andrew J. Nicholson,Unifying Hinduism: Philosophy and Identity in Indian Intellectual History,2010
ELIYIA,Mircea Eliade,Yoga: Immortality and Freedom,1969
DEMAHO,Elizabeth De Michelis,A History of Modern Yoga: Patan?Jali and Western Esotericism,2004
BRYTYS,Edwin Francis Bryant,"The Yoga Su?Tras of Patan?Jali: A New Edition, Translation, and Commentary with Insights From the Traditional Commentators",2009
ELIY-2,Mircea Eliade,Yoga,1958
WILJY,Robert Williams,Jaina Yoga,1963
ALTYIM,Joseph S. Alter,Yoga in Modern India: The Body Between Science and Philosophy,2004
WARPAA-7,Owen Ware,"Persons, Animals, and Recognition: A Classical Yoga Perspective",forthcoming
FEUTPO-4,Georg Feuerstein,The Philosophy of Classical Yoga,1980
PHIYKA-2,Stephen Phillips,"Yoga, Karma, and Rebirth: A Brief History and Philosophy",2009
DASYAP,Surendranath Dasgupta,Yoga as Philosophy and Religion,1924
TAITSO,Iqbal Kishen Taimni,The Science of Yoga,1961
GOKTYO,Pradeep P. Gokhale,The Yogas\={u}tra of Pata\~{n}jali: A New Introduction to the Buddhist Roots of the Yoga System,2020
DASYPI-2,Surendra Nath Dasgupta,Yoga Philosophy,1979
BIRTMO-12,Jason Eric Birch,The Meaning of Ha\d{t}ha in Early Ha\d{t}hayoga,
BURCSA-2,Mikel Burley,Classical Sa?Mkhya and Yoga: An Indian Metaphysics of Experience,2007
SMIBMA,Benjamin Richard Smith,"Body, Mind and Spirit? Towards an Analysis of the Practice of Yoga",2007
IYELOY,B. K. S. Iyengar,Light on Yoga,1965
ELIPAY,Mircea Eliade,Patanjali and Yoga,1975
RANYPE,Shyam Ranganathan,Yoga: Procedural Devotion to the Right,2024
SINYIT,Mark Singleton and Jean Byrne,Yoga in the Modern World: Contemporary Perspectives,2008
RAVSSA-2,Daniel Raveh,"Sutras, Stories and Yoga Philosophy: Narrative and Transfiguration",2016
STRPYB,Sarah Strauss,Positioning Yoga: Balancing Acts Across Cultures,2005
SARIM,Sundar Sarukkai,Inside/Outside: Merleau-Ponty/Yoga,2002
MORIAE,James Morley,Inspiration and Expiration: Yoga Practice Through Merleau-Ponty's Phenomenology of the Body,2001
WARIOI-2,Owen Ware,Images of India: Voltaire and Herder,2023
RANPYU-2,Shyam Ranganathan,Pata\~{n}jali?s Yoga: Universal Ethics as the Formal Cause of Autonomy,2017
FEUEDO,Georg Feuerstein,Encyclopedic Dictionary of Yoga,1990
KOEPYF,Gaspar M. Koelman,"Pa?Tan?Jala Yoga, From Related Ego to Absolute Self",1969
NOVBAI,Christian Lee Novetzke,Bhakti and its Public,2007
MAXTPF,Richard W. Maxwell,The Physiological Foundation of Yoga Chakra Expression,2009
MALROY,James Mallinson and Mark Singleton,Roots of Yoga,2017
CHAASS-9,Subhasis Chattopadhyay,Annotated Select Secondary Sources? Bibliography for Those Beginning Research Into the Yoga Sutras,2023
SCHMDI,Paul Schweizer,Mind/Consciousness Dualism in Sankhya-Yoga Philosophy,1993
CHASEB,Subhasis Chattopadhyay,Select English Bibliography of Translated Sanskrit Texts on Hatha Yoga,2023
OZIIUM,Joanna \L{}ozi\'{n}ska,Imagery Underlying Metaphors: A Cognitive Study of a Multimodal Discourse of Yoga Classes,2021
JOIYM,Sri K. Pattabhi Jois,Yoga Mala,2000
FEUTEO-5,Georg Feuerstein,The Essence of Yoga: A Contribution to the Psychohistory of Indian Civilisation,1974
CHAYAT,Christopher Key Chapple,Yoga and the Luminous: Pata\~{n}jali's Spiritual Path to Freedom,2008
SATTYS,Satchidananda,The Yoga Sutras of Patanjali,1927
SINTC,Mark Singleton,4 the Classical Reveries of Modern Yoga,2008
BRYAIS,Edwin F. Bryant,Agency in Samkhya and Yoga,2014
SCHYAP,Nathaniel Schmidt and Surendranath Dasgupta,Yoga as Philosophy and Religion,1926
SENTIS,Sanat Kumar Sen,Time in S\={a}nkhya-Yoga,1968
KILYI,D. H. Killingley,"Yoga-S\={u}tra Iv, 2?3 and Vivek\={a}nanda's Interpretation of Evolution",1990
GRIYIP,Mar Griera,"Yoga in Penitentiary Settings: Transcendence, Spirituality, and Self-Improvement",2017
WHIYAF,Ian Whicher,Yoga and Freedom: A Reconsideration of Pata\~{n}jali's Classical Yoga,1998
ALLTIP,N. J. Allen,The Indo-European Prehistory of Yoga,1998
YAMPYP,Koichi Yamashita,Pa?Tan?Jala Yoga Philosophy: With Reference to Buddhism,1994
