ID,Author,Title,Year
IEKTSO-2,Slavoj Z?iz?ek,The Sublime Object of Ideology,1989
IEKLTN,Slavoj i\v{z}ek,Less Than Nothing: Hegel and the Shadow of Dialectical Materialism,2012
IEKTTS,Slavoj Z?iz?ek,The Ticklish Subject: The Absent Centre of Political Ontology,1999
IEKVSS,Slavoj Zizek,Violence: Six Sideways Reflections,2008
BRYTST,Levi R. Bryant and Nick Srnicek and Graham Harman,The Speculative Turn: Continental Materialism and Realism,2011
IEKIDO,Slavoj \v{Z}i\v{z}ek,In Defense of Lost Causes,2008
IEKOWB,Slavoj Z?iz?ek,Organs Without Bodies: Deleuze and Consequences,2004
IEKTPV-2,Slavoj \v{Z}i\v{z}ek,The Parallax View,2006
IEKOWB-2,Slavoj \v{Z}i\v{z}ek,Organs Without Bodies: On Deleuze and Consequences,2012
ZIZTWT,Slavoj Z?iz?ek,"Tarrying with the Negative: Kant, Hegel, and the Critique of Ideology",1993
IEKTPV-5,Slavoj \v{Z}i\v{z}ek,The Parallax View,2004
IEKFTK,Slavoj Z?iz?ek,For They Know Not What They Do: Enjoyment as a Political Factor,1991
IEKHTR,Slavoj Z?iz?ek,How to Read Lacan,2006
ZIZOB,Slavoj Z?iz?ek,On Belief,2001
IEKTPA,Slavoj Zizek,The Puppet and the Dwarf: The Perverse Core of Christianity,2003
BLAINC,Jack Black,"Desire, Drive and the Melancholy of English Football: 'It's (Not) Coming Home'",2023
IEKTMO,Slavoj Z?iz?ek,The Metastases of Enjoyment: Six Essays on Women and Causality,2005
IEKATP,Slavoj \v{Z}i\v{z}ek,Against the Populist Temptation,2006
JOHZOA,Adrian Johnston,Zizek's Ontology: A Transcendental Materialist Theory of Subjectivity,2008
IEKTMO-2,Slavoj \v{Z}i\v{z}ek and John Milbank,The Monstrosity of Christ: Paradox or Dialectic?,2009
IEKFAT,Slavoj \v{Z}i\v{z}ek,"First as Tragedy, Then as Farce",2009
IEKTIR,Slavoj Z?iz?ek,The Indivisible Remainder: [On Schelling and Related Matters],1996
IEKITR,Slavoj Z?iz?ek,Interrogating the Real: [Selected Writings],2006
ZIZTMS-2,Slavoj \v{Z}i\v{z}ek,The Most Sublime Hysteric: Hegel with Lacan,2014
BLALTS-3,Jack Black,"""Love Thy Social Media!"": Hysteria and the Interpassive Subject",2022
VIGOZD,Fabio Vighi,"On Zizek's Dialectics: Surplus, Subtraction, Sublimation",2010
LACWDE,E. Laclau and S. Zizek,Why Do Empty Signifiers Matter to Politicians,2003
ZIZNAI,Slavov Zizek,Nature and its Discontents,2008
BLAAHT-4,Jack Black,"A Hole That Does Not Speak: Covid, Catastrophe and the Impossible",2022
IEKPTU,Slavoj i\v{z}ek,"Philosophy, the ?Unknown Knowns,? and the Public Use of Reason",2006
ZIZMAT,Slavoj \v{Z}i\v{z}ek,Melancholy and the Act,2000
ZIZAPF,Slavoj \v{Z}i\v{z}ek,A Plea for Leninist Intolerance,2002
WOOZAR-2,Kelsey Wood,Zizek: A Reader's Guide,2012
JOHBZA,Adrian Johnston,"Badiou, Zizek, and Political Transformations: The Cadence of Change",2009
ZIZALP,Slavoj \v{Z}i\v{z}ek,"A Leftist Plea for ""Eurocentrism""",1998
TAYIAT-2,Paul A. Taylor,Zizek and the Media,2010
IEKTAA,Slavoj \v{Z}i\v{z}ek,Tolerance as an Ideological Category,2008
ZIZTUE,Sl Zizek and J. De Vleminck,The Universal Exception,2008
DEPCIP,Frederiek Depoortere,"Christ in Postmodern Philosophy: Gianni Vattimo, Ren\'e Girard and Slavoj Zizek",2010
MERTOV,Thomas Cl\'{e}ment Mercier,"Texts on Violence: Of the Impure (Contaminations, Equivocations, Trembling)",2020
ROTTES-8,Molly Anne Rothenberg,The Excessive Subject: A New Theory of Social Change,2010
PARSZA,Ian Parker,Slavoj Zizek: A Critical Introduction,2004
MULPAT-2,John Mullarkey,Philosophy and the Moving Image: Refractions of Reality,2009
COUEST,Robert B. Couch and Joseph M. Spencer,Economy Suspended: The Possibilities of a Badiouian Business Ethics,2013
MCGSOT-8,S. J. McGrath,Schelling on the Unconscious,2010
IEKDAT,Slavoj \v{Z}i\v{z}ek,Descartes and the Post-Traumatic Subject,2008
MYESI,Tony Myers,Slavoj Z?Iz?Ek,2003
IEKCWZ-4,Slavoj Zizek and Glyn Daly,Conversations with Zizek,2003
BLACAT-14,Jack Black,Covid-19: Approaching the in-Human,2020
CRIVTA,Simon Critchley,Violent Thoughts About Slavoj Zizek,2011
ROBDDA,John Roberts,"Debate Dialectic and Post-Hegelian Dialectic (Again): \v{Z}i\v{z}ek, Bhaskar, Badiou",2013
FINVAR-2,Christopher J. Finlay,Violence and Revolutionary Subjectivity,2006
FLITST,Matthew Flisfeder,"The Symbolic, the Sublime, and Slavoj Z?Iz?Ek's Theory of Film",2012
BROIAH,Thomas Brockelman,Zizek and Heidegger: The Question Concerning Techno-Capitalism,2008
IEKTSO,Slavoj \v{Z}i\v{z}ek,The Structure of Domination Today: A Lacanian View,2004
ROBATS,Andrew Robinson and Simon Tormey,A Ticklish Subject? \v{Z}i\v{z}ek and the Future of Left Radicalism,2005
STATLL,Yannis Stavrakakis,"The Lacanian Left: Psychoanalysis, Theory, Politics",2007
FISTBN-3,Stanley Fish,Truth but No Consequences: Why Philosophy Doesn't Matter,2003
IEKLTS,Slavoj Z?iz?ek,Lacan: The Silent Partners,2006
DEATRI,Jodi Dean,The Real Internet,2010
IEKAPF,Slavoj \v{Z}i\v{z}ek,A Plea for a Return to Diff\'{e}rance,2006
SIGSIT,Ola Sigurdson,"Slavoj \v{Z}i\v{z}ek, the Death Drive, and Zombies: A Theological Account",2013
IEKIJD,Slavoj Z?iz?ek,Z?Iz?Ek's Jokes: (Did You Hear the One About Hegel and Negation?),2014
KAYZAC,Sarah Kay,Zizek: A Critical Introduction,2003
BRYINU,Levi R. Bryant,\v{Z}i\v{z}ek's New Universe of Discourse: Politics and the Discourse of the Capitalist,2008
JOHWTS,Adrian Johnston,"Where to Start?: Robert Pippin, Slavoj \v{Z}i\v{z}ek, and the True Beginning(s) of Hegel?s System",2014
BUTTID-3,Rex Butler,The \v{Z}i\v{z}ek Dictionary,2013
BUTTZD,Rex Butler,The \v{Z}i\v{z}ek Dictionary,2013
SINNOI-2,Robert Sinnerbrink,Nomadology or Ideology? \v{Z}i\v{z}ek's Critique of Deleuze,2006
JAKTPO-10,M\'{a}cha Jakub,"The Philosophy of Exemplarity: Singularity, Particularity, and Self-Reference",2022
STRARE,Anna Strhan,A Religious Education Otherwise? An Examination and Proposed Interruption of Current British Practice,2010
BOUTTF,Geoff M. Boucher and Jason Glynos and Matthew Sharpe,Traversing the Fantasy: Critical Responses to Slavoj Zizek,2005
ZIZFL,Slavoj Zizek,Fichte's Laughter,2009
KEAEMA,Richard Kearney,"Evil, Monstrosity and the Sublime",2001
LANBPP,Jeremy F. Lane,Bourdieu's Politics: Problems and Possibilities,2006
SIGTAM,Ola Sigurdson,Theology and Marxism in Eagleton and Z?Iz?Ek: A Conspiracy of Hope,2012
KISTCU,Wendell Kisner,The Concrete Universal in \v{Z}i\v{z}ek and Hegel,2008
OSBMTE,Peter Osborne,More Than Everything \v{Z}i\v{z}ek's Badiouian Hegel,2013
MEGHTA,Allan Megill,"History, Theoreticism, and the Limits of ?the Postsecular?1",2013
IEKSBC,Slavoj \v{Z}i\v{z}ek,Some Bewildered Clarifications,2013
JOHNOA,Adrian Johnston,"?'Naturalism or Anti-Naturalism? No, Thanks -- Both Are Worse!?: Science, Materialism, and Slavoj \v{Z}i\v{z}ek?",2012
IEKSAN-2,Slavoj \v{Z}i\v{z}ek,"Schlagend, Aber Nicht Treffend!",2006
BLATAO-26,Jack Black,The Appearance of Authority in Health and Wellbeing Media: Analysing Digital Guru Media Through Lacan's 'Big Other',2022
WILIAI-2,S. E. Wilmer and Audrone Zukauskaite,Interrogating Antigone in Postmodern Philosophy and Criticism,2010
JAGVAA,Jan Jagodzinski,Visual Art and Education in an Era of Designer Capitalism: Deconstructing the Oral Eye,2010
BLAAFO-2,Jack Black,"""a Form of Socially Acceptable Insanity"": Love, Comedy and the Digital in Her",2021
VINLEA,Robert Vinten,Leave Everything as It is - a Critique of Marxist Interpretations of Wittgenstein,2013
STOAIR-2,Ethan Stoneman,Appropriate Indecorum Rhetoric and Aesthetics in the Political Theory of Jacques Ranci\`{e}re,2011
ZIZAP,Slavoj Zizek,Actual Politics,2011
BLARCA-2,Jack Black,"Retroactive Causation and the Temporal Construction of News: Contingency and Necessity, Content and Form",2021
ZIZBSF,Slavoj i\v{z}ek,Between Symbolic Fiction and Fantasmatic Spectre: Towards a Lacanian Theory of Ideology,1994
DEAAAS,Tim Dean,Art as Symptom: \v{Z}i\v{z}ek and the Ethics of Psychoanalytic Criticism,2002
HARDTI-4,Harpham,Doing the Impossible: Slavoj \v{Z}i\v{z}ek and the End of Knowledge,2003
DEDEYS,\'{O}scar Rodr\'{i}guez de Dios,Escatolog\'{i}a y S\'{i}ntoma: Un Discurso Que Se Incluye Afuera,2011
STAOAP-2,Yannis Stavrakakis,"On Acts, Pure and Impure",2010
JAGSWI,Jan Jagodzinski,"Struggling with \v{Z}i\v{z}ek's Ideology: The Deleuzian Complaint, or, Why is \v{Z}i\v{z}ek a Disguised Deleuzian in Denial?'",2010
BLAIAB,Jack Black,'I Am (Big) M(Other)': Lacan?s Big Other and the Role of Cynicism in Grant Sputore's I Am Mother,2020
DOUTIO-4,Costas Douzinas and Slavoj \v{Z}i\v{z}ek,The Idea of Communism,2010
GABIAP,Markus Gabriel and Slavoj Zizek,Introduction: A Plea for a Return to Post-Kantian Idealism,2009
IEKE,Slavoj \v{Z}i\v{z}ek,Ecology,2009
VANIRA-6,Gijs Van Oenen,Interpassivity Revisited: A Critical and Historical Reappraisal of Interpassive Phenomena,2008
VIGIBF,Fabio Vighi,Z?Iz?Ek: Beyond Foucault,2007
CROIOT,Clayton Crockett,Interstices of the Sublime: Theology and Psychoanalytic Theory,2007
ZIZTRO-2,Slavoj Z?iz?ek,The Rhetorics of Power,2001
BLACAP-5,Jack Black,Conviviality and Parallax in David Olusoga?s Black and British: A Forgotten History,2019
IEKING,Slavoj \v{Z}i\v{z}ek,"Intellectuals, Not Gadflies",2008
ZIZTTF,Slavoj \v{Z}i\v{z}ek,The Thing From Inner Space on Tarkovsky,1999
ZIZESN,Slavoj Zizek,"Ethical Socialism? No, Thanks!",2004
SHATAO-25,Matthew Sharpe,"The Aesthetics of Ideology, or ?the Critique of Ideological Judgment? in Eagleton and Zizek",2006
BRETLT,Claudia Breger,The Leader's Two Bodies: Slavoj Zizek's Postmodern Political Theology,2001
BAREOS-2,Benjamin Barber,"Expositions of Sacrificial Logic: Girard, \v{Z}i\v{z}ek, and Cormac Mccarthy's No Country for Old Men",2013
ROSTMA-7,Marika Rose,The Mystical and the Material: Slavoj \v{Z}i\v{z}ek and the French Reception of Mysticism,2014
ZIZTIT,Slavoj Zizek,The Inherent Transgression,1998
RUBSI,Diane Rubenstein,32 Slavoj \v{Z}i\v{z}ek,2009
OREIMA,Cyril O'Regan,\v{Z}i\v{z}ek's Meontology: An Inflected Hegel and the Possibility of Theology,2014
DALTQI,Glyn Daly,"The Quantum Infinite Correlationalism, Contingency and Necessity",2014
CARWIT-5,Joseph Carew,?Why is There Nothing Rather Than Something??: Less Than Nothing's New Metaphysics,2014
ZIZIAI-2,Slavoj Zizek,"""""Identity and its Vicissitudes: Hegel's"" Logic of Essence"" as a Theory of Ideology'",1994
BROTFO-3,Thomas Brockleman,The Failure of the Radical Democratic Imaginary: I Ek Versus Laclau and Mouffe on Vestigial Utopia,2003
RENSIV,C\'{e}sar Rendueles,Slavoj \v{Z}i\v{z}ek. Verdad y Emancipaci\'{o}n En la Era Postmetaf\'{i}sica,2014
MCGTIO-8,Todd McGowan,"The Insubstantiality of Substance, or, Why We Should Read Hegel's Philosophy of Nature",2014
DEWTTO-9,Peter Dews,The Tremor of Reflection: Slavoj \v{Z}i\v{z}ek's Lacanian Dialectics,1995
ZIZAAI,Slavoj Zizek,Against an Ideology of Human Rights,2006
CHRSAL-2,Matthew Chrulew,Suspicion and Love,2013
PLUOTM-2,Ed Pluth,On Transcendental Materialism and the Natural Real,2012
KHAZNC-2,Jamil Khader and Molly Anne Rothenberg,Zizek Now: Current Perspectives in Zizek Studies,2013
TOUTEO,Mahdi Tourage,The Erotics of Sacrifice in the Qur'anic Tale of Abel and Cain,2011
MARRD-3,Elissa Marder,Real Dreams,2013
IEKTTE,Slavoj \v{Z}i\v{z}ek,The Three Events of Philosophy,2013
ZIZTSV,Slavoj Zizek,"The Seven Veils of Paranoia, or, Why Does the Paranoiac Need Two Fathers?",1996
SLARSA,Slavoj Zizek,Risk Society and its Discontents,1998
IEKIWS,Slavoj \v{Z}i\v{z}ek,Interview with Salvoj \v{Z}i\v{z}ek and Renata Salecl,1991
CALTTS-2,Alex Callinicos,"The Ticklish Subject: The Absent Centre of Political Ontology Slavoj Zizek London: Verso, 1999/Contingency, Hegemony, Universality: Contemporary Dialogues on the Left Judith Butler, Ernesto Laclau, Slavoj Zizek London: Verso, 2000",2001
CHICOC,Lorenzo Chiesa,Christianity or Communism? \v{Z}i\v{z}ek's Marxian Hegelianism and Hegelian Marxism,2012
ZALBOR,Zahi Zalloua,Betting on Ressentiment: \v{Z}i\v{z}ek with Nietzsche,2012
BABPAH,Babette Babich,"Politics and Heidegger: Aristotle, Superman, and \v{Z}i\v{z}ek",2012
ZIZARW,Slavoj \v{Z}i\v{z}ek,"A Reply: With Enemies Like These, Who Needs Friends?",2012
TREPAP,Chad Trevitte,Perversity and Post-Marxian Thought in Bu\~{n}uel's Late Films,2012
SPEWDY,Oliver C. Speck,"What Do You Really Want From \v{Z}i\v{z}ek?: On Slavoj \v{Z}i\v{z}ek, the Sublime Object of Ideology",1998
