ID,Author,Title,Year
CHADCE,David J. Chalmers,Does Conceivability Entail Possibility,2002
GOFCAF,Philip Goff,Consciousness and Fundamental Reality,2017
CHATTA,David Chalmers,The Two-Dimensional Argument Against Materialism,2006
CHAMAT,David J. Chalmers,Materialism and the Metaphysics of Modality,1999
VLIMZW,Carissa V\'{e}liz,Moral Zombies: Why Algorithms Are Not Moral Agents,2021
GENCAP,Tamar Gendler and John Hawthorne,Conceivability and Possibility,2002
BEAMEA,George Bealer,Modal Epistemology and the Rationalist Renaissance,2002
BALAAT,Katalin Balog,Acquaintance and the Mind-Body Problem,2012
HILICP,Christopher S. Hill,"Imaginability, Conceivability, Possibility and the Mind-Body Problem",1997
CHAND,David J. Chalmers,Naturalistic Dualism,2014
BALIDO-2,Katalin Balog,In Defense of the Phenomenal Concept Strategy1,2011
BALCPA,Katalin Balog,"Conceivability, Possibility, and the Mind-Body Problem",1999
YABCWS,Stephen Yablo,"Coulda, Woulda, Shoulda",2002
FISZI,Eugen Fischer and Justin Sytsma,Zombie Intuitions,2021
BEATPL,George Bealer,The Philosophical Limits of Scientific Essentialism,1987
KIRZAC-2,Robert Kirk,Zombies and Consciousness,2005
ALELAH-4,Damian Aleksiev,Lightweight and Heavyweight Anti-Physicalism,2022
BRODTA,Richard Brown,Deprioritizing the a Priori Arguments Against Physicalism,2010
AYDCIA-2,"Murat Aydede and G\""{u}ven G\""{u}zeldere","Concepts, Introspection, and Phenomenal Consciousness: An Information-Theoretical Approach",2005
BAIMTA-3,Andrew M. Bailey,Material Through and Through,2020
DENTUP,Daniel C. Dennett,The Unimagined Preposterousness of Zombies,1995
SIMVAZ,Jonathan A. Simon,Vagueness and Zombies: Why ?Phenomenally Conscious? has No Borderline Cases,2017
YABTKA-2,Stephen Yablo,Textbook Kripkeanism and the Open Texture of Concepts,2000
ALTTSA-4,Torin Alter,The Structure and Dynamics Argument Against Materialism,2015
KIRZVM-2,Robert Kirk and J. E. R. Squires,Zombies V. Materialists,1974
CARPQZ,Alexander Carruth,"Powerful Qualities, Zombies and Inconceivability",2016
NAGCTI,Thomas Nagel,Conceiving the Impossible and the Mind-Body Problem,1998
MENPCP,Angela Mendelovici,Panpsychism?s Combination Problem is a Problem for Everyone,2019
WUTCF-2,Wayne Wu,The Case for Zombie Agency,2013
Mitchell2003-BRAQAA,David Braddon{-}Mitchell,Qualia and Analytical Conditionals,2003
ALTRMA,Torin Alter and Sam Coleman,Russellian Monism and Mental Causation,2019
YABCAC,Stephen Yablo,Concepts and Consciousness,1999
